p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	perDiff
0	3.94165733285792	0.978	0.808	0	T/NK1	CCL5	0.17
0	3.74710546215464	0.935	0.703	0	T/NK1	CCL4	0.232
0	3.0576455517912	0.909	0.716	0	T/NK1	NKG7	0.193
0	2.88868311346198	0.848	0.512	0	T/NK1	GZMK	0.336
0	2.81071197654285	0.879	0.516	0	T/NK1	GZMA	0.363
1.44755315373752e-282	2.66638357770315	0.909	0.695	2.89510630747504e-279	T/NK1	XCL1	0.214
0	2.65189300689832	0.941	0.77	0	T/NK1	CST7	0.171
2.36710095687445e-260	2.15106357533103	0.886	0.443	4.73420191374891e-257	T/NK1	IFNG	0.443
3.77968496827118e-287	2.08352064210835	0.898	0.586	7.55936993654236e-284	T/NK1	CRTAM	0.312
5.6341175612902e-236	2.0115647030883	0.942	0.843	1.12682351225804e-232	T/NK1	DUSP2	0.099
1.07181814744993e-266	1.8100798517402	0.905	0.62	2.14363629489987e-263	T/NK1	CD8A	0.285
4.88741746829963e-211	1.70816724543708	0.958	0.712	9.77483493659926e-208	T/NK1	IL32	0.246
2.24236320542198e-191	1.68589343769059	0.792	0.585	4.48472641084395e-188	T/NK1	KLRD1	0.207
1.9383778557166e-168	1.43617985916661	0.971	0.776	3.8767557114332e-165	T/NK1	TRBC2	0.195
9.19317510552939e-152	1.30889888410662	0.968	0.918	1.83863502110588e-148	T/NK1	CD69	0.0499999999999999
7.50202720089526e-177	1.30527257393463	0.965	0.662	1.50040544017905e-173	T/NK1	CLEC2D	0.303
7.63130558639082e-136	1.29120625960666	0.929	0.699	1.52626111727817e-132	T/NK1	CD3G	0.23
1.5878235076008e-164	1.27374958119415	0.864	0.785	3.17564701520159e-161	T/NK1	RUNX3	0.079
5.22374535701084e-117	1.25865460303794	0.854	0.707	1.04474907140217e-113	T/NK1	TUBA4A	0.147
3.71780798060961e-154	1.24319912470107	0.951	0.693	7.43561596121922e-151	T/NK1	PTPN22	0.258
2.62456381927447e-117	1.23201893087072	0.925	0.689	5.24912763854894e-114	T/NK1	ITGA4	0.236
5.55899736977204e-188	1.22522232106292	0.93	0.558	1.11179947395441e-184	T/NK1	SKAP1	0.372
3.21476981089531e-130	1.2230965145301	0.914	0.778	6.42953962179061e-127	T/NK1	SYTL3	0.136
1.07540865053969e-121	1.21697711260545	0.854	0.817	2.15081730107938e-118	T/NK1	DUSP4	0.037
2.88328882722427e-189	1.13000651665565	0.885	0.68	5.76657765444853e-186	T/NK1	DTHD1	0.205
3.0937816079029e-122	1.11215247444744	0.973	0.873	6.1875632158058e-119	T/NK1	CXCR4	0.1
5.67796181611742e-106	1.07672651172227	0.929	0.844	1.13559236322348e-102	T/NK1	SLC38A1	0.0850000000000001
3.43723174990326e-139	1.0669743527921	0.991	0.988	6.87446349980652e-136	T/NK1	PTPRC	0.003
1.02231694473438e-111	1.05919709121812	0.865	0.632	2.04463388946876e-108	T/NK1	IKZF3	0.233
6.05701076462066e-126	1.04492923384916	0.727	0.596	1.21140215292413e-122	T/NK1	SAMD3	0.131
6.0730948968982e-113	1.01399048355801	0.957	0.812	1.21461897937964e-109	T/NK1	CD2	0.145
7.95673761043968e-118	1.01284001940363	0.872	0.641	1.59134752208794e-114	T/NK1	PRKCH	0.231
1.76865213916657e-116	1.01061225408924	0.931	0.695	3.53730427833315e-113	T/NK1	CD3D	0.236
2.07354848840922e-121	0.999672063689596	0.818	0.504	4.14709697681845e-118	T/NK1	CD247	0.314
3.48706366035058e-118	0.983178118101161	0.835	0.757	6.97412732070116e-115	T/NK1	PYHIN1	0.078
2.36675516820358e-56	0.952852147523098	0.944	0.888	4.73351033640716e-53	T/NK1	DNAJB1	0.0559999999999999
2.46918570130592e-89	0.945027573229741	0.934	0.83	4.93837140261184e-86	T/NK1	LEPROTL1	0.104
1.43168618895429e-110	0.939181209563411	0.918	0.776	2.86337237790857e-107	T/NK1	ETS1	0.142
5.79716777424221e-68	0.90991724958656	0.922	0.769	1.15943355484844e-64	T/NK1	SYNE2	0.153
6.91207236222886e-76	0.909071830543532	0.88	0.779	1.38241447244577e-72	T/NK1	IL2RG	0.101
1.51927475389008e-59	0.892071840334851	0.941	0.882	3.03854950778017e-56	T/NK1	STK4	0.0589999999999999
4.7542349098118e-66	0.884936532813057	0.969	0.816	9.50846981962361e-63	T/NK1	RGCC	0.153
1.66096220192414e-67	0.878109934865817	0.835	0.749	3.32192440384828e-64	T/NK1	PARP8	0.086
1.38970741428498e-81	0.874984669752817	0.919	0.811	2.77941482856997e-78	T/NK1	RHOH	0.108
7.83714748011137e-39	0.866792515701674	0.95	0.937	1.56742949602227e-35	T/NK1	METRNL	0.0129999999999999
1.84377535672854e-68	0.862797199069709	0.843	0.682	3.68755071345709e-65	T/NK1	ITM2A	0.161
4.61536571470605e-58	0.859219188979062	0.798	0.682	9.23073142941211e-55	T/NK1	STK17A	0.116
1.1652817303946e-45	0.824290975882094	0.766	0.681	2.3305634607892e-42	T/NK1	SLA	0.085
1.06720350002405e-71	0.78461425702189	0.944	0.953	2.13440700004811e-68	T/NK1	ARHGDIB	-0.00900000000000001
9.1769102550439e-86	0.784428999460865	1	0.999	1.83538205100878e-82	T/NK1	HLA-B	0.001
3.96344106878475e-46	0.770448218024536	0.935	0.878	7.9268821375695e-43	T/NK1	CDC42SE2	0.0570000000000001
3.32692467978021e-30	0.764830939397641	0.862	0.707	6.65384935956042e-27	T/NK1	RGS1	0.155
8.50151379635631e-48	0.764434775547968	0.953	0.932	1.70030275927126e-44	T/NK1	LCP1	0.0209999999999999
7.50939242153999e-73	0.760127978134464	0.89	0.729	1.501878484308e-69	T/NK1	CD3E	0.161
2.31996166369268e-47	0.736065459898719	0.879	0.743	4.63992332738535e-44	T/NK1	NUCB2	0.136
2.03669778518177e-62	0.736020504379304	0.881	0.868	4.07339557036353e-59	T/NK1	ARAP2	0.013
9.25953831184928e-53	0.73542511328056	0.766	0.687	1.85190766236986e-49	T/NK1	PTPN7	0.079
2.8157091450922e-62	0.731491519286323	0.811	0.695	5.63141829018441e-59	T/NK1	TC2N	0.116
7.17921515494588e-49	0.72511834252935	0.888	0.839	1.43584303098918e-45	T/NK1	CORO1A	0.049
5.23012283868041e-46	0.715759669704357	0.868	0.698	1.04602456773608e-42	T/NK1	ADGRE5	0.17
7.57277198060322e-50	0.713853918709112	0.798	0.748	1.51455439612064e-46	T/NK1	SLFN5	0.05
6.67545544862993e-51	0.710717657842842	0.924	0.845	1.33509108972599e-47	T/NK1	LSP1	0.0790000000000001
1.51777582425317e-68	0.710601016405166	0.972	0.957	3.03555164850634e-65	T/NK1	ZFP36L2	0.015
1.12354667620153e-87	0.708100676239426	0.587	0.313	2.24709335240306e-84	T/NK1	XCL2	0.274
5.97448878014881e-101	0.706734149841568	0.999	0.999	1.19489775602976e-97	T/NK1	B2M	0
5.81963049697442e-80	0.706132766796879	0.82	0.673	1.16392609939488e-76	T/NK1	SLAMF7	0.147
2.94076626132048e-61	0.696455086313222	0.802	0.704	5.88153252264096e-58	T/NK1	C12orf75	0.0980000000000001
1.15797228874935e-62	0.688566739958573	0.63	0.592	2.3159445774987e-59	T/NK1	ITGAL	0.038
6.26548987658037e-42	0.686825980943701	0.92	0.842	1.25309797531607e-38	T/NK1	CD48	0.0780000000000001
4.18893513074433e-74	0.675686901104733	0.77	0.825	8.37787026148866e-71	T/NK1	ACAP1	-0.0549999999999999
3.71089415406138e-68	0.67001643942185	0.914	0.927	7.42178830812276e-65	T/NK1	HCST	-0.013
5.81543202010202e-66	0.668549282667214	0.928	0.785	1.1630864040204e-62	T/NK1	CD96	0.143
4.90593035977274e-37	0.664712880905783	0.706	0.675	9.81186071954548e-34	T/NK1	HIST1H4C	0.0309999999999999
5.00915676861611e-72	0.661411006880166	0.832	0.702	1.00183135372322e-68	T/NK1	THEMIS	0.13
6.89473336210496e-62	0.651774437211167	0.699	0.784	1.37894667242099e-58	T/NK1	GBP5	-0.0850000000000001
4.37193034924169e-64	0.648588542986203	0.788	0.616	8.74386069848338e-61	T/NK1	ITK	0.172
1.77404339803813e-50	0.637921270401743	0.886	0.716	3.54808679607626e-47	T/NK1	STAT4	0.17
8.24073087900986e-33	0.637896714223928	0.841	0.706	1.64814617580197e-29	T/NK1	HMGB2	0.135
2.11768514274525e-38	0.634996876205954	0.858	0.839	4.23537028549049e-35	T/NK1	GIMAP7	0.019
4.474210222124e-49	0.632797779835289	0.862	0.664	8.94842044424801e-46	T/NK1	ISG20	0.198
8.19818916849663e-24	0.628090502394114	0.926	0.887	1.63963783369933e-20	T/NK1	EMB	0.039
1.17560682994189e-72	0.624189912952854	0.831	0.597	2.35121365988379e-69	T/NK1	RASGRP1	0.234
6.84448062680284e-26	0.624132176945116	0.929	0.875	1.36889612536057e-22	T/NK1	FYB1	0.054
7.21406055663778e-30	0.623739271772967	0.83	0.762	1.44281211132756e-26	T/NK1	GIMAP4	0.0679999999999999
1.63516211248734e-28	0.61852333329613	0.941	0.929	3.27032422497468e-25	T/NK1	STK17B	0.0119999999999999
3.09140911871039e-41	0.611923410089035	0.957	0.889	6.18281823742079e-38	T/NK1	CD52	0.0679999999999999
4.58110705677143e-30	0.606746116539783	0.941	0.956	9.16221411354286e-27	T/NK1	ARL4C	-0.015
1.20786840482614e-24	0.604750126061144	0.991	0.965	2.41573680965227e-21	T/NK1	EZR	0.026
2.60706298745382e-47	0.599903156066185	0.814	0.576	5.21412597490764e-44	T/NK1	CRYBG1	0.238
1.19233735879493e-42	0.597698697176018	0.947	0.956	2.38467471758986e-39	T/NK1	SH3BGRL3	-0.00900000000000001
2.45303267803453e-44	0.595890287354996	0.893	0.707	4.90606535606907e-41	T/NK1	TNF	0.186
2.8254882101935e-55	0.587754001755751	0.764	0.675	5.650976420387e-52	T/NK1	KIF21A	0.089
5.26309157246641e-38	0.58733671942112	0.821	0.712	1.05261831449328e-34	T/NK1	DIAPH1	0.109
2.12878897778425e-63	0.584360295342689	0.696	0.782	4.25757795556849e-60	T/NK1	CYTOR	-0.0860000000000001
1.4101052412976e-44	0.577529521619441	0.867	0.859	2.82021048259519e-41	T/NK1	LBH	0.00800000000000001
7.31920056843643e-36	0.572475207588859	0.85	0.852	1.46384011368729e-32	T/NK1	GNG2	-0.002
4.40781184319056e-16	0.564792134482214	0.932	0.895	8.81562368638112e-13	T/NK1	CLEC2B	0.037
2.04968243945919e-29	0.562453634419581	0.903	0.786	4.09936487891838e-26	T/NK1	CYTIP	0.117
2.01707006690635e-30	0.553095204510499	0.836	0.655	4.03414013381269e-27	T/NK1	AREG	0.181
7.81978409606882e-61	0.531526169846902	0.867	0.722	1.56395681921376e-57	T/NK1	HELB	0.145
7.50701380899073e-12	0.526584523194153	0.994	0.967	1.50140276179815e-08	T/NK1	JUN	0.027
1.67241662694691e-33	0.525223162112664	0.757	0.643	3.34483325389382e-30	T/NK1	LINC01871	0.114
6.75635005617869e-87	0.517419723791055	0.685	0.339	1.35127001123574e-83	T/NK1	SLFN12L	0.346
9.1573989600366e-61	0.502632675299316	0.879	0.808	1.83147979200732e-57	T/NK1	YES1	0.071
1.86086246651556e-15	0.478217554883941	0.974	0.97	3.72172493303112e-12	T/NK1	ACTG1	0.004
3.8827626287007e-36	0.473968444958695	0.853	0.737	7.7655252574014e-33	T/NK1	INPP4B	0.116
3.47621328094207e-22	0.467296880944659	0.804	0.77	6.95242656188414e-19	T/NK1	BIN2	0.034
3.16950965385925e-40	0.459059502839341	0.813	0.681	6.33901930771849e-37	T/NK1	PITPNC1	0.132
