	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
CCL5	0	3.73329292131432	0.974	0.709	0	T/NK1	CCL5
CCL4	0	3.26319071635231	0.952	0.715	0	T/NK1	CCL4
NKG7	0	2.98589852152489	0.937	0.808	0	T/NK1	NKG7
GZMA	0	2.62573725555723	0.911	0.578	0	T/NK1	GZMA
GZMK	0	2.61594444191291	0.872	0.608	0	T/NK1	GZMK
CST7	0	2.56969843416519	0.967	0.853	0	T/NK1	CST7
CRTAM	0	2.04719354062062	0.931	0.63	0	T/NK1	CRTAM
CD8A	0	1.76766761398065	0.94	0.823	0	T/NK1	CD8A
IFNG	0	1.74719067674924	0.908	0.306	0	T/NK1	IFNG
XCL1	7.8062372042917e-322	2.50296735725374	0.946	0.658	1.56124744085834e-318	T/NK1	XCL1
IL32	5.59401369675605e-279	1.68209974817367	0.981	0.71	1.11880273935121e-275	T/NK1	IL32
DUSP2	1.08098814033921e-236	1.87864933730563	0.979	0.797	2.16197628067842e-233	T/NK1	DUSP2
KLRD1	3.93706910198109e-223	1.50200350212476	0.858	0.563	7.87413820396218e-220	T/NK1	KLRD1
DTHD1	8.14781902981961e-223	0.956992915316288	0.903	0.72	1.62956380596392e-219	T/NK1	DTHD1
TRBC2	1.05544052096445e-214	1.43830201619754	0.987	0.856	2.1108810419289e-211	T/NK1	TRBC2
SKAP1	2.01479764186817e-206	1.19154909595842	0.926	0.64	4.02959528373633e-203	T/NK1	SKAP1
CD3G	2.14604347544089e-206	1.3301686604355	0.982	0.77	4.29208695088179e-203	T/NK1	CD3G
CLEC2D	5.44500684826564e-205	1.18885351083717	0.987	0.684	1.08900136965313e-201	T/NK1	CLEC2D
RUNX3	7.11733878432587e-203	1.49265055287891	0.92	0.811	1.42346775686517e-199	T/NK1	RUNX3
CD3D	1.16923578985455e-188	1.24798887501268	0.98	0.784	2.3384715797091e-185	T/NK1	CD3D
CD2	4.37967682660536e-187	1.32475051789973	0.988	0.895	8.75935365321071e-184	T/NK1	CD2
PTPN22	6.27889215405159e-181	1.32450160236553	0.961	0.731	1.25577843081032e-177	T/NK1	PTPN22
DUSP4	1.24174937185826e-174	1.3602682945465	0.942	0.741	2.48349874371653e-171	T/NK1	DUSP4
CD247	3.00003481925781e-174	1.05836819590229	0.881	0.581	6.00006963851562e-171	T/NK1	CD247
SYTL3	1.09481649330898e-171	1.33216830537963	0.923	0.759	2.18963298661797e-168	T/NK1	SYTL3
B2M	1.4945969152236e-171	0.797143045719983	0.999	0.998	2.9891938304472e-168	T/NK1	B2M
LEPROTL1	2.46045534383956e-163	1.32002546923291	0.97	0.855	4.92091068767913e-160	T/NK1	LEPROTL1
CD69	1.3662364286917e-162	1.29743431596438	0.993	0.894	2.7324728573834e-159	T/NK1	CD69
SAMD3	9.75721865386502e-162	0.916587036031649	0.809	0.718	1.951443730773e-158	T/NK1	SAMD3
PTPRC	1.11365329895495e-160	1.20617971185378	0.997	0.99	2.22730659790991e-157	T/NK1	PTPRC
ETS1	2.65259385534261e-155	1.07721401944967	0.951	0.791	5.30518771068522e-152	T/NK1	ETS1
PRKCH	2.2859992360705e-154	1.03196381165157	0.922	0.691	4.571998472141e-151	T/NK1	PRKCH
PYHIN1	4.42091223374866e-145	0.992086890435752	0.877	0.839	8.84182446749732e-142	T/NK1	PYHIN1
CXCR4	2.69172676650711e-144	1.08014638425996	0.994	0.889	5.38345353301422e-141	T/NK1	CXCR4
RGCC	5.6472045767425e-144	1.09112693129265	0.995	0.711	1.1294409153485e-140	T/NK1	RGCC
TUBA4A	3.6372958560142e-138	1.22023913271819	0.878	0.717	7.2745917120284e-135	T/NK1	TUBA4A
CD96	5.26495497966308e-138	0.927917165339074	0.973	0.764	1.05299099593262e-134	T/NK1	CD96
THEMIS	1.83491779467857e-132	0.736352100666934	0.932	0.794	3.66983558935713e-129	T/NK1	THEMIS
CD3E	1.45179636734705e-129	0.964228638273326	0.935	0.762	2.90359273469409e-126	T/NK1	CD3E
SLC38A1	2.57823320856868e-125	1.02714282050919	0.951	0.883	5.15646641713737e-122	T/NK1	SLC38A1
TC2N	1.34728958312726e-124	0.907073627652061	0.913	0.695	2.69457916625452e-121	T/NK1	TC2N
HLA-B	1.01752447273649e-120	0.772368836693488	0.996	0.997	2.03504894547297e-117	T/NK1	HLA-B
SLFN12L	6.70224580553775e-117	0.493248334981316	0.727	0.334	1.34044916110755e-113	T/NK1	SLFN12L
ITGA4	1.19939129387864e-114	1.08794341434642	0.935	0.766	2.39878258775727e-111	T/NK1	ITGA4
RHOH	8.09078728626763e-113	0.932851771001321	0.953	0.807	1.61815745725353e-109	T/NK1	RHOH
HELB	6.31060401790448e-110	0.518920730661199	0.912	0.779	1.2621208035809e-106	T/NK1	HELB
STAT4	9.26012639615372e-109	0.850521730687452	0.934	0.68	1.85202527923074e-105	T/NK1	STAT4
HIVEP2	2.74672273465782e-106	0.308939926056193	0.9	0.538	5.49344546931564e-103	T/NK1	HIVEP2
RASGRP1	3.26508401718513e-106	0.647796720251772	0.882	0.671	6.53016803437026e-103	T/NK1	RASGRP1
IKZF3	8.5299837357717e-104	0.901679849624668	0.887	0.72	1.70599674715434e-100	T/NK1	IKZF3
IL2RG	9.62616395543086e-100	0.983017127828329	0.913	0.742	1.92523279108617e-96	T/NK1	IL2RG
ZFP36L2	1.55567596711893e-99	0.821647169810107	0.985	0.973	3.11135193423786e-96	T/NK1	ZFP36L2
NELL2	3.27498810747721e-93	0.317622979666241	0.883	0.647	6.54997621495442e-90	T/NK1	NELL2
ITK	2.80877581825583e-89	0.729712478806412	0.813	0.657	5.61755163651167e-86	T/NK1	ITK
ARAP2	8.13691208423343e-88	0.740322650708322	0.857	0.913	1.62738241684669e-84	T/NK1	ARAP2
ITM2A	1.15210444739525e-87	0.893559859215866	0.814	0.75	2.3042088947905e-84	T/NK1	ITM2A
HCST	8.93702455743875e-85	0.793962084550788	0.947	0.925	1.78740491148775e-81	T/NK1	HCST
PARP8	1.55770949266977e-84	0.863694506311642	0.874	0.818	3.11541898533953e-81	T/NK1	PARP8
XCL2	4.5130268093017e-83	0.738941362951894	0.506	0.293	9.0260536186034e-80	T/NK1	XCL2
TNF	2.75228139991013e-80	0.553533174223683	0.933	0.68	5.50456279982026e-77	T/NK1	TNF
ARHGDIB	5.74567221541323e-80	0.918718133178282	0.988	0.961	1.14913444308265e-76	T/NK1	ARHGDIB
