p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	perDiff
0	4.0238061768908	0.933	0.531	0	T/NK1	CCL5	0.402
9.4499729151259e-233	3.71348147609142	0.878	0.496	1.88999458302518e-229	T/NK1	CCL4	0.382
9.67633715915632e-280	3.02315497732916	0.845	0.421	1.93526743183126e-276	T/NK1	NKG7	0.424
1.90704648454355e-215	3.00658959323198	0.766	0.306	3.81409296908709e-212	T/NK1	GZMK	0.46
3.39808223544353e-215	2.82895384155256	0.804	0.44	6.79616447088705e-212	T/NK1	XCL1	0.364
8.3027792531149e-244	2.81524318594685	0.75	0.336	1.66055585062298e-240	T/NK1	GZMA	0.414
4.37149861497141e-316	2.55161454604119	0.879	0.501	8.74299722994281e-313	T/NK1	CST7	0.378
3.55133608860199e-144	2.18437065471587	0.691	0.212	7.10267217720397e-141	T/NK1	IFNG	0.479
6.42476205677552e-175	1.96145493031817	0.735	0.334	1.2849524113551e-171	T/NK1	CRTAM	0.401
4.46676141730371e-155	1.92486926700265	0.874	0.672	8.93352283460743e-152	T/NK1	DUSP2	0.202
3.17911555841955e-206	1.86758536371385	0.756	0.439	6.3582311168391e-203	T/NK1	CD8A	0.317
2.59018435873066e-166	1.83126498241097	0.91	0.532	5.18036871746131e-163	T/NK1	IL32	0.378
4.65743316518518e-121	1.5222314618053	0.623	0.339	9.31486633037037e-118	T/NK1	KLRD1	0.284
3.1122824028422e-119	1.37629230668511	0.871	0.502	6.2245648056844e-116	T/NK1	CD3D	0.369
1.28497285559871e-100	1.34565040208425	0.925	0.727	2.56994571119742e-97	T/NK1	CD69	0.198
2.74706585824726e-104	1.3337182084766	0.802	0.562	5.49413171649452e-101	T/NK1	RUNX3	0.24
1.11311611179068e-101	1.28170977348177	0.822	0.522	2.22623222358136e-98	T/NK1	PTPN22	0.3
1.36400604885674e-83	1.26559218843009	0.736	0.458	2.72801209771347e-80	T/NK1	SYTL3	0.278
2.34033114690084e-95	1.21559408906289	0.885	0.643	4.68066229380168e-92	T/NK1	TRBC2	0.242
8.65426369428442e-99	1.21470591261798	0.827	0.496	1.73085273885688e-95	T/NK1	CD3G	0.331
1.8237632466045e-70	1.19518430935751	0.712	0.488	3.647526493209e-67	T/NK1	DUSP4	0.224
8.03426206752864e-73	1.13163991136915	0.793	0.503	1.60685241350573e-69	T/NK1	CLEC2D	0.29
3.04428718499761e-127	1.12993017108576	0.985	0.947	6.08857436999522e-124	T/NK1	PTPRC	0.038
3.80892232565473e-74	1.12856128197746	0.735	0.51	7.61784465130946e-71	T/NK1	TUBA4A	0.225
1.50857306371203e-85	1.12855137736686	0.886	0.617	3.01714612742406e-82	T/NK1	CD2	0.269
3.19817594489919e-81	1.05440943406392	0.707	0.444	6.39635188979838e-78	T/NK1	SKAP1	0.263
1.22755339832812e-111	1.03873524188197	0.655	0.388	2.45510679665623e-108	T/NK1	DTHD1	0.267
2.02995374360116e-46	1.00916931665298	0.854	0.633	4.05990748720233e-43	T/NK1	RGCC	0.221
3.30453512842247e-79	1.00636139745991	0.95	0.879	6.60907025684494e-76	T/NK1	ZFP36L2	0.071
1.34825463032051e-60	1.00462450615178	0.75	0.554	2.69650926064102e-57	T/NK1	ITGA4	0.196
2.76845322281217e-61	0.995621725769928	0.785	0.6	5.53690644562434e-58	T/NK1	SLC38A1	0.185
4.7554078677278e-70	0.990665505722142	0.84	0.619	9.51081573545561e-67	T/NK1	LEPROTL1	0.221
8.02053328099877e-55	0.975597154248672	0.687	0.493	1.60410665619975e-51	T/NK1	ITM2A	0.194
1.90837976215377e-39	0.888331767909832	0.892	0.762	3.81675952430754e-36	T/NK1	DNAJB1	0.13
4.6438486352362e-68	0.86960991572077	0.953	0.856	9.28769727047239e-65	T/NK1	CXCR4	0.097
1.932807756749e-64	0.865735722601608	0.847	0.636	3.86561551349799e-61	T/NK1	ETS1	0.211
8.42991102361331e-31	0.860493824232601	0.818	0.706	1.68598220472266e-27	T/NK1	METRNL	0.112
9.66675574175007e-49	0.856651217136154	0.689	0.532	1.93335114835001e-45	T/NK1	PARP8	0.157
2.6789543963362e-58	0.854304636284783	0.621	0.355	5.35790879267239e-55	T/NK1	CD247	0.266
3.35553450459859e-60	0.850180381333502	0.777	0.467	6.71106900919719e-57	T/NK1	CD96	0.31
4.84760560790804e-80	0.842008335023761	0.535	0.358	9.69521121581608e-77	T/NK1	SAMD3	0.177
3.36812986067221e-53	0.83277837810128	0.623	0.453	6.73625972134442e-50	T/NK1	PYHIN1	0.17
2.02506750029873e-56	0.828017513566021	0.65	0.389	4.05013500059745e-53	T/NK1	PRKCH	0.261
2.89658975372246e-40	0.825309187636416	0.707	0.58	5.79317950744493e-37	T/NK1	ARAP2	0.127
3.00717837763098e-51	0.80829642054014	0.918	0.777	6.01435675526195e-48	T/NK1	HCST	0.141
2.74653898685108e-49	0.792622008765354	0.677	0.432	5.49307797370217e-46	T/NK1	IKZF3	0.245
2.21127843296242e-18	0.791522394880071	0.699	0.564	4.42255686592484e-15	T/NK1	RGS1	0.135
3.18396893968551e-47	0.770142641003096	0.644	0.394	6.36793787937102e-44	T/NK1	ITK	0.25
1.71150171932849e-39	0.766417979216683	0.684	0.463	3.42300343865698e-36	T/NK1	STAT4	0.221
1.61865293555369e-38	0.764618744536304	0.541	0.424	3.23730587110739e-35	T/NK1	ITGAL	0.117
4.03248089133999e-47	0.74578723830906	0.727	0.49	8.06496178267998e-44	T/NK1	CD3E	0.237
