	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
S100A9	2.38239521292275e-09	-2.4122559535632	0.09	0.16	6.99995361460962e-05	-0.07	-5.32306046329249
S100A8	1.94060986277222e-10	-2.10132941660415	0.042	0.108	5.70189989879735e-06	-0.066	-4.29104614796836
PTGDS	2.20357018862865e-15	-1.32228015442437	0.072	0.214	6.47452992822871e-11	-0.142	-2.50061014713247
SPARCL1	2.0207942208542e-14	-1.30753438989567	0.163	0.239	5.93749757971381e-10	-0.076	-2.47518162171982
IL1B	1.25535533400977e-09	-1.01218636621453	0.514	0.6	3.68848504238751e-05	-0.086	-2.01696544297602
CCL3	1.04891954378818e-09	-1.00545725742326	0.463	0.52	3.08193540355842e-05	-0.057	-2.00757969193948
CCL4	2.82147442389095e-08	-0.981557419768256	0.316	0.451	0.000829005615227639	-0.135	-1.97459587679238
C11orf96	7.65193139693238e-11	-0.961552200456041	0.072	0.178	2.24829048304667e-06	-0.106	-1.94740398661386
IGFBP5	1.04736831473377e-08	-0.910876809178378	0.108	0.188	0.000307737758235075	-0.08	-1.88018785010623
SFRP4	2.05230659812448e-08	-0.879880481350099	0.128	0.175	0.000603008724660936	-0.047	-1.84022284348551
SOD2	7.15722775751211e-15	-0.799318932586899	0.676	0.728	2.10293665971221e-10	-0.0519999999999999	-1.74027938162692
CYP1B1	3.18066790095432e-09	-0.79202627438563	0.071	0.16	9.345438426584e-05	-0.089	-1.73150466494338
TAGLN	6.04655465276891e-07	-0.753936555464282	0.132	0.219	0.0177659868807656	-0.087	-1.68638805759197
RPS26	7.75570466362373e-40	-0.714294129890362	0.81	0.862	2.27878114426592e-35	-0.0519999999999999	-1.64068028248994
KCNQ1OT1	1.87514845604394e-07	-0.698281551207113	0.217	0.318	0.0055095611935483	-0.101	-1.62257093540115
ACTA2	1.39610968451274e-06	-0.675643682195568	0.103	0.187	0.0410204947503532	-0.084	-1.59730927964229
AC020916.1	3.34765184640175e-11	-0.671380007305108	0.438	0.54	9.83607065509762e-07	-0.102	-1.59259563358515
HSPA1B	9.26542495720811e-13	-0.671006301532342	0.624	0.6	2.72236716092689e-08	0.024	-1.59218315202225
MYL9	3.67210007311541e-09	-0.661894531752712	0.065	0.154	0.000107893644348277	-0.089	-1.58215893438523
BCL2A1	3.24963386355392e-09	-0.651574084449639	0.358	0.44	9.54807421789412e-05	-0.082	-1.57088120592521
DNAJB1	1.31068879853198e-13	-0.646013775475023	0.62	0.655	3.85106582784665e-09	-0.035	-1.56483850515523
PHLDA1	3.21276025508118e-09	-0.644231532138807	0.269	0.35	9.43973218147953e-05	-0.081	-1.56290656460611
ATP2B1-AS1	4.24056911320003e-10	-0.634693916576389	0.329	0.39	1.24596401684043e-05	-0.061	-1.55260831233839
AC253572.2	2.19019879037186e-08	-0.633495606357272	0.143	0.215	0.000643524208587059	-0.072	-1.55131924299605
TPM1	4.09350786804233e-08	-0.624118057454544	0.226	0.284	0.0012027544817882	-0.058	-1.54126833538123
RRAD	6.00342663307047e-12	-0.623528636440962	0.033	0.135	1.76392681332877e-07	-0.102	-1.54063877031958
LGALS1	1.15156914451297e-08	-0.617098457997246	0.445	0.501	0.0003383540460408	-0.056	-1.53378733077239
CALD1	9.1812665544682e-07	-0.615130132976847	0.08	0.151	0.0269763973903385	-0.071	-1.53169615185671
HLA-DQA2	4.2188484864297e-16	-0.6144065166437	0.237	0.421	1.23958206228277e-11	-0.184	-1.53092808763915
CD93	4.56565119301698e-13	-0.605707693516448	0.275	0.379	1.34147963353225e-08	-0.104	-1.52172503074117
TPM2	5.70883783856609e-08	-0.589242174576547	0.098	0.185	0.00167737073372749	-0.087	-1.50445627217264
RGCC	1.73825856636578e-07	-0.589065575332111	0.304	0.413	0.00510735131969592	-0.109	-1.50427212405202
ANXA1	4.02479553235062e-07	-0.584141184135357	0.761	0.798	0.0118256542331526	-0.037	-1.49914630311132
CDKN1A	2.09844393368622e-12	-0.580100640131084	0.535	0.651	6.16564796595684e-08	-0.116	-1.49495353059854
