	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
MT-RNR2	1.73721099794024e-15	3.1272324875935	0.114	0.014	5.10427335414801e-11	0.1	8.73757229586796
HLA-DRB5	1.28611860354277e-91	1.87571065722323	0.794	0.327	3.77887368092937e-87	0.467	3.66982344617683
IGKC	4.66168407569925e-38	1.07343293032213	0.273	0.035	1.36969601512195e-33	0.238	2.10443497183788
TTN	1.20245488241398e-09	1.01496857982537	0.177	0.076	3.53305293550876e-05	0.101	2.02085888060184
HLA-DQA1	7.61192523874632e-26	0.867395091055122	0.788	0.783	2.23653587364844e-21	0.005	1.82436587663386
RGS1	5.77996148283707e-14	0.764142930237229	0.644	0.533	1.69826828288719e-09	0.111	1.69836074402984
ABCA6	1.40016214502691e-10	0.691629989091599	0.143	0.049	4.11395641451807e-06	0.094	1.61510727227419
LGMN	7.88470847855729e-08	0.685734022437975	0.506	0.358	0.0023166850451697	0.148	1.6085201651992
TMEM176B	9.13342601883767e-20	0.679406743746858	0.597	0.346	2.68358323285488e-15	0.251	1.60148106848327
AFF3	7.19914495724418e-08	0.677102891800539	0.338	0.201	0.00211525277133749	0.137	1.59892569067811
TXNIP	1.43137753226575e-21	0.665829910281182	0.678	0.417	4.20567346530321e-17	0.261	1.5864806337171
HLA-DRB1	3.03829773317438e-24	0.662776612269954	0.929	0.94	8.92712639961296e-20	-0.0109999999999999	1.58312658053293
SEPT7	8.57960676149322e-11	0.628005856049179	0.201	0.082	2.52086005866194e-06	0.119	1.54542737233364
CPVL	9.60730134994789e-12	0.624195836892751	0.644	0.473	2.82281728264169e-07	0.171	1.54135143140181
CTSC	3.27231862394855e-10	0.602219214213199	0.752	0.616	9.61472658088564e-06	0.136	1.51804989966221
IGHA1	8.35161471116104e-24	0.600529778714605	0.174	0.021	2.45387143443334e-19	0.153	1.51627326200406
CLEC10A	3.41076682387215e-11	0.599547575687419	0.438	0.262	1.00215150819012e-06	0.176	1.51524131741513
AOAH	3.32241957004167e-10	0.586199736197238	0.485	0.316	9.76193318069645e-06	0.169	1.50128693117129
SSH2	9.16703982576213e-08	0.583774075294166	0.306	0.175	0.00269345964160543	0.131	1.49876487818691
CFD	1.83701603922707e-07	0.540783030318769	0.472	0.325	0.00539752052645699	0.147	1.45476188274545
FCGR2B	2.15202622259524e-07	0.503810620028438	0.378	0.245	0.00632308344722933	0.133	1.41795389121676
IGLC2	5.28002011471406e-24	0.47811837004553	0.128	0.006	1.55137551010528e-19	0.122	1.39292576256326
C1QC	1.67340200967723e-11	0.476683680123904	0.763	0.7	4.91678978483365e-07	0.0630000000000001	1.39154125429099
CYP27A1	1.21293316770743e-08	0.467211724448826	0.197	0.096	0.000356384023335798	0.101	1.38243507256687
CD55	3.47270436350286e-09	0.454472797076167	0.6	0.431	0.000102034999608441	0.169	1.37028197240317
RASSF4	6.35100678248056e-11	0.452930496505429	0.49	0.311	1.86605281282844e-06	0.179	1.36881786712667
ADK	9.60115815244387e-07	0.440850736389031	0.181	0.088	0.0282101228835106	0.093	1.35740453330048
RGS2	2.00600842858045e-07	0.438461593920451	0.825	0.782	0.00589405396485507	0.0429999999999999	1.35515849451069
CXCR4	8.04545317167115e-07	0.426379756337128	0.651	0.593	0.0236391505090042	0.0580000000000001	1.34385711869246
CST3	9.44264485271235e-21	0.41338205564959	0.913	0.951	2.77443791062394e-16	-0.0379999999999999	1.33180425600437
TMEM176A	4.62102524638397e-10	0.410208473038393	0.394	0.23	1.35774963789254e-05	0.164	1.32887782638954
JCHAIN	4.07969316697451e-19	0.38446873505326	0.103	0.005	1.19869544632045e-14	0.098	1.30537899954203
VAMP8	1.11802344981558e-07	0.378855919986997	0.72	0.589	0.00328497650024815	0.131	1.30031027982533
C3orf58	5.03216055278746e-07	0.371558264142144	0.156	0.066	0.0147854941362001	0.09	1.29374946331682
TMSB10	2.27771747023188e-10	0.353847182934421	0.94	0.932	6.69238947103531e-06	0.0079999999999999	1.27796398805815
DRAM2	8.05656962940124e-15	0.35334782189398	0.485	0.276	2.36718128851067e-10	0.209	1.27752172203723
ITGB2	1.40957089547518e-06	0.340270372709373	0.741	0.635	0.0414160120508517	0.106	1.26599382921403
HLA-DMA	4.22592283708477e-10	0.34001773356762	0.792	0.768	1.24166064799225e-05	0.024	1.26577215271102
RPS10	1.91037080445728e-09	0.336951551964617	0.808	0.811	5.61305149765637e-05	-0.003	1.2630848446994
COMT	1.28163428110129e-10	0.335842151030624	0.506	0.326	3.76569784473182e-06	0.18	1.26211393343072
SESN1	3.57084941125566e-07	0.327604470586783	0.389	0.252	0.0104918697401514	0.137	1.25492789296217
RPS6	1.62767771587061e-13	0.326298786963449	0.96	0.958	4.78244266477101e-09	0.002	1.25379265820265
HLA-DPB1	3.09473364803668e-09	0.32545174440619	0.915	0.939	9.09294640466139e-05	-0.0239999999999999	1.253056741046
HLA-DRA	7.05317348538933e-11	0.315608983535852	0.964	0.984	2.07236343347709e-06	-0.02	1.24453688039766
ITM2B	7.67383702665078e-11	0.298295536454196	0.935	0.948	2.25472679517053e-06	-0.0129999999999999	1.22969074392379
RCSD1	2.52225098140177e-08	0.294781009846824	0.365	0.223	0.000741087783355468	0.142	1.22669875956327
HLA-DPA1	7.93389413378306e-09	0.291120100848168	0.924	0.959	0.000233113677438814	-0.0349999999999999	1.22358989777083
GFRA2	6.91095967797202e-09	0.284823655121857	0.163	0.061	0.000203057817258174	0.102	1.21826134288985
SRGAP2B	9.64989456773562e-09	0.280078380792277	0.537	0.373	0.000283533202189208	0.164	1.21426085269716
NPC2	1.81970452442355e-08	0.264087423007038	0.877	0.881	0.000534665583366129	-0.004	1.20087619478824
IL16	4.40529897602885e-09	0.260059407867287	0.26	0.131	0.00012943649451368	0.129	1.19752801588616
TGFBR2	1.32209316803487e-07	0.258509943033211	0.43	0.29	0.00388457414632006	0.14	1.19624255261946
CDKN1B	1.852370252415e-07	0.257620631747787	0.278	0.155	0.00544263427564575	0.123	1.19550538769286
