	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
RPL17	8.64482860114961e-44	-2.12211821497555	0.604	0.88	2.54002353958978e-39	-0.276	-4.3533264652808
EEF1G	1.11947623814474e-37	-1.83513687296721	0.184	0.692	3.28924508291686e-33	-0.508	-3.56805257387205
HLA-DRB5	1.21450087753345e-27	1.8695214789665	0.584	0.176	3.56844647836878e-23	0.408	3.65411358338123
GAS5	8.20690283789216e-25	-1.52695951741662	0.155	0.518	2.41135219182947e-20	-0.363	-2.88177863271319
SEPTIN7	2.59768258403609e-20	-1.42021286775271	0.127	0.429	7.63251096841485e-16	-0.302	-2.67624995759747
RPL36A	1.23687504560973e-19	-0.907440799521146	0.743	0.891	3.63418625901051e-15	-0.148	-1.87571520941705
SNHG6	1.80339981384724e-19	-1.25349403155345	0.127	0.451	5.29874933304595e-15	-0.324	-2.38418144031081
SNHG29	1.54173295919416e-18	-1.31867079415679	0.147	0.454	4.52991978070428e-14	-0.307	-2.49436189517599
IGHM	2.85077830325091e-18	-1.37170168262082	0.743	0.387	8.37615681061182e-14	0.356	-2.58775616298299
MIF	4.08189433985471e-18	-1.22266438461549	0.208	0.521	1.19934219493611e-13	-0.313	-2.33377323281508
RPLP1	2.48977115373272e-17	-0.673786411221099	0.971	0.992	7.31544560389746e-13	-0.021	-1.59525428719418
SEPT7	1.66663675142387e-16	1.19260656516085	0.461	0.146	4.89691210303362e-12	0.315	2.28565326932655
CRIP1	1.85184693697232e-16	-1.38018052278799	0.253	0.546	5.44109667021206e-12	-0.293	-2.60300940210977
ARID5B	2.39378619540426e-15	-1.24027068302383	0.212	0.499	7.0334225993368e-11	-0.287	-2.3624285276206
RESF1	8.65528153812316e-15	-1.06960846121664	0.049	0.272	2.54309482153135e-10	-0.223	-2.09886367092853
KIAA1551	1.77356759564177e-14	1.16285898811939	0.396	0.12	5.21109630951466e-10	0.276	2.23900692162647
SEPT6	6.7463707144928e-14	0.987307266836023	0.367	0.104	1.98221864333227e-09	0.263	1.98248131269984
NME2	1.18634918861369e-13	-0.816792280950352	0.147	0.434	3.48573118598473e-09	-0.287	-1.76148511159137
EIF4A1	3.41218006872408e-13	-1.09573114607967	0.294	0.563	1.00256674779251e-08	-0.269	-2.13721366413649
HLA-DPB1	1.21158945668453e-12	0.929719367416469	0.8	0.779	3.55989214163049e-08	0.021	1.90490541844658
LINC01578	1.289968768695e-12	-0.933868096828877	0.106	0.317	3.79018623617965e-08	-0.211	-1.91039120093884
LINC01781	3.52803235432382e-12	-0.920939379195125	0.037	0.238	1.03660646634742e-07	-0.201	-1.89334770395974
SNHG32	4.0292296477431e-12	-0.822397465147378	0.098	0.272	1.18386825509988e-07	-0.174	-1.76834217655829
RPL39	7.85611021821676e-12	-0.619488189999254	0.939	0.975	2.30828230431645e-07	-0.036	-1.5363300566726
PIM1	2.12102639820038e-11	0.90700116175086	0.363	0.123	6.23199976319235e-07	0.24	1.87514370289996
PTGDS	2.21612839941683e-11	-1.39291606763361	0.024	0.199	6.51142846316652e-07	-0.175	-2.62608946712841
RPS12	2.27559435573299e-11	-0.750137347703185	0.976	0.983	6.68615133601466e-07	-0.00700000000000001	-1.68195294846147
MARCH1	2.7020590789194e-11	1.23153476099678	0.465	0.21	7.93918998568099e-07	0.255	2.34816658566291
CAMK2D	6.13282630785153e-11	1.05121599540037	0.322	0.106	1.80194702577294e-06	0.216	2.07227575798261
PRXL2C	9.83447169487933e-11	-0.668813631784901	0.057	0.168	2.88956447338944e-06	-0.111	-1.58976512181586
RPS4X	1.90622225664237e-10	-0.553593699322911	0.959	0.98	5.60086223446661e-06	-0.021	-1.46773722461175
RPL28	2.35039114115787e-10	-0.59291059124517	0.914	0.972	6.90591925095005e-06	-0.0579999999999999	-1.50828660010158
AES	4.62441712935634e-10	0.853470634240002	0.343	0.126	1.35874624094748e-05	0.217	1.80684235011017
HLA-C	4.7047833898024e-10	0.485133629988488	0.886	0.888	1.38235945559174e-05	-0.002	1.39971550858957
RPS20	5.41548724900227e-10	-0.572874773797532	0.935	0.95	1.59117846350185e-05	-0.0149999999999999	-1.48748464288239
SEPTIN2	6.01187494734685e-10	-0.719006427109994	0.086	0.213	1.76640909702945e-05	-0.127	-1.64604802357502
