	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
IGKC	2.01478325461471e-46	-0.580626005710671	0.414	0.02	5.91983615870893e-42	0.394	-1.49549802553792
ECRG4	3.80828268425152e-36	1.39020587048233	0.719	0.283	1.11894961828678e-31	0.436	2.62116081686398
S100A6	1.20342273893759e-35	0.915460508861825	0.932	0.867	3.53589669154644e-31	0.0650000000000001	1.88617104234414
IGHA1	7.35332575784363e-34	0.420218696653958	0.308	0.016	2.16055417416961e-29	0.292	1.3381303852179
RAB3B	6.98680965412588e-32	0.556992735441247	0.316	0.018	2.05286441257526e-27	0.298	1.47119933774756
GSTA1	1.03252943020156e-31	-1.6110701274091	0.365	0.725	3.03377797181822e-27	-0.36	-3.05478348110943
SLC16A12	1.33362954981563e-31	0.51894092062164	0.403	0.053	3.91847034326829e-27	0.35	1.43290297078543
LINC02838	2.99004533689987e-30	0.513864034507498	0.376	0.045	8.78535120887921e-26	0.331	1.4278694050799
RTN1	8.3356348672437e-30	0.713181997259311	0.471	0.098	2.44917623669354e-25	0.373	1.63941601601556
IGFBP7	1.04184090643669e-29	0.697421556567364	0.833	0.844	3.06113695129229e-25	-0.011	1.62160400445005
AC044893.1	6.00122773652925e-29	0.574084745935883	0.452	0.088	1.76328073354703e-24	0.364	1.48873270285101
IGLC2	1.6677392260766e-28	0.544085375807721	0.278	0.014	4.90015139405827e-24	0.264	1.45809566344925
CCDC198	6.00174152083576e-28	1.03898944645277	0.643	0.238	1.76343169365196e-23	0.405	2.05478784759799
CSRP2	4.42485294849021e-27	0.767100700274762	0.669	0.279	1.30011029332539e-22	0.39	1.70184624392507
SLPI	1.27190512738295e-26	0.900827288417676	0.81	0.756	3.73711164527659e-22	0.054	1.86713635306913
HOXB-AS3	1.3825374438395e-26	0.402182200582109	0.285	0.02	4.06217151748921e-22	0.265	1.32150529042794
FJX1	3.42871407854523e-25	0.296156259816636	0.255	0.014	1.00742477055816e-20	0.241	1.22786866845947
