	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
JUNB	1.0243975444164e-167	1.04733588624904	0.943	0.8	3.00988486500427e-163	0.143	2.06670988787628
SOX18	9.36554054719574e-137	1.52769511830848	0.714	0.344	2.75178312357705e-132	0.37	2.88324836775459
MT1E	2.72884378100192e-127	-1.9851128692596	0.094	0.405	8.01788879733984e-123	-0.311	-3.95893634096591
ZFP36	1.25368325403134e-126	0.998105530777515	0.921	0.761	3.68357213699487e-122	0.16	1.99737543159744
ID3	1.17165606821112e-119	1.25016074152564	0.859	0.604	3.4425598596179e-115	0.255	2.37867924182007
MT2A	8.45628347438528e-118	-1.77385233555158	0.485	0.743	2.48462521044388e-113	-0.258	-3.41965868065929
ID1	2.92810204311191e-116	1.54549720541835	0.767	0.454	8.6033494230714e-112	0.313	2.91904652522307
SLCO2A1	2.74440274042088e-113	-1.25177606249629	0.221	0.525	8.06360413190462e-109	-0.304	-2.38134403389215
FOS	1.01033486726295e-107	1.0861642598243	0.949	0.801	2.96856590699201e-103	0.148	2.1230881309583
MT1M	2.85121180131575e-106	-1.83018355664238	0.124	0.415	8.37743051462594e-102	-0.291	-3.55582310955179
RPL17	7.70026663445999e-104	-0.900180482270322	0.733	0.876	2.26249234253703e-99	-0.143	-1.86629944398045
CST3	1.51025216691347e-95	0.780994207831084	0.894	0.693	4.43742291682515e-91	0.201	1.71831461114711
ITM2A	1.91776443549174e-95	0.829659446095414	0.867	0.672	5.63477546436184e-91	0.195	1.77726578215405
KLF2	7.84285292715145e-95	0.940740700713306	0.93	0.791	2.30438704705564e-90	0.139	1.91951349198008
EEF1G	2.26581517668151e-90	-1.00860356913767	0.326	0.657	6.65741815212563e-86	-0.331	-2.01196271398761
RPL36A	2.56817492659912e-88	-0.589337848308036	0.881	0.9	7.54581156933352e-84	-0.019	-1.50455604496877
MRTFB	2.75124408458368e-88	-1.06263255446927	0.134	0.378	8.08370536932376e-84	-0.244	-2.08873946891274
IER2	4.58574844067054e-81	0.808519356164086	0.875	0.665	1.34738460683782e-76	0.21	1.75141303755295
NME2	1.13188204232224e-76	-0.970619202034916	0.285	0.573	3.3256958167512e-72	-0.288	-1.95968150636892
A2M	1.61096339224383e-76	-0.8006304122452	0.848	0.887	4.73333263909082e-72	-0.039	-1.74186209913666
SEPT7	2.98687760200473e-76	0.850161042213053	0.454	0.166	8.77604377021031e-72	0.288	1.80270214234082
VIM	9.06094444621643e-75	0.421158719129529	0.987	0.974	2.66228669718731e-70	0.013	1.33900256020236
ADIRF	5.97654113606065e-74	0.605763874702568	0.941	0.792	1.75602731659734e-69	0.149	1.52178429065362
NFKBIA	3.5435726322923e-72	1.05096937750452	0.863	0.721	1.04117251082012e-67	0.142	2.07192154826116
PALM2-AKAP2	8.01764140077796e-71	-1.03382431886252	0.228	0.488	2.35574339637658e-66	-0.26	-2.04744446245654
PHLDA1	1.63264022730009e-69	0.887044064488008	0.436	0.169	4.79702351585312e-65	0.267	1.84938304139581
MIF	8.43884836278743e-68	-0.858798241267796	0.319	0.538	2.4795024259542e-63	-0.219	-1.81352702110429
GAS5	2.81377227097685e-66	-0.701990625577697	0.283	0.572	8.26742568658418e-62	-0.289	-1.62674782585941
SNHG29	5.55471923378766e-66	-0.878415508139369	0.278	0.561	1.63208760527149e-61	-0.283	-1.83835515225433
GASK1B	2.77102758432056e-65	-0.956173643564033	0.119	0.316	8.14183324825068e-61	-0.197	-1.94015732502741
KLF4	5.89840570829614e-65	0.678405755927882	0.829	0.6	1.73306956521157e-60	0.229	1.60037029524505
RPS17	2.08956509020629e-64	-0.695734623721845	0.614	0.754	6.13956014804412e-60	-0.14	-1.61970898278477
CLDN5	3.18949530850983e-63	0.822621349752054	0.671	0.404	9.37137511546359e-59	0.267	1.76861661800206
EGFL7	1.2237667189904e-60	0.72468965934172	0.704	0.443	3.59567137373761e-56	0.261	1.65254511619582
EPAS1	1.54625849219126e-59	-0.732808722318581	0.735	0.813	4.54321670175636e-55	-0.078	-1.66187137171489
DUSP1	1.40814758812689e-56	0.753348973972275	0.821	0.614	4.13741924343442e-52	0.207	1.68570136454518
CLU	1.04991086684528e-55	0.44314489299757	0.933	0.793	3.08484810896479e-51	0.14	1.35956477909502
SELE	1.11171641350418e-54	0.92343898109875	0.675	0.429	3.26644516615797e-50	0.246	1.89663094650618
EDIL3	3.98715926674604e-53	0.504162310640295	0.195	0.035	1.17150713575532e-48	0.16	1.41829959273023
SEPTIN7	3.99664090879562e-52	-0.789372379434269	0.237	0.446	1.17429303182233e-47	-0.209	-1.72832242102262
RPS29	5.64297724213467e-52	-0.439307384305754	0.945	0.942	1.65801957328401e-47	0.003	-1.35595319889141
H3F3B	2.53329807730375e-51	0.414066474690132	0.979	0.939	7.44333641073389e-47	0.04	1.33243621800019
GPM6A	1.07060624483123e-50	0.474941699013626	0.529	0.282	3.14565526856311e-46	0.247	1.38986205276365
LEF1	4.09815858785158e-50	0.474861859703796	0.26	0.073	1.20412095628255e-45	0.187	1.38978513938035
CD9	4.56095436549361e-49	0.605457297923369	0.575	0.328	1.34009961166933e-44	0.247	1.52146094154253
LIFR	1.71870651808506e-48	-0.646069859310016	0.913	0.92	5.04990349143751e-44	-0.00700000000000001	-1.56489933842068
TIAM1	3.0247556273318e-48	-0.686113867818436	0.297	0.442	8.88733698422629e-44	-0.145	-1.60894372622708
MGP	3.26238292382602e-48	-0.826421343481117	0.406	0.586	9.58553350678561e-44	-0.18	-1.77328121495131
EIF4A1	1.46295064099351e-47	-0.627127322111791	0.668	0.773	4.29844157336714e-43	-0.105	-1.54448656568451
EGR1	4.55672558735804e-47	0.49002568572533	0.907	0.787	1.33885711207754e-42	0.12	1.40446988068044
S100A10	1.42196168675521e-46	0.487850632873568	0.898	0.791	4.17800782802415e-42	0.107	1.40235405263945
RPL37A	5.39555015345408e-46	-0.341172417146935	0.967	0.968	1.58532054608788e-41	-0.001	-1.26678563881049
SEPTIN2	9.98792502808662e-46	-0.677513489179979	0.185	0.363	2.93465213175241e-41	-0.178	-1.59938081675275
CCL14	1.32586409690147e-45	-0.769341469337031	0.557	0.721	3.8956538895159e-41	-0.164	-1.70449157597783
SSFA2	1.55281450625447e-45	0.623301506134567	0.302	0.108	4.56247958227689e-41	0.194	1.54039623936033
RGCC	4.01418013512966e-45	-1.00704136485305	0.125	0.309	1.1794464073038e-40	-0.184	-2.00978526444644
KIAA1551	3.70232033723339e-44	0.624865074334952	0.288	0.101	1.08781576148591e-39	0.187	1.54206659943827
NNMT	1.10858288508407e-43	-0.754797199054432	0.334	0.539	3.25723823295402e-39	-0.205	-1.68739437703528
IGFBP7	1.67184843686434e-43	0.537955871828368	0.928	0.833	4.91222507719481e-39	0.0950000000000001	1.45191386907383
WWTR1	6.04977443144352e-43	-0.630582219459788	0.47	0.589	1.77754472344673e-38	-0.119	-1.54818966075442
RPL10	1.8774845230034e-42	0.322466152233651	0.978	0.962	5.51642502548859e-38	0.016	1.25046627811019
C2CD4B	3.44364227240071e-42	0.955142732183675	0.469	0.268	1.01181097247678e-37	0.201	1.93877143559152
IER3	5.16346076989533e-42	0.739692458358115	0.516	0.298	1.51712804341065e-37	0.218	1.66981984270967
PCAT19	2.618937108807e-41	-0.652966790196797	0.426	0.573	7.69496101309674e-37	-0.147	-1.572398388383
DIPK2B	3.2407382167822e-40	-0.674252763788534	0.169	0.328	9.52193702854946e-36	-0.159	-1.59577003803953
PRDM1	7.58905500499397e-40	-0.736124414561452	0.098	0.238	2.22981614156733e-35	-0.14	-1.66569518112635
CXorf36	1.87195571630872e-39	0.523534444290854	0.323	0.134	5.50018028565827e-35	0.189	1.4374725875631
PLA2G16	2.45052087934134e-39	0.526179513934086	0.257	0.09	7.20012044768074e-35	0.167	1.44011049970745
RPS21	3.13219796295848e-39	-0.318602131912373	0.941	0.936	9.2030240547646e-35	0.00499999999999989	-1.24712159186634
PLPP3	7.67120053488062e-39	-0.772986694341915	0.298	0.419	2.25395214115862e-34	-0.121	-1.70880372178705
C8orf59	7.79989119819803e-39	0.543220573117239	0.287	0.112	2.29176403185454e-34	0.175	1.45722189098946
ZFP36L1	1.3332589808228e-38	0.503608574384598	0.85	0.681	3.91738153745356e-34	0.169	1.41775532441053
FAM213A	3.15684494609571e-38	0.491926562742983	0.231	0.074	9.27544182061842e-34	0.157	1.40632161234448
PTPRB	7.18346985469183e-38	-0.612216797782148	0.552	0.643	2.11064711270555e-33	-0.091	-1.52860621139845
TFPI	1.4280701757731e-37	0.495679626744697	0.654	0.44	4.19595579045653e-33	0.214	1.40998481628387
NRN1	3.02639030117402e-37	0.500292860191417	0.616	0.403	8.8921399829095e-33	0.213	1.41450067010039
FKBP2	6.26463692123615e-37	0.507655467688839	0.262	0.097	1.8406756201976e-32	0.165	1.4217378425534
CTSH	4.96213381468918e-36	0.512208419436219	0.563	0.352	1.45797415743198e-31	0.211	1.42623174354226
GJA1	1.12117365694662e-35	-0.667809330592374	0.535	0.624	3.29423243884056e-31	-0.089	-1.58865882604932
SEPT2	1.17400733893571e-35	0.507440171643025	0.293	0.121	3.44946836326091e-31	0.172	1.42152568981937
SNHG6	2.90667294875308e-35	-0.608951747219043	0.24	0.425	8.5403864580263e-31	-0.185	-1.52515064178922
PDK4	3.14008645489504e-35	-0.633105193547684	0.431	0.574	9.2262020217726e-31	-0.143	-1.55089949180453
PTMA	3.67480615326522e-35	0.308716543327805	0.988	0.976	1.07973154395239e-30	0.012	1.23860531617929
TLE5	3.70563173287313e-34	-0.499829599498704	0.111	0.219	1.08878871575278e-29	-0.108	-1.41404653575822
ANXA1	4.72538412133088e-34	0.481635518120764	0.778	0.598	1.38841236252944e-29	0.18	1.39632572074882
PTGDS	9.57873115994323e-34	-1.10851468065763	0.067	0.196	2.81442278941452e-29	-0.129	-2.15623538867336
MICOS10	1.66762479731744e-33	-0.548257599264588	0.156	0.258	4.89981517947812e-29	-0.102	-1.46231852821164
COL4A3BP	2.09972821696273e-33	0.512387431309179	0.242	0.09	6.16942144707988e-29	0.152	1.42640872360311
MT1X	5.66972313560159e-33	-0.75550151350154	0.325	0.479	1.66587805170246e-28	-0.154	-1.68821835323925
SEPT10	5.86121804757785e-33	0.438672430978416	0.228	0.081	1.72214308673932e-28	0.147	1.35535655335231
CSRP2	1.29113909283819e-32	0.478928149747877	0.381	0.196	3.79362488257718e-28	0.185	1.39370782640733
VWF	1.70600805841882e-32	-0.554983315021842	0.789	0.81	5.01259287724617e-28	-0.021	-1.46915164222745
FOSB	2.78067421930215e-32	0.474699511737716	0.921	0.851	8.17017699115359e-28	0.0700000000000001	1.3896287542195
CYR61	2.97117448331545e-32	0.662956049894333	0.153	0.037	8.72990486687745e-28	0.116	1.5833234968121
NFKBIZ	3.87914047957661e-32	0.432571952782186	0.675	0.479	1.1397690557092e-27	0.196	1.34963748864417
DOCK11	5.29685872667678e-32	0.391536096274473	0.244	0.093	1.55632303107217e-27	0.151	1.31178937622424
ITPRID2	7.78494132725014e-32	-0.599063455761336	0.163	0.304	2.28737146077264e-27	-0.141	-1.51473293870114
CCDC85B	8.73167512967362e-32	0.429801435406064	0.781	0.628	2.5655407866007e-27	0.153	1.34704816382143
GIMAP5	1.25090032379392e-31	-0.595556113068116	0.189	0.322	3.67539533137129e-27	-0.133	-1.5110549369512
KLF9	1.37049958102644e-31	-0.529800219434626	0.522	0.614	4.0268018689719e-27	-0.092	-1.44372925789841
ZBTB16	1.4846422248635e-31	-0.610303586885204	0.341	0.462	4.36217578509392e-27	-0.121	-1.52658041408101
PLAAT4	1.9248553698122e-31	-0.474455828292389	0.093	0.205	5.65561004758221e-27	-0.112	-1.38939405394268
JAM2	3.06683227206751e-31	0.409753089091137	0.715	0.532	9.01096658178875e-27	0.183	1.32845843482325
RPS28	3.71964963369086e-31	-0.278043240428739	0.976	0.969	1.09290745537105e-26	0.00700000000000001	-1.21254916101785
PTGS2	5.78672501163035e-31	0.265708658873606	0.268	0.121	1.70025554291723e-26	0.147	1.20222644403312
GRASP	2.38695228712447e-30	0.466419977188013	0.637	0.451	7.01334321002911e-26	0.186	1.38167660396071
MT1A	2.65680097724281e-30	-0.697813356811502	0.073	0.206	7.80621263133481e-26	-0.133	-1.62204445174252
MEOX1	3.18853854266371e-30	0.399480343772068	0.275	0.12	9.36856394605452e-26	0.155	1.31903271192159
FLT1	3.77362904341861e-30	-0.541292892892804	0.712	0.755	1.10876768553726e-25	-0.043	-1.4552761007192
HYAL2	4.3516253658137e-30	0.456617110091484	0.646	0.456	1.27859456498338e-25	0.19	1.3723201704358
PRSS23	7.69563136363919e-30	-0.603745953143785	0.299	0.423	2.26113040726447e-25	-0.124	-1.51965723356707
GNG10	1.28361497031402e-29	-0.491244030789284	0.164	0.265	3.77151750577666e-25	-0.101	-1.40565644583748
RND3	1.7571486757888e-29	-0.509532606672844	0.119	0.253	5.16285423920264e-25	-0.134	-1.4235889174093
IER5	2.79270169194096e-29	0.398571923597185	0.512	0.32	8.20551611126093e-25	0.192	1.31820241949934
MT-ND5	3.54340341352361e-29	0.259416868344331	0.985	0.982	1.04112279096151e-24	0.003	1.19699478624651
NR2F2	5.55275494157206e-29	0.445080990552942	0.615	0.423	1.6315104569327e-24	0.192	1.36139054060483
S100A6	5.99309526537934e-29	0.319267690289033	0.938	0.855	1.76089125087376e-24	0.083	1.24769705909083
SH3BP5	7.32807624132095e-29	0.423242466563003	0.777	0.634	2.15313536122492e-24	0.143	1.34093793739736
SNHG7	1.29342091617744e-28	0.420571540582818	0.778	0.625	3.80032933591256e-24	0.153	1.33845769550277
MINOS1	1.34302998064522e-28	0.408151049937776	0.241	0.098	3.94609068913179e-24	0.143	1.32698406834182
FILIP1	1.52206166144566e-28	0.422865619009723	0.165	0.049	4.47212157365965e-24	0.116	1.34058771564327
