	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
RPS26	4.84785675757855e-27	-0.844720296996855	0.81	0.875	1.42439727251173e-22	-0.0649999999999999	-1.79591652807164
ADIRF	1.15987714502059e-26	-1.07212270883774	0.696	0.863	3.40795102749949e-22	-0.167	-2.10252464140277
MTRNR2L8	4.43318583044885e-23	-0.34752053678048	0.015	0.206	1.30255866070248e-18	-0.191	-1.27237200669769
MT-RNR2	4.34234181034367e-21	5.24749902229695	0.143	0.004	1.27586687071518e-16	0.139	37.988715393542
CLDN5	1.11829992468514e-20	0.589477426810734	0.868	0.914	3.28578883870987e-16	-0.046	1.5047016154692
RPL17	8.72177889407907e-20	-0.405381883478656	0.707	0.931	2.56263307465831e-15	-0.224	-1.32443944505003
RPL36A	3.82613381534281e-19	-0.48458158577329	0.78	0.952	1.12419463762403e-14	-0.172	-1.39918001286147
SLC26A3	5.4143639691963e-19	2.15069926701249	0.128	0.004	1.59084842142926e-14	0.124	4.44042962061154
MT-RNR1	9.01992457347364e-19	2.37055909180263	0.128	0.004	2.65023423817802e-14	0.124	5.17141502777134
SEPT7	4.00074296672217e-17	1.23180244207628	0.304	0.09	1.17549829848231e-12	0.214	2.34860231051432
SNCG	9.49208802006911e-17	-0.790714403722197	0.473	0.692	2.78896530205671e-12	-0.219	-1.72993088971164
AKAP12	6.02226116398036e-16	0.803626847578084	0.864	0.834	1.76946077520071e-11	0.03	1.74548365531589
IGKC	2.11463392584284e-15	0.696512943810558	0.212	0.043	6.21321740091144e-11	0.169	1.62058303594182
EEF1G	2.72022382201949e-15	-0.398581389758098	0.524	0.784	7.99256163385766e-11	-0.26	-1.31821106883743
S100A6	4.23342846975947e-15	-0.526832548035139	0.916	0.975	1.24386595298473e-10	-0.0589999999999999	-1.4407625114742
NME2	5.2458116443248e-15	-0.455701786316371	0.505	0.767	1.54132437733551e-10	-0.262	-1.37144977242835
MT-CO2	2.79095134050211e-14	-0.45125007867827	0.93	0.98	8.20037322866331e-10	-0.0499999999999999	-1.36722442790413
CCN1	5.33613998105985e-14	-0.934587976827433	0.19	0.433	1.56786464923501e-09	-0.243	-1.91134469114066
FAM213A	6.23417276530737e-14	1.00792049289685	0.253	0.077	1.83172464190261e-09	0.176	2.01101033071357
IL32	6.82240163018831e-14	0.522111324408575	0.293	0.092	2.00455804698193e-09	0.201	1.43605531840789
TROVE2	2.68806483985022e-13	0.650007718018276	0.187	0.036	7.89807211244793e-09	0.151	1.56917659043053
RASGEF1B	4.90053097740652e-13	1.97022527352999	0.121	0.02	1.43987401178158e-08	0.101	3.91829297506574
ARL6IP1	1.10952318217104e-12	-0.490735090512346	0.729	0.894	3.26000101385494e-08	-0.165	-1.40516065913951
ID1	1.12134577093981e-12	-0.910868671663154	0.234	0.463	3.29473814417535e-08	-0.229	-1.88017724494459
EIF4A1	1.51680321150391e-12	-0.549467239625066	0.623	0.811	4.45667119604079e-08	-0.188	-1.46354513621613
SEPTIN7	2.25408849732823e-12	-0.579198773093928	0.443	0.676	6.62296282284982e-08	-0.233	-1.49401928743025
TGM2	3.01988321572799e-12	-0.804155680067328	0.168	0.376	8.87302086445199e-08	-0.208	-1.74612359490138
SEPT2	3.51509260798476e-12	0.831653943088597	0.223	0.063	1.03280451007808e-07	0.16	1.77972451567805
RPL28	1.2655697746425e-11	-0.27938898166007	0.868	0.975	3.71849711185459e-07	-0.107	-1.21368075061215
TMEM88	1.46941854803167e-11	-0.401122351609709	0.022	0.165	4.31744557782667e-07	-0.143	-1.32053482775253
LMNA	2.04359101334632e-11	-0.564342154923697	0.637	0.776	6.00447911541416e-07	-0.139	-1.47871308678829
SEPTIN9	2.35915008761386e-11	-0.572156481160008	0.249	0.448	6.93165478742703e-07	-0.199	-1.48674423461857
MT-CO3	4.75860493925375e-11	-0.37125476627589	0.916	0.986	1.39817330325154e-06	-0.07	-1.29347732756207
