	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
HLA-DRB5	1.28611860354277e-91	1.87571065722323	0.794	0.327	3.77887368092937e-87	0.467	3.66982344617683
RPS26	7.75570466362373e-40	-0.714294129890362	0.81	0.862	2.27878114426592e-35	-0.0519999999999999	-1.64068028248994
IGKC	4.66168407569925e-38	1.07343293032213	0.273	0.035	1.36969601512195e-33	0.238	2.10443497183788
HLA-DQA1	7.61192523874632e-26	0.867395091055122	0.788	0.783	2.23653587364844e-21	0.005	1.82436587663386
HLA-DRB1	3.03829773317438e-24	0.662776612269954	0.929	0.94	8.92712639961296e-20	-0.0109999999999999	1.58312658053293
IGLC2	5.28002011471406e-24	0.47811837004553	0.128	0.006	1.55137551010528e-19	0.122	1.39292576256326
IGHA1	8.35161471116104e-24	0.600529778714605	0.174	0.021	2.45387143443334e-19	0.153	1.51627326200406
TXNIP	1.43137753226575e-21	0.665829910281182	0.678	0.417	4.20567346530321e-17	0.261	1.5864806337171
CST3	9.44264485271235e-21	0.41338205564959	0.913	0.951	2.77443791062394e-16	-0.0379999999999999	1.33180425600437
TMEM176B	9.13342601883767e-20	0.679406743746858	0.597	0.346	2.68358323285488e-15	0.251	1.60148106848327
JCHAIN	4.07969316697451e-19	0.38446873505326	0.103	0.005	1.19869544632045e-14	0.098	1.30537899954203
NEAT1	4.49094809092772e-18	-0.574473204350759	0.857	0.928	1.31953036807638e-13	-0.0710000000000001	-1.48913361128569
HLA-DQA2	4.2188484864297e-16	-0.6144065166437	0.237	0.421	1.23958206228277e-11	-0.184	-1.53092808763915
MT-RNR2	1.73721099794024e-15	3.1272324875935	0.114	0.014	5.10427335414801e-11	0.1	8.73757229586796
PTGDS	2.20357018862865e-15	-1.32228015442437	0.072	0.214	6.47452992822871e-11	-0.142	-2.50061014713247
SOD2	7.15722775751211e-15	-0.799318932586899	0.676	0.728	2.10293665971221e-10	-0.0519999999999999	-1.74027938162692
