	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
RPL17	4.279234075806e-107	-1.11449582760119	0.739	0.959	1.25732455615332e-102	-0.22	-2.16519329808176
SNHG29	3.08857555710076e-92	-1.0694064851182	0.414	0.852	9.07485270187345e-88	-0.438	-2.09856985233865
EEF1G	3.06115347545541e-91	-0.971496991181189	0.511	0.875	8.99428114158308e-87	-0.364	-1.96087421205282
KIAA1551	1.05076962622546e-78	1.31736834169951	0.346	0.042	3.08737131577565e-74	0.304	2.49211102327287
LRFN5	9.95106635365886e-78	1.1686762588273	0.305	0.026	2.92382231603205e-73	0.279	2.24805332715357
NME2	1.57129776855453e-75	-0.777968353151608	0.451	0.847	4.61678710356693e-71	-0.396	-1.71471445901019
AC024230.1	3.44997559883836e-71	2.67642587607529	0.333	0.221	1.01367183045069e-66	0.112	6.39270214552743
RPL36A	1.25723599600487e-69	-0.665412694738402	0.739	0.966	3.6940108034615e-65	-0.227	-1.58602190289698
EIF4A1	5.70159485652521e-63	-0.745816515791772	0.674	0.918	1.67524260074424e-58	-0.244	-1.67692308162282
MT-RNR2	2.24625580368389e-62	3.85939742707348	0.252	0.023	6.599948802384e-58	0.229	14.514243029971
MIF	7.60674966290699e-60	-0.650875476851815	0.6	0.889	2.23501518595533e-55	-0.289	-1.57012070987508
RPS27	6.44541116501304e-57	-0.55064865126818	0.935	0.996	1.89379070850413e-52	-0.0609999999999999	-1.46474411268784
RPL26	1.7666724504785e-56	-0.365220848149233	0.746	0.973	5.19083699399594e-52	-0.227	-1.28807879387054
TNNT1	5.78343357840247e-56	0.493809551430064	0.358	0.079	1.69928845400621e-51	0.279	1.40815832522555
MT-ND3	6.48017071337301e-56	-0.624442086932683	0.898	0.978	1.90400375900326e-51	-0.08	-1.54161454331078
ITM2B	2.12119224094222e-55	0.305556367736015	0.871	0.973	6.23248704233644e-51	-0.102	1.23589516168937
CYR61	3.3829130587806e-54	1.10523256540662	0.314	0.056	9.93967514930916e-50	0.258	2.15133555267786
IFITM3	5.32179848338182e-54	0.355330004395635	0.788	0.93	1.56365083038725e-49	-0.142	1.27927817196921
GAS5	3.00580311232259e-52	-0.540989411844581	0.519	0.841	8.83165070462622e-48	-0.322	-1.45497000535235
BTG1	4.69222613732415e-52	-0.800141152459498	0.586	0.835	1.37866988366858e-47	-0.249	-1.74127148326654
GABARAP	2.15035890295317e-51	-0.610055784389986	0.481	0.798	6.318184528657e-47	-0.317	-1.52631822564989
SLC26A3	5.71579338929613e-50	2.03855691616099	0.217	0.023	1.67941441364299e-45	0.194	4.10834379968457
RESF1	1.18959157556144e-49	-0.78114543800637	0.295	0.625	3.49525796731462e-45	-0.33	-1.7184947425213
EEF1A1	1.7017290790949e-49	-0.309576999575862	0.947	0.999	5.00002038019664e-45	-0.052	-1.23934426899998
PRUNE2	5.94486835100226e-49	1.05980891816863	0.529	0.264	1.74672121889148e-44	0.265	2.0846553953075
RPL41	7.63118607574157e-49	-0.334624536713915	0.873	0.993	2.24219509277439e-44	-0.12	-1.26104917641122
MARCKS	8.14302744381174e-49	-0.812155528958069	0.522	0.77	2.39258432354077e-44	-0.248	-1.75583287162887
CCN1	9.66723300569945e-49	-0.653536934691183	0.346	0.694	2.84042640173461e-44	-0.348	-1.57301991367188
RASGEF1B	2.41300682139398e-46	2.18946908634954	0.392	0.182	7.08989664261978e-42	0.21	4.56137596229012
C6orf48	5.29497341573146e-45	0.63789217891812	0.296	0.061	1.55576908901022e-40	0.235	1.55605405569761
RNASEK	7.08502411831171e-45	-0.59104521855762	0.441	0.748	2.08172178644235e-40	-0.307	-1.50633767921011
SNHG6	8.62786574472614e-45	-0.335021339384578	0.474	0.786	2.53503951311544e-40	-0.312	-1.26139606642411
EIF1	1.33772294853902e-44	-0.410927803199448	0.857	0.988	3.93049756739736e-40	-0.131	-1.32954057230641
MT-RNR1	5.02087283222934e-44	2.14392994367438	0.203	0.022	1.47523285556562e-39	0.181	4.41964331900591
IGKC	6.67089765314688e-44	0.304759206606487	0.242	0.037	1.96004314844762e-39	0.205	1.23521245646265
PLCB1	8.7130353059299e-44	1.25729703701461	0.543	0.325	2.56006403358832e-39	0.218	2.39047453473444
HNRNPA1	1.84487428461111e-43	-0.270241179979733	0.727	0.946	5.42060962304438e-39	-0.219	-1.20600942332181
