	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
PTGDS	7.40193599434037e-170	-1.70133429728637	0.512	0.92	2.17483683385709e-165	-0.408	-3.25201586872043
MIF	4.23404586980781e-118	-1.44896200213643	0.405	0.765	1.24404735746693e-113	-0.36	-2.73011552873482
S100A10	3.66838479418351e-112	1.38286405577794	0.566	0.155	1.077844820227e-107	0.411	2.60785572237829
RPL17	1.07223974435893e-93	-0.922743468449934	0.636	0.924	3.1504548168754e-89	-0.288	-1.89571681506778
MGP	4.13495807415216e-91	1.35381027611002	0.904	0.821	1.21493338134739e-86	0.0830000000000001	2.55586259155772
MICOS10	1.12209304462993e-78	-1.28325887196624	0.238	0.54	3.29693378373167e-74	-0.302	-2.43388140494103
FOS	5.97014013305097e-76	1.07495088791421	0.919	0.882	1.75414657389304e-71	0.037	2.10665035630025
CYR61	4.2220554887689e-73	2.00081846914839	0.468	0.154	1.24052434371008e-68	0.314	4.0022699221551
NEAT1	9.10441612443056e-72	-0.938779056922836	0.788	0.951	2.67505954568019e-67	-0.163	-1.91690528799219
EEF1G	3.82898405609533e-69	-0.848745761519228	0.346	0.706	1.12503209536193e-64	-0.36	-1.80093456260203
FAM129A	9.77345982129613e-68	0.962972121001841	0.322	0.057	2.87163796469323e-63	0.265	1.94932159224336
NRP2	2.00236258079747e-67	0.850688997259717	0.373	0.086	5.88334173489913e-63	0.287	1.80336196290849
EIF4A1	3.74353219124242e-66	-0.885714185638588	0.614	0.83	1.09992462843085e-61	-0.216	-1.8476790623118
BST2	5.90562045057348e-66	-0.77749992786701	0.574	0.832	1.7351894007875e-61	-0.258	-1.7141578027504
SEPT7	2.50286045279714e-65	1.0943371941621	0.534	0.201	7.35390458240855e-61	0.333	2.13514965600913
C9orf3	3.62888232744924e-65	1.05371596075444	0.45	0.16	1.06623820545114e-60	0.29	2.07586980152389
PGRMC1	4.70875209360878e-65	-0.832289372943888	0.662	0.863	1.38352554014413e-60	-0.201	-1.7805085616089
MDK	2.19299492492404e-59	-0.859785424416857	0.502	0.781	6.44345768841181e-55	-0.279	-1.81476837559508
RNASEK	3.03285734571585e-59	-0.873544983799832	0.294	0.572	8.91114145318232e-55	-0.278	-1.83215934762335
CEBPD	3.80285304204310e-59	-0.942567897036733	0.704	0.876	1.1173542808131e-54	-0.172	-1.9219461266515
FN1	2.4503432296787e-58	1.07168711039989	0.656	0.391	7.19959847744196e-54	0.265	2.1018899139148
RPL36A	3.16964447691912e-57	-0.65760260452409	0.774	0.936	9.31304940208377e-53	-0.162	-1.57745910513853
FHL1	7.08021806844764e-57	0.830379046062469	0.796	0.598	2.08030967287129e-52	0.198	1.77815248334216
FGF7	1.40979356290609e-56	0.876047459196315	0.671	0.364	4.14225544653067e-52	0.307	1.83534013936087
PLN	7.08384673288092e-56	0.963212927155689	0.489	0.188	2.08137584705507e-51	0.301	1.94964698867128
RPL37A	1.45313859046185e-52	-0.407435014925214	0.969	0.99	4.26961180649501e-48	-0.021	-1.326325626139
