	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
MT-RNR2	0	5.2852262568448	0.275	0.008	0	0.267	38.9952435545972
NEAT1	0	-1.09669832302289	0.778	0.98	0	-0.202	-2.13864692393883
RPL26	8.00575079339531e-317	-0.518867255138725	0.723	0.986	2.35224969811541e-312	-0.263	-1.43282980716354
MT-RNR1	4.3781002067826e-312	3.30640190423542	0.25	0.007	1.28637340275686e-307	0.243	9.89295767168042
PTGDS	1.67635489553931e-309	-1.22898860836758	0.62	0.915	4.92546595407359e-305	-0.295	-2.34402605866362
RPL17	6.21450982082433e-281	-0.523021725223065	0.677	0.962	1.8259472755546e-276	-0.285	-1.43696181526883
SLC26A3	5.03073616312286e-279	2.43943023084625	0.223	0.008	1.47813089944876e-274	0.215	5.42427465686547
RPL36A	6.67754389927342e-262	-0.43343311112808	0.689	0.963	1.96199594848452e-257	-0.274	-1.35044334054138
RPL41	3.59245472820929e-255	-0.426962555627445	0.888	0.996	1.05553504824245e-250	-0.108	-1.34440010051947
RASGEF1B	1.48964360820148e-246	2.48971245780216	0.242	0.028	4.37687084961758e-242	0.214	5.61665994015227
LINC00486	3.39263321810183e-244	2.26141117411138	0.201	0.006	9.96823492142681e-240	0.195	4.79460237234817
IGKC	3.9220067064075e-241	0.599632332235664	0.262	0.024	1.15236401047665e-236	0.238	1.51533033858226
RPL39	4.63763026375986e-230	-0.483612769233395	0.835	0.99	1.36262852409792e-225	-0.155	-1.39824073348868
RPL28	1.01191690873386e-221	-0.526270655151555	0.824	0.986	2.97321426124181e-217	-0.162	-1.44020148052219
MICOS10	9.07748128724789e-208	-1.16452504380215	0.471	0.704	2.66714555181918e-203	-0.233	-2.24159406918773
RPL9P9	4.03541213835555e-207	1.97825901514499	0.174	0.006	1.18568479449163e-202	0.168	3.94017310949628
RPL13AP5	7.69813044446759e-202	1.79164838613015	0.163	0.005	2.26186468719347e-197	0.158	3.46210237509311
RPS26	5.84890450086803e-198	-0.775407379955904	0.793	0.894	1.71852512044505e-193	-0.101	-1.7116733156306
RPL29	3.01828427700766e-192	-0.356412710707124	0.802	0.984	8.86832286270392e-188	-0.182	-1.28023859837708
EIF4A1	4.60375951268429e-185	-0.714228760971351	0.634	0.887	1.3526766200169e-180	-0.253	-1.64060594448797
SFRP4	3.61953813576132e-180	0.615657407672264	0.892	0.967	1.06349269504939e-175	-0.075	1.53225605689689
RPL18	9.70926153569271e-180	-0.476122268052574	0.887	0.989	2.85277522441723e-175	-0.102	-1.39099985361276
EEF1G	6.49444609040607e-177	-0.374220146186143	0.58	0.857	1.90819815028311e-172	-0.277	-1.29613873295956
IGHA1	8.11654509149695e-174	0.416089938971883	0.181	0.014	2.38480327878363e-169	0.167	1.33430634900343
RPS13P2	1.56960721207293e-173	1.6129477941197	0.149	0.006	4.61181991051269e-169	0.143	3.05876186830859
CEBPD	3.14039084112e-170	-0.632820754202405	0.813	0.969	9.22709636937879e-166	-0.156	-1.55059374919123
ID1	7.85524720555108e-170	1.09036267239988	0.61	0.361	2.30802873393502e-165	0.249	2.12927556631957
MTATP6P1	6.96386504707769e-168	1.44701379803204	0.14	0.005	2.04612282813237e-163	0.135	2.72643129021187
AC007969.1	8.78091695162424e-168	1.52201923494989	0.136	0.004	2.58000901872623e-163	0.132	2.87192731139698
RPS6	6.96594047750079e-166	0.437814732456548	0.984	0.991	2.04673263109928e-161	-0.00700000000000001	1.35455101802294
AC073621.1	1.79876793996424e-165	1.50909887727351	0.136	0.004	5.28513996120294e-161	0.132	2.84632199274121
RPS23P8	3.76677057601719e-162	1.30395968709924	0.131	0.005	1.10675253064537e-157	0.126	2.46905622054441
AP001324.1	8.11034958537652e-160	1.49607899465708	0.138	0.006	2.38298291517533e-155	0.132	2.82075036671189
SOD2	2.02548576827196e-158	-1.08172983068627	0.543	0.735	5.95128228433667e-154	-0.192	-2.11657238826591
IGLC2	2.71430651538221e-152	0.369494239488661	0.151	0.01	7.97517540349601e-148	0.141	1.29189985446823
AC005912.1	2.74893886708669e-148	1.22675751662325	0.121	0.004	8.07693217927411e-144	0.117	2.34040388260086
TSC22D1	2.86628803044796e-148	0.884809899163497	0.718	0.612	8.4217274910622e-144	0.106	1.8465212932706
MT-ND1	1.71787869307101e-144	0.284172246884179	0.933	0.997	5.04747117598123e-140	-0.0639999999999999	1.21771139552168
EEF1A1	4.27450962551981e-144	-0.2509992130207	0.952	0.998	1.25593641817023e-139	-0.046	-1.19003104715351
