	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
RPL17	2.47505639346444e-34	-0.921284478812552	0.686	0.914	7.27221069527721e-30	-0.228	-1.8938006560414
EEF1G	3.45541453720285e-24	-0.72095175144411	0.403	0.745	1.01526989932094e-19	-0.342	-1.64826904534534
SEPT7	6.1367248101588e-23	1.3200682153339	0.37	0.095	1.80309248372086e-18	0.275	2.49677915088587
MIF	1.15756439648797e-19	-0.771858762533583	0.397	0.704	3.40115570976096e-15	-0.307	-1.70746826227161
IGKC	2.54785044845012e-18	0.817621229405478	0.195	0.021	7.48609418763613e-14	0.174	1.76249752232168
IL7R	9.36846206104535e-18	0.637070941570359	0.937	0.907	2.75264152277634e-13	0.03	1.55516854210912
RPL36A	1.99852245951057e-15	-0.474402206189689	0.785	0.94	5.87205869053396e-11	-0.155	-1.38934241389124
SNHG29	1.15479001991852e-14	-0.857634339517163	0.273	0.516	3.39300403652459e-10	-0.243	-1.81206453873099
SEPTIN7	1.23855770857751e-14	-0.834477315350827	0.294	0.537	3.63913025934243e-10	-0.243	-1.78321086914915
SEPT6	5.31909723487195e-14	0.941777908758907	0.276	0.08	1.56285714955008e-09	0.196	1.9208939990393
HLA-A	2.22455288750855e-13	-0.440597111166134	0.929	0.969	6.53618129407761e-09	-0.0399999999999999	-1.35716592308981
TLE5	1.19396093617007e-12	-0.757679661058222	0.253	0.432	3.50809602265489e-08	-0.179	-1.69076911125921
IGHA1	1.73758211545063e-12	0.598951099420151	0.132	0.016	5.10536377161704e-08	0.116	1.51461497667932
CRISP3	8.62314563301028e-12	-0.597608804345767	0.005	0.105	2.53365264989108e-07	-0.1	-1.51320642208486
RARRES3	1.1802534129137e-11	0.660661762380393	0.251	0.078	3.46782057782303e-07	0.173	1.58080757187035
RPL28	1.43415306603476e-11	-0.287372151191371	0.942	0.996	4.21382853862333e-07	-0.054	-1.22041528256612
PTPRC	2.82912099358867e-11	0.45507531556461	0.944	0.891	8.31252330336222e-07	0.0529999999999999	1.37085436825044
LAIR2	6.60967119204578e-11	-0.687152641457143	0.01	0.101	1.94205358964689e-06	-0.091	-1.6101026199111
MT-CO2	6.65425540835645e-11	-0.326155158313068	0.947	0.986	1.95515332408329e-06	-0.039	-1.25366784209217
XCL1	7.43279332901082e-11	-1.03795439890161	0.035	0.173	2.18390333592996e-06	-0.138	-2.05331418869929
SEPTIN6	8.47434447171931e-11	-0.737689433020952	0.243	0.428	2.48993189268057e-06	-0.185	-1.6675030879122
AES	9.50525583579818e-11	0.74243846765838	0.246	0.08	2.79283426967422e-06	0.166	1.67300118547478
CRIP1	1.51283629578591e-10	-0.849086677121771	0.471	0.658	4.44501560427815e-06	-0.187	-1.80136018216921
LGALS3	2.45559512099319e-10	0.713210045052727	0.461	0.255	7.21502958450219e-06	0.206	1.63944788862024
IL32	7.21252458944962e-10	-0.380509455961683	0.805	0.78	2.11918397487209e-05	0.025	-1.30180147678891
