	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
IGLC1	3.4160790644692e-07	-3.81629399653625	0.037	0.154	0.0100371235072234	-0.117	-14.0870146168024
RPL17	8.64482860114961e-44	-2.12211821497555	0.604	0.88	2.54002353958978e-39	-0.276	-4.3533264652808
EEF1G	1.11947623814474e-37	-1.83513687296721	0.184	0.692	3.28924508291686e-33	-0.508	-3.56805257387205
GAS5	8.20690283789216e-25	-1.52695951741662	0.155	0.518	2.41135219182947e-20	-0.363	-2.88177863271319
SEPTIN7	2.59768258403609e-20	-1.42021286775271	0.127	0.429	7.63251096841485e-16	-0.302	-2.67624995759747
PTGDS	2.21612839941683e-11	-1.39291606763361	0.024	0.199	6.51142846316652e-07	-0.175	-2.62608946712841
CRIP1	1.85184693697232e-16	-1.38018052278799	0.253	0.546	5.44109667021206e-12	-0.293	-2.60300940210977
IGHM	2.85077830325091e-18	-1.37170168262082	0.743	0.387	8.37615681061182e-14	0.356	-2.58775616298299
SNHG29	1.54173295919416e-18	-1.31867079415679	0.147	0.454	4.52991978070428e-14	-0.307	-2.49436189517599
SNHG6	1.80339981384724e-19	-1.25349403155345	0.127	0.451	5.29874933304595e-15	-0.324	-2.38418144031081
ARID5B	2.39378619540426e-15	-1.24027068302383	0.212	0.499	7.0334225993368e-11	-0.287	-2.3624285276206
MIF	4.08189433985471e-18	-1.22266438461549	0.208	0.521	1.19934219493611e-13	-0.313	-2.33377323281508
EIF4A1	3.41218006872408e-13	-1.09573114607967	0.294	0.563	1.00256674779251e-08	-0.269	-2.13721366413649
RESF1	8.65528153812316e-15	-1.06960846121664	0.049	0.272	2.54309482153135e-10	-0.223	-2.09886367092853
EGR3	1.24445166031627e-08	-1.04937901743798	0.09	0.246	0.000365644786834126	-0.156	-2.06963881651132
LINC01578	1.289968768695e-12	-0.933868096828877	0.106	0.317	3.79018623617965e-08	-0.211	-1.91039120093884
LINC01781	3.52803235432382e-12	-0.920939379195125	0.037	0.238	1.03660646634742e-07	-0.201	-1.89334770395974
RPL36A	1.23687504560973e-19	-0.907440799521146	0.743	0.891	3.63418625901051e-15	-0.148	-1.87571520941705
ATP6V0C	1.46827699108241e-09	-0.835244503156064	0.131	0.289	4.31409145519833e-05	-0.158	-1.78415938661643
SNHG32	4.0292296477431e-12	-0.822397465147378	0.098	0.272	1.18386825509988e-07	-0.174	-1.76834217655829
CCR7	7.34466993913318e-07	-0.817769601597093	0.18	0.375	0.0215801092151611	-0.195	-1.7626787935261
NME2	1.18634918861369e-13	-0.816792280950352	0.147	0.434	3.48573118598473e-09	-0.287	-1.76148511159137
MYC	1.09983584430979e-06	-0.775747018058067	0.127	0.294	0.0323153767775104	-0.167	-1.71207632381719
RPS12	2.27559435573299e-11	-0.750137347703185	0.976	0.983	6.68615133601466e-07	-0.00700000000000001	-1.68195294846147
CYP51A1	3.52213666603883e-07	-0.735073521834754	0.073	0.218	0.0103487419521553	-0.145	-1.66448229169689
TOMM6	2.19739771314127e-08	-0.722804525594538	0.131	0.3	0.000645639396075169	-0.169	-1.65038718673515
SEPTIN2	6.01187494734685e-10	-0.719006427109994	0.086	0.213	1.76640909702945e-05	-0.127	-1.64604802357502
RBM27	4.5813356583662e-09	-0.691519523958022	0.078	0.199	0.000134608804314116	-0.121	-1.61498361051251
MICOS10	4.71487377788074e-08	-0.689778613507172	0.106	0.252	0.00138532421341692	-0.146	-1.61303597355936
RPLP1	2.48977115373272e-17	-0.673786411221099	0.971	0.992	7.31544560389746e-13	-0.021	-1.59525428719418
PRXL2C	9.83447169487933e-11	-0.668813631784901	0.057	0.168	2.88956447338944e-06	-0.111	-1.58976512181586
RNASEK	5.57206739209804e-07	-0.665967806230901	0.233	0.431	0.0163718484114625	-0.198	-1.58663228025573
HLA-DQA2	1.92008513640532e-07	-0.639076998613924	0.127	0.308	0.00564159414778611	-0.181	-1.55733249687758
RPL39	7.85611021821676e-12	-0.619488189999254	0.939	0.975	2.30828230431645e-07	-0.036	-1.5363300566726
SEPTIN6	1.62113566685408e-06	-0.612484899057046	0.106	0.235	0.0476322081635065	-0.129	-1.52889030425531
RPL28	2.35039114115787e-10	-0.59291059124517	0.914	0.972	6.90591925095005e-06	-0.0579999999999999	-1.50828660010158
TOMM5	3.80519738869794e-07	-0.589244204059226	0.151	0.241	0.0111804309674723	-0.09	-1.5044583885382
RPS20	5.41548724900227e-10	-0.572874773797532	0.935	0.95	1.59117846350185e-05	-0.0149999999999999	-1.48748464288239
SNX9	1.49556589086074e-06	-0.572632332002856	0.078	0.218	0.0439427170052703	-0.14	-1.48723469529372
RPS25	4.68931832985716e-09	-0.568677064794509	0.963	0.992	0.000137781551167863	-0.029	-1.48316290308374
RPS4X	1.90622225664237e-10	-0.553593699322911	0.959	0.98	5.60086223446661e-06	-0.021	-1.46773722461175
RPL21	1.78269372791212e-07	-0.549813214929686	0.976	0.994	0.00523791071135139	-0.018	-1.46389615370718
RPS18	1.3418177896512e-08	-0.537467535862043	0.976	0.992	0.000394252902955315	-0.016	-1.4514224958052
RPLP2	3.37057599197203e-08	-0.525487309734082	0.984	0.969	0.000990342637961222	0.015	-1.43941970130431
RPS15A	1.37838409674036e-08	-0.512887606006603	0.939	0.98	0.000404996815304254	-0.041	-1.42690333765603
SNHG16	1.0697544054103e-06	-0.502913599850198	0.049	0.162	0.0314315239397654	-0.113	-1.4170725282987
RPL26	9.42177686608247e-08	-0.500833253812433	0.861	0.964	0.00276830647879235	-0.103	-1.41503060213341
RPL8	5.65146182345609e-07	-0.493280133110421	0.939	0.964	0.0166051251296787	-0.025	-1.40764167546734
RPS11	2.04773612740614e-07	-0.492139370550236	0.959	0.958	0.00601665828954473	0.001	-1.40652907011199
RPS14	4.98371356588496e-07	-0.489685527403866	0.971	0.989	0.0146431471992832	-0.018	-1.40413877411454
RPL18	5.49776765543885e-09	-0.48482822715606	0.914	0.975	0.000161535409252104	-0.0609999999999999	-1.39941923541619
RPS21	1.00949632171219e-06	-0.461172690810797	0.951	0.961	0.0296610209245476	-0.01	-1.37666037818047
RPS28	6.93628319556533e-08	-0.439971094723638	0.967	0.989	0.002038018728521	-0.022	-1.35657714732362
TPT1	6.4005764022532e-10	-0.433266590208985	0.984	0.997	1.88061735851003e-05	-0.013	-1.35028747663229
EEF1A1	2.91573406271533e-08	-0.424060126122304	0.963	1	0.000856700982307018	-0.037	-1.3416981406671
RPS17	9.24764920910015e-08	-0.404468650874624	0.547	0.742	0.00271714429061781	-0.195	-1.32360133407473
