	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
GSTA1	1.03252943020156e-31	-1.6110701274091	0.365	0.725	3.03377797181822e-27	-0.36	-3.05478348110943
KCNQ1OT1	9.63033731197498e-10	-1.37758746556661	0.593	0.611	2.82958570900449e-05	-0.018	-2.5983350323596
CRISP3	1.34948444179072e-19	-1.3347640133156	0.061	0.328	3.96505518686951e-15	-0.267	-2.52234219556281
OVGP1	1.32285957587722e-07	-0.88898464711013	0.125	0.293	0.00388682600584245	-0.168	-1.85187233767192
ATF3	4.24066049901265e-11	-0.879174726799789	0.529	0.625	1.2459908678199e-06	-0.096	-1.83932284175782
IRF1	6.03595713528099e-13	-0.822740371374757	0.521	0.586	1.77348492548826e-08	-0.0649999999999999	-1.76876253401155
NEAT1	6.17702726036401e-16	-0.814727147602065	0.882	0.799	1.81493414964015e-11	0.083	-1.75896545275358
TCF7	4.37315196927048e-13	-0.791520361145104	0.464	0.588	1.28491951161105e-08	-0.124	-1.73089758060731
GADD45B	1.80666590653157e-10	-0.744563540511358	0.639	0.66	5.30834576657107e-06	-0.021	-1.67546731241625
SOX4	2.93911592742621e-14	-0.739261842956415	0.719	0.693	8.6357104179637e-10	0.026	-1.66932150950574
PLAC8	5.48823677972146e-14	-0.739055600808319	0.376	0.496	1.61255373061776e-09	-0.12	-1.66908288676385
TMED6	4.63781732479003e-11	-0.715749539340339	0.163	0.336	1.36268348636981e-06	-0.173	-1.64233625716081
JUN	2.35648835725005e-10	-0.713568316161319	0.658	0.68	6.92383409127211e-06	-0.022	-1.63985507082693
CLU	2.41553868284808e-13	-0.705983123192833	0.779	0.793	7.09733575794424e-09	-0.014	-1.63125590395327
CCN1	8.52478119008609e-09	-0.704678115713188	0.548	0.52	0.000250475120927109	0.028	-1.62978099860653
BRD2	1.33616203571012e-11	-0.702485042509548	0.54	0.596	3.92591129332348e-07	-0.0559999999999999	-1.62730541390038
LDLRAD1	3.78119028434781e-15	-0.695546661486942	0.722	0.791	1.11098932934707e-10	-0.0690000000000001	-1.61949797194727
CCHCR1	9.5582254839472e-07	-0.682471195356555	0.346	0.398	0.0280839781169337	-0.052	-1.60488641542927
RALGDS	1.2505275336614e-08	-0.674149283432171	0.35	0.451	0.000367429999940392	-0.101	-1.59565558215975
BIRC3	6.17467125566289e-07	-0.667929713816224	0.213	0.314	0.0181424190833887	-0.101	-1.58879139450284
GSTA2	1.16910769186248e-06	-0.664841386921211	0.042	0.162	0.0343507222023033	-0.12	-1.58539396192536
MALAT1	1.37437043613114e-06	-0.65309527399879	0.97	0.918	0.0403817521544052	0.0519999999999999	-1.57253842956553
DNAH5	1.25157206410965e-11	-0.649142685808343	0.631	0.68	3.67736903876698e-07	-0.049	-1.56823600257566
TLE4	2.24025478225425e-10	-0.636894841088351	0.589	0.613	6.58231660121943e-06	-0.024	-1.55497872429713
FAM153CP	3.61671296990242e-08	-0.631179805652915	0.266	0.426	0.00106266260481673	-0.16	-1.54883107725408
CDHR3	1.09847038633134e-14	-0.630150659670297	0.764	0.773	3.22752568911875e-10	-0.00900000000000001	-1.54772661314989
DNAH6	3.73096567623308e-07	-0.611274682037598	0.635	0.66	0.010962323349908	-0.025	-1.52760831938238
AHNAK	3.9002242696681e-07	-0.607997323999681	0.593	0.678	0.0114596389491388	-0.0850000000000001	-1.52414200326395
CFAP70	9.59883708185094e-07	-0.60763917449228	0.707	0.711	0.0282033031138944	-0.004	-1.52376368148316
CCN2	9.49347338322e-08	-0.607207154527264	0.593	0.578	0.0027893723494577	0.015	-1.52330745354933
NIN	4.71583216082719e-09	-0.595700841302794	0.259	0.43	0.000138560580549425	-0.171	-1.51120653051539
SYNE2	1.8655295783185e-10	-0.590134729856282	0.749	0.74	5.48129900701542e-06	0.00900000000000001	-1.50538732538637
REV3L	2.52967655426677e-08	-0.583912043885398	0.506	0.57	0.000743269565174662	-0.0639999999999999	-1.49890821573286
IGKC	2.01478325461471e-46	-0.580626005710671	0.414	0.02	5.91983615870893e-42	0.394	-1.49549802553792
ZC3HAV1	4.0588210929959e-07	-0.577926916255221	0.369	0.428	0.0119256281354406	-0.059	-1.49270276435601
CLDN10	4.4182916791194e-10	-0.577571062891391	0.106	0.295	1.29818246115886e-05	-0.189	-1.49233462155402
NUCB2	4.41884273727246e-18	-0.574128521942687	0.779	0.758	1.2983443730654e-13	0.021	-1.48877787647388
WEE1	4.38322559191539e-08	-0.572096903543723	0.445	0.48	0.00128787934341658	-0.035	-1.48668283921199
USP53	8.44008534517915e-07	-0.565135027829331	0.369	0.459	0.0247986587612054	-0.09	-1.47952597775871
TACC1	3.89898571729668e-11	-0.564913766030538	0.228	0.418	1.14559998345611e-06	-0.19	-1.47929908470932
KLF6	1.02016896561476e-14	-0.544687870158841	0.795	0.732	2.99746045476929e-10	0.0630000000000001	-1.45870471653286
KCTD12	3.97601614819058e-07	-0.542913135451422	0.643	0.639	0.0116823306466136	0.004	-1.45691139074331
CDC14A	5.46932578873241e-07	-0.539854343024097	0.422	0.506	0.0160699730324536	-0.084	-1.45382572916108
RP1	7.8887767444901e-09	-0.538450749375054	0.738	0.711	0.000231788038306608	0.027	-1.45241199431972
MUC1	4.7841193747606e-07	-0.537810406259411	0.319	0.455	0.0140566995469216	-0.136	-1.45176748135939
ZFP36	8.28470193195504e-09	-0.532895170955063	0.715	0.725	0.000243421112164703	-0.01	-1.4468297525698
FUS	6.15000401980243e-07	-0.530574700780211	0.646	0.664	0.0180699418109835	-0.018	-1.44450450251075
ENPP2	6.65651824731285e-08	-0.528813953425527	0.259	0.389	0.00195581819142546	-0.13	-1.44274262215421
ALDH1A1	1.55108235351316e-09	-0.528074044557341	0.308	0.525	4.55739017109238e-05	-0.217	-1.442002878594
KIAA0319L	5.24767877508005e-07	-0.510814433988962	0.388	0.482	0.0154187297769402	-0.094	-1.42485433110405
DNAH9	8.45452600171384e-09	-0.504829135673135	0.741	0.74	0.000248410882982356	0.001	-1.41895529351778
SAMHD1	1.21557334928994e-10	-0.499788538153917	0.662	0.65	3.5715976148837e-06	0.012	-1.41400629036717
TFF3	1.91635132793324e-07	-0.494435940280919	0.856	0.785	0.00563062347173345	0.071	-1.40876985168331
NUPR1	1.08523162734172e-06	-0.493959333638444	0.502	0.535	0.0318862756745543	-0.033	-1.408304529383
ALCAM	1.85951736278106e-08	-0.489937651052473	0.49	0.529	0.00054636339153233	-0.039	-1.40438418115928
ZBTB16	1.36171712454744e-07	-0.489233604863478	0.141	0.244	0.0040009972553453	-0.103	-1.40369899816304
SPON2	8.53281074153442e-09	-0.484295344139429	0.183	0.371	0.000250711045207764	-0.188	-1.39890243247701
RIPOR2	2.58073313177736e-08	-0.477436570824763	0.612	0.598	0.000758271008778824	0.014	-1.39226763918936
UBE2H	1.6370452802089e-06	-0.47403010716576	0.62	0.566	0.0480996644230978	0.054	-1.38898412175152
LKAAEAR1	2.50394344070292e-08	-0.455157333250526	0.053	0.168	0.000735708661747331	-0.115	-1.37093230398589
GJA4	1.86840832094205e-11	-0.454258324990456	0.118	0.344	5.48975732859193e-07	-0.226	-1.37007828043734
TMOD3	4.40065393213822e-08	-0.435318046951659	0.544	0.551	0.00129300013834085	-0.00700000000000001	-1.35220889915086
WSB1	8.21897509180767e-07	-0.433871855416238	0.605	0.631	0.0241489926147493	-0.026	-1.35085409221673
ERICH3	4.29277042104229e-10	-0.433601966154628	0.76	0.754	1.26130180511064e-05	0.00600000000000001	-1.35060140755111
CAPN2	1.06641457152483e-08	-0.425177660365903	0.635	0.607	0.000313333929405424	0.028	-1.3427378437583
BTG1	2.11434975885826e-11	-0.419678161279502	0.753	0.725	6.21238246147733e-07	0.028	-1.337629121053
NR4A3	5.8970470368809e-08	-0.412582113905457	0.433	0.33	0.00173267036037635	0.103	-1.33106600538094
TXNIP	1.68147930036877e-06	-0.402091846528357	0.707	0.693	0.0494052248034351	0.014	-1.32142252891722
YBX3	6.82523995297436e-07	-0.381697571036568	0.798	0.789	0.0200539200298293	0.00900000000000001	-1.30287400214565
AGR3	1.45847739073595e-06	-0.370708289152392	0.844	0.84	0.0428529826946036	0.004	-1.29298746526163
IK	2.50787296162133e-07	-0.360931988598801	0.825	0.824	0.00736863233583578	0.001	-1.28425526531496
NFE2L2	1.51796445299668e-06	-0.355152695581536	0.734	0.691	0.0446008315579486	0.043	-1.27912095692996
F11R	7.45360807993267e-07	-0.325789578233999	0.525	0.572	0.0219001912604582	-0.0469999999999999	-1.25335020190354
SELENBP1	2.55012543096109e-07	-0.324808332729744	0.65	0.627	0.00749277854124987	0.023	-1.25249802866314
MSI2	1.60181068784956e-06	-0.323972096938224	0.688	0.658	0.0470644016303957	0.0299999999999999	-1.2517722479822
TSPAN6	2.96488115624422e-10	-0.318424099103462	0.703	0.67	8.71141381327676e-06	0.0329999999999999	-1.24696770289131
B4GALT1	9.86610178860682e-07	-0.309555897062076	0.414	0.365	0.0289885802752846	0.049	-1.2393261410606
RIIAD1	3.31311657509437e-07	-0.295103849825467	0.738	0.684	0.00973459912094227	0.0539999999999999	-1.22697329555602
SUGT1	2.4098816673601e-07	-0.287436728813454	0.616	0.531	0.00708071431503746	0.085	-1.2204699117695
EPB41L2	8.9603843761669e-07	-0.268930984038022	0.125	0.287	0.0263274013740536	-0.162	-1.2049146726435
TP53TG1	5.6739062603758e-08	-0.268036273657831	0.582	0.514	0.00166710713742362	0.0679999999999999	-1.20416765721852
SPTBN1	5.74642647966209e-07	-0.253653689439084	0.589	0.555	0.0168841502825432	0.0339999999999999	-1.19222265185977
RNASEK	7.47108114411859e-09	-0.251321123766912	0.783	0.717	0.000219515306176492	0.0660000000000001	-1.19029661022384
