	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
MT1E	3.52706531343882e-09	-1.3057849280998	0.394	0.599	0.00010363223303946	-0.205	-2.47218195018377
RPL17	1.04462604559853e-23	-1.24180090310922	0.655	0.892	3.0693202471776e-19	-0.237	-2.36493560869772
PTGDS	2.2232688577565e-08	-1.23608931349116	0.028	0.215	0.000653240855786014	-0.187	-2.3555914032026
EEF1G	4.11591932679633e-17	-1.18407933620287	0.317	0.71	1.2093394165993e-12	-0.393	-2.27218347729116
SNHG29	2.01326384016244e-12	-1.17065534981435	0.232	0.556	5.91537181516527e-08	-0.324	-2.25113932591976
MT1M	1.45230359699194e-07	-1.1125788623281	0.268	0.513	0.00426715842868172	-0.245	-2.16231823167279
MT2A	9.87764801724181e-12	-1.11180244701074	0.768	0.919	2.90225054042599e-07	-0.151	-2.16115484975615
MIF	7.42081441349082e-12	-1.00619493250988	0.317	0.578	2.18038369097187e-07	-0.261	-2.00860646486189
NME2	1.19013270807182e-09	-0.983614404450428	0.282	0.57	3.49684792285661e-05	-0.288	-1.97741325005221
SEPTIN7	4.08398384478589e-09	-0.967924677929523	0.218	0.462	0.000119995613327499	-0.244	-1.95602482157962
MICOS10	1.619073567121e-10	-0.944581824080099	0.141	0.363	4.75716195491494e-06	-0.222	-1.92463093671002
SEPTIN2	1.01192643313346e-08	-0.906187833232011	0.162	0.379	0.000297324224583272	-0.217	-1.87408687661759
RND3	1.1459817690512e-06	-0.873542886660244	0.289	0.46	0.0336712363382622	-0.171	-1.8321566843501
RPS17	3.22419427022461e-10	-0.813243516576822	0.542	0.715	9.47332760477395e-06	-0.173	-1.75715750703251
SNHG6	1.85832077503481e-07	-0.768347118607489	0.134	0.363	0.00546011810120727	-0.229	-1.70331719161245
GAS5	2.36075273231359e-07	-0.738795875451547	0.176	0.417	0.00693636367808379	-0.241	-1.66878243232478
RPL36A	9.13419627565241e-11	-0.645050481892408	0.803	0.863	2.68380954971219e-06	-0.0599999999999999	-1.56379400461228
EIF4A1	1.01091589431975e-06	-0.594887695523874	0.648	0.782	0.0297027308069029	-0.134	-1.51035500961962
RPS21	7.03599045333692e-07	-0.376965602590039	0.944	0.922	0.0206731471499945	0.0219999999999999	-1.29860764035001
SAP18	6.08317017191689e-07	-0.345967261148227	0.676	0.618	0.0178735705991262	0.0580000000000001	-1.27100284631061
ATP5PF	1.06552708571004e-06	-0.28475823711701	0.711	0.621	0.0313073168323324	0.09	-1.21820610292761
