	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
ADIRF	1.15987714502059e-26	-1.07212270883774	0.696	0.863	3.40795102749949e-22	-0.167	-2.10252464140277
MGP	8.46282403637309e-07	-1.04170408647795	0.139	0.277	0.0248654695836714	-0.138	-2.05865786890264
CCN1	5.33613998105985e-14	-0.934587976827433	0.19	0.433	1.56786464923501e-09	-0.243	-1.91134469114066
ID1	1.12134577093981e-12	-0.910868671663154	0.234	0.463	3.29473814417535e-08	-0.229	-1.88017724494459
RPS26	4.84785675757855e-27	-0.844720296996855	0.81	0.875	1.42439727251173e-22	-0.0649999999999999	-1.79591652807164
TGM2	3.01988321572799e-12	-0.804155680067328	0.168	0.376	8.87302086445199e-08	-0.208	-1.74612359490138
SNCG	9.49208802006911e-17	-0.790714403722197	0.473	0.692	2.78896530205671e-12	-0.219	-1.72993088971164
ID3	1.15336302804547e-07	-0.616376980063357	0.176	0.337	0.0033888112490032	-0.161	-1.53302049021998
CXCL2	3.09352582785056e-07	-0.586886766561553	0.308	0.484	0.00908939758739053	-0.176	-1.502002034022
SEPTIN7	2.25408849732823e-12	-0.579198773093928	0.443	0.676	6.62296282284982e-08	-0.233	-1.49401928743025
SEPTIN9	2.35915008761386e-11	-0.572156481160008	0.249	0.448	6.93165478742703e-07	-0.199	-1.48674423461857
SNHG5	1.05979324909499e-09	-0.565005543135592	0.425	0.616	3.11388452449089e-05	-0.191	-1.47939319337547
LMNA	2.04359101334632e-11	-0.564342154923697	0.637	0.776	6.00447911541416e-07	-0.139	-1.47871308678829
EIF4A1	1.51680321150391e-12	-0.549467239625066	0.623	0.811	4.45667119604079e-08	-0.188	-1.46354513621613
LOX	7.23393654801106e-09	-0.531170320421127	0.432	0.622	0.000212547523653661	-0.19	-1.44510099231421
S100A6	4.23342846975947e-15	-0.526832548035139	0.916	0.975	1.24386595298473e-10	-0.0589999999999999	-1.4407625114742
CST3	2.37278026807332e-10	-0.511115939444701	0.791	0.87	6.97170298365304e-06	-0.079	-1.42515213918968
ARL6IP1	1.10952318217104e-12	-0.490735090512346	0.729	0.894	3.26000101385494e-08	-0.165	-1.40516065913951
RPL36A	3.82613381534281e-19	-0.48458158577329	0.78	0.952	1.12419463762403e-14	-0.172	-1.39918001286147
HS3ST1	3.70872053038572e-07	-0.480089935284199	0.381	0.507	0.0108969626623793	-0.126	-1.39483061513328
LRATD1	3.68365970360568e-07	-0.47883411368987	0.176	0.327	0.0108233289411342	-0.151	-1.39361698633709
