	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
IGKC	3.3423734206856e-09	-2.26368100747958	0.125	0.02	9.82056158465842e-05	0.105	-4.80215179468761
CRIP1	6.84628693771893e-30	-1.67174604803929	0.361	0.667	2.01157602804058e-25	-0.306	-3.1859995167565
MUSTN1	3.5107178971059e-26	-1.41890560020475	0.168	0.549	1.03151913252765e-21	-0.381	-2.6738260287562
PTGDS	7.34280438725756e-16	-1.22640433024484	0.275	0.579	2.15746278506401e-11	-0.304	-2.33983099811991
HSPA6	2.73030829140913e-12	-1.05923408302554	0.068	0.276	8.0221918218183e-08	-0.208	-2.08382493949734
RPL17	1.58502328487663e-20	-0.966869563094118	0.625	0.835	4.65711541562451e-16	-0.21	-1.95459480605871
MICOS10	3.04695818047477e-12	-0.885166337263683	0.207	0.461	8.95257252587097e-08	-0.254	-1.846977558687
EEF1G	1.58417085356957e-16	-0.858228179346544	0.304	0.628	4.65461080195812e-12	-0.324	-1.8128105713732
NME2	5.2664781894558e-16	-0.856709919171565	0.239	0.554	1.5473966216259e-11	-0.315	-1.8109038133363
MIF	1.80717674588971e-13	-0.847096208216021	0.35	0.606	5.30984671477316e-09	-0.256	-1.79887658099551
KCNQ1OT1	2.43176674286158e-09	-0.830344985362759	0.404	0.626	7.1450170438759e-05	-0.222	-1.7781105032971
MT2A	2.94376484231507e-12	-0.828234816057936	0.771	0.901	8.64936985969013e-08	-0.13	-1.7755116370045
SOD2	3.33269080229081e-08	-0.827978733238508	0.496	0.581	0.000979211211529087	-0.085	-1.77519650618194
SEPTIN2	1.85650352820438e-15	-0.786259363285923	0.146	0.433	5.4547786665701e-11	-0.287	-1.72459710494126
SRGN	6.05120629598606e-07	-0.78213606648112	0.189	0.335	0.0177796543388662	-0.146	-1.7196751544485
SFRP1	4.65745670698909e-11	-0.78193937801804	0.221	0.475	1.36845392964753e-06	-0.254	-1.71944072014481
PHLDA2	3.78902779490725e-13	-0.768961182529466	0.111	0.355	1.11329214669965e-08	-0.244	-1.70404234019438
OGN	6.38417357421016e-12	-0.744175050394328	0.254	0.52	1.87579787957443e-07	-0.266	-1.67501620192934
RNASEK	5.18424064066864e-13	-0.72467513187079	0.229	0.5	1.52323358504126e-08	-0.271	-1.65252847568651
SNHG29	2.40828682000258e-13	-0.720189791679176	0.254	0.542	7.07602833453159e-09	-0.288	-1.64739874146178
MEG8	5.50250730788125e-12	-0.719435427864889	0.054	0.249	1.61674669720167e-07	-0.195	-1.64653756628958
RERGL	1.09109109434883e-22	-0.714150141429262	0.239	0.608	3.20584385341572e-18	-0.369	-1.64051654224423
TNFAIP3	7.47329825201582e-09	-0.683798535663128	0.075	0.246	0.000219580449240729	-0.171	-1.60636365810204
