	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
SCGB3A1	4.60984633400134e-11	-3.38590387672881	0.363	0.473	1.35446504985627e-06	-0.11	-10.4534255215555
SCGB1A1	4.01367646633172e-20	-2.17376954426014	0.041	0.178	1.17929841933759e-15	-0.137	-4.51200774528435
S100A2	7.46550304788972e-26	-1.79091290122064	0.178	0.319	2.19351410553096e-21	-0.141	-3.4603378475713
RPL17	4.279234075806e-107	-1.11449582760119	0.739	0.959	1.25732455615332e-102	-0.22	-2.16519329808176
SNHG29	3.08857555710076e-92	-1.0694064851182	0.414	0.852	9.07485270187345e-88	-0.438	-2.09856985233865
KRT5	1.95399483635052e-22	-1.03527560923197	0.155	0.247	5.74122762816509e-18	-0.092	-2.04950514154481
SERPINA3	4.22152209587494e-26	-1.00326233529542	0.109	0.306	1.24036762220997e-21	-0.197	-2.00452767426106
EEF1G	3.06115347545541e-91	-0.971496991181189	0.511	0.875	8.99428114158308e-87	-0.364	-1.96087421205282
CCN2	4.42736636373384e-38	-0.939009863581469	0.219	0.517	1.30084878499228e-33	-0.298	-1.917211984754
RAP2B	7.95536521176731e-39	-0.875784523930257	0.439	0.652	2.33744540652147e-34	-0.213	-1.83500567389072
RNASE1	1.78503677499312e-15	-0.819597182087112	0.388	0.522	5.24479505228478e-11	-0.134	-1.7649131386743
SFN	7.04551479699027e-17	-0.817096481752244	0.085	0.218	2.07011315765168e-12	-0.133	-1.76185657033027
MARCKS	8.14302744381174e-49	-0.812155528958069	0.522	0.77	2.39258432354077e-44	-0.248	-1.75583287162887
TNFAIP3	3.96094421115565e-33	-0.811260290674506	0.384	0.617	1.16380462812175e-28	-0.233	-1.75474365931513
KRT19	2.94001322130625e-39	-0.806267955070899	0.783	0.948	8.63834684684202e-35	-0.165	-1.7486819973936
BTG1	4.69222613732415e-52	-0.800141152459498	0.586	0.835	1.37866988366858e-47	-0.249	-1.74127148326654
KRT15	3.27614203019361e-15	-0.784283357947404	0.125	0.275	9.62596051311485e-11	-0.15	-1.72223660582133
RESF1	1.18959157556144e-49	-0.78114543800637	0.295	0.625	3.49525796731462e-45	-0.33	-1.7184947425213
NME2	1.57129776855453e-75	-0.777968353151608	0.451	0.847	4.61678710356693e-71	-0.396	-1.71471445901019
TNFAIP2	1.32487003910446e-22	-0.755948426942556	0.444	0.617	3.89273314889671e-18	-0.173	-1.68874140511471
EIF4A1	5.70159485652521e-63	-0.745816515791772	0.674	0.918	1.67524260074424e-58	-0.244	-1.67692308162282
CLDN10	1.16270591432585e-34	-0.740125120046997	0.393	0.605	3.41626251747222e-30	-0.212	-1.67032069382298
PIGR	8.98828314476022e-12	-0.71117094608085	0.067	0.11	2.64093735359345e-07	-0.043	-1.63713233679976
DST	9.28941979021541e-16	-0.699184464819952	0.194	0.358	2.72941732276109e-11	-0.164	-1.62358674254615
KRT14	3.38425320373317e-08	-0.69030640080734	0.063	0.108	0.00099436127632088	-0.045	-1.61362618536509
IGFBP6	2.07810241374104e-08	-0.686933183422392	0.206	0.229	0.000610588051205391	-0.023	-1.60985771501239
SLC40A1	1.31694749503193e-30	-0.67484799641039	0.557	0.753	3.86945512990282e-26	-0.196	-1.59642856276646
CRISP3	6.15869572943596e-16	-0.668061436435089	0.7	0.756	1.80954797922287e-11	-0.056	-1.58893646280323
RPL36A	1.25723599600487e-69	-0.665412694738402	0.739	0.966	3.6940108034615e-65	-0.227	-1.58602190289698
CCN1	9.66723300569945e-49	-0.653536934691183	0.346	0.694	2.84042640173461e-44	-0.348	-1.57301991367188
MIF	7.60674966290699e-60	-0.650875476851815	0.6	0.889	2.23501518595533e-55	-0.289	-1.57012070987508
TPM1	4.0653824495788e-28	-0.649873049540269	0.596	0.786	1.19449067133524e-23	-0.19	-1.56903012235883
IRF1	6.64955500899952e-28	-0.646744664585024	0.681	0.813	1.95377225274424e-23	-0.132	-1.56563147466842
