	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
PTGDS	7.40193599434037e-170	-1.70133429728637	0.512	0.92	2.17483683385709e-165	-0.408	-3.25201586872043
MIF	4.23404586980781e-118	-1.44896200213643	0.405	0.765	1.24404735746693e-113	-0.36	-2.73011552873482
MT2A	5.60248320315167e-51	-1.36607122799082	0.358	0.591	1.64612161475002e-46	-0.233	-2.57767652153593
MICOS10	1.12209304462993e-78	-1.28325887196624	0.238	0.54	3.29693378373167e-74	-0.302	-2.43388140494103
WDR45B	4.25107609804635e-37	-1.00560057877233	0.295	0.452	1.24905117912798e-32	-0.157	-2.00777914041199
CEBPD	3.80285304204310e-59	-0.942567897036733	0.704	0.876	1.1173542808131e-54	-0.172	-1.9219461266515
NEAT1	9.10441612443056e-72	-0.938779056922836	0.788	0.951	2.67505954568019e-67	-0.163	-1.91690528799219
RPL17	1.07223974435893e-93	-0.922743468449934	0.636	0.924	3.1504548168754e-89	-0.288	-1.89571681506778
CHMP1B	1.71432937993014e-34	-0.913994875619799	0.231	0.419	5.03704258411073e-30	-0.188	-1.88425585501573
AREG	8.77672707264018e-42	-0.903924359645409	0.165	0.419	2.57877794848314e-37	-0.254	-1.87114888894459
PDE10A	6.60454185403186e-46	-0.895552667006221	0.172	0.413	1.94054648755164e-41	-0.241	-1.86032240026109
EIF4A1	3.74353219124242e-66	-0.885714185638588	0.614	0.83	1.09992462843085e-61	-0.216	-1.8476790623118
RNASEK	3.03285734571585e-59	-0.873544983799832	0.294	0.572	8.91114145318232e-55	-0.278	-1.83215934762335
MDK	2.19299492492404e-59	-0.859785424416857	0.502	0.781	6.44345768841181e-55	-0.279	-1.81476837559508
EEF1G	3.82898405609533e-69	-0.848745761519228	0.346	0.706	1.12503209536193e-64	-0.36	-1.80093456260203
HES1	4.62219879096909e-23	-0.847291143634258	0.219	0.348	1.35809444876254e-18	-0.129	-1.79911965970621
CREM	4.74983156186305e-37	-0.838776726614376	0.37	0.586	1.3955955095066e-32	-0.216	-1.78853298642367
PGRMC1	4.70875209360878e-65	-0.832289372943888	0.662	0.863	1.38352554014413e-60	-0.201	-1.7805085616089
IGFBP2	1.83438717477591e-49	-0.813507186124065	0.371	0.641	5.38979639692658e-45	-0.27	-1.7574786776551
BST2	5.90562045057348e-66	-0.77749992786701	0.574	0.832	1.7351894007875e-61	-0.258	-1.7141578027504
SEPTIN2	1.30945480717372e-43	-0.759722090433269	0.242	0.49	3.84744011443781e-39	-0.248	-1.69316443526339
AC006115.2	1.34952875725504e-48	-0.752951432460859	0.09	0.292	3.96518539456676e-44	-0.202	-1.68523692547238
TNFAIP3	1.70577442318607e-25	-0.749554424898741	0.128	0.285	5.01190641020532e-21	-0.157	-1.681273490466
NME2	1.29416907928667e-44	-0.747993300361617	0.303	0.589	3.80252758876008e-40	-0.286	-1.67945518675663
SNCA	9.80085108925094e-35	-0.745880019924046	0.089	0.271	2.87968606704371e-30	-0.182	-1.67699689756172
