	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
PTGDS	5.23994502005735e-115	-1.29575835976484	0.634	0.889	1.53960064579325e-110	-0.255	-2.45506012985208
CCN2	1.4520436790402e-37	-0.974136564406571	0.147	0.311	4.26639473775591e-33	-0.164	-1.96446513648971
CCN1	2.97642951806045e-43	-0.968057554527544	0.381	0.551	8.74534520996522e-39	-0.17	-1.95620498570731
SPRY1	4.02256239794577e-41	-0.77147769983847	0.433	0.597	1.18190928376443e-36	-0.164	-1.7070173239113
NR2F1	5.55245933058265e-52	-0.703882174872522	0.615	0.804	1.63142360051179e-47	-0.189	-1.62888208965536
IGFBP5	9.69257323549342e-27	-0.690746130458314	0.773	0.883	2.84787186805268e-22	-0.11	-1.61411808934069
CCDC80	8.3662338224338e-19	-0.650677273726074	0.379	0.457	2.4581668217075e-14	-0.078	-1.56990501532598
RESF1	3.00659042907725e-32	-0.619612138792675	0.188	0.307	8.83396399871479e-28	-0.119	-1.53646205576588
SEPTIN7	4.09738247643267e-33	-0.603079930304754	0.458	0.584	1.20389291922545e-28	-0.126	-1.51895584290078
GAS1	6.90583069597863e-21	-0.59307154930112	0.192	0.3	2.02907117509244e-16	-0.108	-1.50845488543929
TXNIP	3.96451405513219e-36	-0.564780358547918	0.78	0.892	1.16485351967894e-31	-0.112	-1.47916229873788
RNASEK	5.90081527279864e-29	-0.559018789585906	0.409	0.532	1.7337775434537e-24	-0.123	-1.47326687344341
OGN	3.02198923238643e-28	-0.55120812129862	0.773	0.881	8.87920876259782e-24	-0.108	-1.46531224339173
NEAT1	1.12919827474611e-34	-0.547182616899264	0.763	0.901	3.31781037085901e-30	-0.138	-1.46122932981659
MIF	6.17347974935491e-24	-0.547087079298467	0.527	0.671	1.81389181995546e-19	-0.144	-1.46113256804908
RPS26	3.19492230280989e-35	-0.519208292298395	0.784	0.855	9.38732071011603e-31	-0.071	-1.43316855232724
APOD	1.52882971387847e-11	-0.504742069530687	0.218	0.283	4.49200746531772e-07	-0.065	-1.41886966264472
SOD2	3.42219135052299e-19	-0.493596035478054	0.387	0.5	1.00550826261066e-14	-0.113	-1.40794993605867
TFPI2	6.38477079317822e-19	-0.483099333591816	0.175	0.29	1.87597335445163e-14	-0.115	-1.39774320707023
KLF6	2.20378642185879e-22	-0.474856359197545	0.227	0.387	6.4751652647055e-18	-0.16	-1.38977984061168
PDGFRA	2.99464722790681e-18	-0.462168043159307	0.577	0.658	8.79887248503579e-14	-0.0810000000000001	-1.37761049923857
COL15A1	4.32013912866991e-15	-0.454398539729539	0.163	0.267	1.26934327878579e-10	-0.104	-1.37021144406428
MEG8	8.05672759436833e-12	-0.452663012075534	0.112	0.175	2.3672277017773e-07	-0.063	-1.36856410349923
AC006115.2	3.9192237595411e-28	-0.450566188623752	0.201	0.264	1.15154632502836e-23	-0.063	-1.36657646726268
HSPA1A	1.21063949603255e-09	-0.447516659281957	0.632	0.717	3.55710096724283e-05	-0.085	-1.36369088608685
MMP23B	5.74723157510115e-25	-0.442936388186132	0.067	0.177	1.68865158139622e-20	-0.11	-1.3593683028431
MICOS10	9.54406773573866e-25	-0.442288179457208	0.4	0.447	2.80423798211473e-20	-0.047	-1.3587576703454
MGST1	1.0949604348525e-21	-0.429030036434721	0.04	0.123	3.21721274968362e-17	-0.083	-1.34632809909179
SEPTIN2	9.97077213545636e-18	-0.417453300205451	0.386	0.469	2.92961226883979e-13	-0.083	-1.3355678778246
FTL	1.0729643868491e-30	-0.40640051687476	0.914	0.971	3.15258396144003e-26	-0.0569999999999999	-1.3253749127718
RPL26	9.6469661589317e-64	-0.404059774812862	0.819	0.978	2.83447159681731e-59	-0.159	-1.32322626366608
CCL2	2.93385774617376e-11	-0.399470376738779	0.075	0.156	8.62026082980775e-07	-0.081	-1.31902359925595
RPL17	1.17958418716482e-37	-0.396901808100059	0.718	0.895	3.46585425872767e-33	-0.177	-1.31667730405803
HELLPAR	2.99258364416213e-30	-0.396103244623466	0.182	0.222	8.79280926327717e-26	-0.04	-1.31594869584292
