	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
XCL1	7.43279332901082e-11	-1.03795439890161	0.035	0.173	2.18390333592996e-06	-0.138	-2.05331418869929
RPL17	2.47505639346444e-34	-0.921284478812552	0.686	0.914	7.27221069527721e-30	-0.228	-1.8938006560414
GZMK	1.61537962651002e-08	-0.909465661669575	0.023	0.126	0.000474630841861175	-0.103	-1.87834967561579
SNHG29	1.15479001991852e-14	-0.857634339517163	0.273	0.516	3.39300403652459e-10	-0.243	-1.81206453873099
CRIP1	1.51283629578591e-10	-0.849086677121771	0.471	0.658	4.44501560427815e-06	-0.187	-1.80136018216921
SEPTIN7	1.23855770857751e-14	-0.834477315350827	0.294	0.537	3.63913025934243e-10	-0.243	-1.78321086914915
MIF	1.15756439648797e-19	-0.771858762533583	0.397	0.704	3.40115570976096e-15	-0.307	-1.70746826227161
TLE5	1.19396093617007e-12	-0.757679661058222	0.253	0.432	3.50809602265489e-08	-0.179	-1.69076911125921
LST1	1.21006628950383e-06	-0.739217816389458	0.165	0.278	0.0355541677182015	-0.113	-1.66927056778089
SEPTIN6	8.47434447171931e-11	-0.737689433020952	0.243	0.428	2.48993189268057e-06	-0.185	-1.6675030879122
TNFRSF18	1.48355882136487e-08	-0.721844074956682	0.127	0.241	0.000435899252893427	-0.114	-1.64928883409233
EEF1G	3.45541453720285e-24	-0.72095175144411	0.403	0.745	1.01526989932094e-19	-0.342	-1.64826904534534
LAIR2	6.60967119204578e-11	-0.687152641457143	0.01	0.101	1.94205358964689e-06	-0.091	-1.6101026199111
LTB	1.47199886164116e-09	-0.684694012037938	0.714	0.833	4.32502705527405e-05	-0.119	-1.60736103258581
LINC01578	1.2177706781375e-09	-0.656735694507844	0.261	0.447	3.5780538065036e-05	-0.186	-1.57651150063816
ATP6V0C	4.09462419230335e-09	-0.620792875742717	0.17	0.331	0.000120308248018257	-0.161	-1.53772004865292
CRISP3	8.62314563301028e-12	-0.597608804345767	0.005	0.105	2.53365264989108e-07	-0.1	-1.51320642208486
C17orf49	2.9897101592615e-08	-0.577038997042179	0.104	0.239	0.000878436638994215	-0.135	-1.49178435010655
NME2	1.63306266349256e-07	-0.566645400083131	0.203	0.35	0.00479826471787384	-0.147	-1.48107571977742
EIF4A1	2.68909648647684e-07	-0.53541395764323	0.413	0.553	0.00790110329656625	-0.14	-1.4493579643568
SNHG5	9.16862179935751e-09	-0.533581818856763	0.266	0.444	0.000269392445708722	-0.178	-1.44751853227817
SNHG16	1.98818181592068e-07	-0.523766456478275	0.099	0.202	0.00584167581153813	-0.103	-1.43770377847233
NIBAN1	1.53581758895704e-06	-0.516754148661577	0.124	0.214	0.0451253923987358	-0.09	-1.43073268642782
RPL36A	1.99852245951057e-15	-0.474402206189689	0.785	0.94	5.87205869053396e-11	-0.155	-1.38934241389124
HLA-A	2.22455288750855e-13	-0.440597111166134	0.929	0.969	6.53618129407761e-09	-0.0399999999999999	-1.35716592308981
SNHG6	8.02632955655155e-07	-0.423573284224105	0.357	0.535	0.0235829615030598	-0.178	-1.34124545686894
IL32	7.21252458944962e-10	-0.380509455961683	0.805	0.78	2.11918397487209e-05	0.025	-1.30180147678891
MT-CO2	6.65425540835645e-11	-0.326155158313068	0.947	0.986	1.95515332408329e-06	-0.039	-1.25366784209217
GAS5	1.00412064908178e-09	-0.302019826294795	0.284	0.479	2.9503072911321e-05	-0.195	-1.23286926810304
RPL28	1.43415306603476e-11	-0.287372151191371	0.942	0.996	4.21382853862333e-07	-0.054	-1.22041528256612
MT-CO3	6.12405160185519e-07	-0.268008801339746	0.959	0.981	0.0179936884165709	-0.022	-1.20414472724303
