	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
MT-RNR2	2.03292896673116e-07	3.09225921845796	0.131	0.025	0.00597315189004948	0.106	8.52830608744718
IGHA2	1.41613813258024e-06	2.38841997808458	0.037	0.112	0.0416089706114725	-0.075	5.2358362506123
CST3	1.2627759880299e-06	2.33979371537822	0.273	0.185	0.0371028840802945	0.088	5.06230248775081
HLA-DRB5	1.21450087753345e-27	1.8695214789665	0.584	0.176	3.56844647836878e-23	0.408	3.65411358338123
CPVL	5.46597663995095e-07	1.38223833110347	0.143	0.031	0.0160601325635039	0.112	2.60672489028533
MARCH1	2.7020590789194e-11	1.23153476099678	0.465	0.21	7.93918998568099e-07	0.255	2.34816658566291
SEPT7	1.66663675142387e-16	1.19260656516085	0.461	0.146	4.89691210303362e-12	0.315	2.28565326932655
KIAA1551	1.77356759564177e-14	1.16285898811939	0.396	0.12	5.21109630951466e-10	0.276	2.23900692162647
CAMK2D	6.13282630785153e-11	1.05121599540037	0.322	0.106	1.80194702577294e-06	0.216	2.07227575798261
SEPT6	6.7463707144928e-14	0.987307266836023	0.367	0.104	1.98221864333227e-09	0.263	1.98248131269984
VOPP1	8.66271201699085e-09	0.981831678273501	0.457	0.255	0.000254527804483225	0.202	1.97497128613133
DOCK8	2.41408954747792e-08	0.941141260405076	0.404	0.202	0.000709307790839963	0.202	1.92004651279133
HLA-DPB1	1.21158945668453e-12	0.929719367416469	0.8	0.779	3.55989214163049e-08	0.021	1.90490541844658
PIM1	2.12102639820038e-11	0.90700116175086	0.363	0.123	6.23199976319235e-07	0.24	1.87514370289996
CD79B	2.67662806530261e-09	0.897538529911236	0.531	0.286	7.86446858147213e-05	0.245	1.86288488847425
DOCK10	6.640899305868e-07	0.886355089033844	0.302	0.129	0.0195122903405014	0.173	1.84850005830949
SYNE2	5.22785705106521e-09	0.874440231577497	0.441	0.213	0.000153604895874398	0.228	1.83329662581315
HDAC9	1.10471281468205e-06	0.871975265792923	0.269	0.106	0.0324586719209879	0.163	1.83016695878847
AES	4.62441712935634e-10	0.853470634240002	0.343	0.126	1.35874624094748e-05	0.217	1.80684235011017
HLA-DRB1	1.67536700529422e-09	0.83171663028558	0.784	0.77	4.92256333495548e-05	0.014	1.77980184897581
AKAP13	1.86857417863686e-07	0.822801427087616	0.608	0.392	0.00549024465167083	0.216	1.76883739067878
PDE4B	6.78918566997902e-10	0.809218581437413	0.596	0.336	1.99479853355323e-05	0.26	1.75226209368883
PLEKHO1	1.13372799322025e-09	0.788099708529974	0.445	0.202	3.33111958967975e-05	0.243	1.7267984567051
HLA-DMB	1.37831524334595e-08	0.783063279984135	0.535	0.3	0.000404976584799907	0.235	1.7207807370418
IFI16	3.43295540197396e-08	0.77368005037993	0.531	0.3	0.00100867095620799	0.231	1.70962516644354
RIPOR2	2.22736809498057e-07	0.772588838748052	0.433	0.227	0.00654445293667192	0.206	1.70833254571315
PTPRC	8.87749353494249e-10	0.771179185936862	0.71	0.51	2.6083851504368e-05	0.2	1.70666415454963
WNK1	4.65514343363886e-08	0.769784446933188	0.367	0.165	0.00136777424367177	0.202	1.70501501820938
HLA-DQA1	8.65459167214912e-07	0.768182820895917	0.682	0.616	0.0254289212511085	0.0660000000000001	1.70312322464489
PTPRJ	4.574396437331e-08	0.761146574194739	0.188	0.042	0.00134404916121659	0.146	1.69483705233562
APBB1IP	3.35431531161608e-07	0.742399580785256	0.473	0.261	0.00985564924859038	0.212	1.67295609146239
TSC22D3	2.3561796253772e-07	0.700080087689513	0.78	0.616	0.00692292697528328	0.164	1.62459497562917
CD46	8.2445000193331e-07	0.693491466107358	0.38	0.19	0.0242239899568045	0.19	1.61719255392736
POU2F2	8.04052777366674e-08	0.685113169207076	0.551	0.319	0.00236246787045876	0.232	1.60782809926555
SEPT2	3.67122729417336e-09	0.683395014408125	0.233	0.059	0.000107868000357402	0.174	1.60591442162553
GRB2	1.41905170634238e-07	0.646287052629518	0.686	0.465	0.00416945772357518	0.221	1.5651349469575
FAM129C	3.69279877776372e-07	0.628802022771935	0.2	0.056	0.0108501813688254	0.144	1.54628046836815
MBD4	1.24055258952204e-06	0.591014803092168	0.38	0.188	0.0364499161853366	0.192	1.50630592234023
SEPT9	3.4279251163763e-08	0.577992570881054	0.224	0.062	0.00100719295769369	0.162	1.49277069629499
NCF1	5.32157946338295e-07	0.520180285158214	0.486	0.272	0.0156358647793118	0.214	1.43413445221008
MID1IP1	2.45892432426791e-07	0.48895496021446	0.155	0.031	0.00722481144956398	0.124	1.40342791145799
TROVE2	4.01648130789544e-07	0.486856229674765	0.159	0.036	0.0118012253788584	0.123	1.40138778822952
HLA-C	4.7047833898024e-10	0.485133629988488	0.886	0.888	1.38235945559174e-05	-0.002	1.39971550858957
STX7	3.5146851330693e-07	0.455811956634204	0.306	0.132	0.0103268478579842	0.174	1.37155450615394
FAM96B	4.83902224433245e-07	0.454189849551397	0.216	0.067	0.0142180151582976	0.149	1.37001325319129
RARRES3	2.55513456774571e-07	0.36665424844027	0.11	0.011	0.00750749638695045	0.099	1.2893592100279
