	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
LGALS4	9.0719572718379e-15	2.50137955821737	0.129	0.096	2.66552248561141e-10	0.033	5.66226612930743
PIGR	1.57401130610468e-06	1.89165827673239	0.103	0.031	0.0462476001959678	0.072	3.71061488877267
ECRG4	3.80828268425152e-36	1.39020587048233	0.719	0.283	1.11894961828678e-31	0.436	2.62116081686398
CCDC198	6.00174152083576e-28	1.03898944645277	0.643	0.238	1.76343169365196e-23	0.405	2.05478784759799
HIST1H4C	1.70858636157268e-14	0.962576815132868	0.688	0.408	5.02016844757286e-10	0.28	1.94878754126063
S100A6	1.20342273893759e-35	0.915460508861825	0.932	0.867	3.53589669154644e-31	0.0650000000000001	1.88617104234414
SLPI	1.27190512738295e-26	0.900827288417676	0.81	0.756	3.73711164527659e-22	0.054	1.86713635306913
LDHB	1.29438740415161e-20	0.856389925716539	0.749	0.525	3.80316907087826e-16	0.224	1.81050219477416
KRT18	3.28192101585375e-20	0.854661147624225	0.844	0.713	9.6429403287815e-16	0.131	1.80833397357648
ID1	9.3674914068373e-12	0.852814241081968	0.517	0.281	2.75235632515694e-07	0.236	1.80602046526104
SLC25A5	4.06544914729684e-09	0.800383757961472	0.593	0.379	0.000119451026845876	0.214	1.74156432239851
CSRP2	4.42485294849021e-27	0.767100700274762	0.669	0.279	1.30011029332539e-22	0.39	1.70184624392507
MRPS36	4.53217897007707e-10	0.755704850132882	0.673	0.447	1.33164482498804e-05	0.226	1.68845631123828
KRT8	1.25394990689092e-13	0.716067134590179	0.863	0.754	3.6843556164269e-09	0.109	1.64269784127646
SMC2	6.70537781159292e-13	0.715580170399085	0.54	0.299	1.97017410860223e-08	0.241	1.64214346213615
RTN1	8.3356348672437e-30	0.713181997259311	0.471	0.098	2.44917623669354e-25	0.373	1.63941601601556
IGFBP7	1.04184090643669e-29	0.697421556567364	0.833	0.844	3.06113695129229e-25	-0.011	1.62160400445005
CFD	6.73053535245489e-16	0.676606377000306	0.285	0.059	1.9775658972583e-11	0.226	1.59837550255706
AK1	5.54485716759413e-08	0.670980685917618	0.757	0.619	0.00162918993298251	0.138	1.59215488243861
TMEM190	5.59774804944196e-15	0.669915108738354	0.825	0.654	1.64473033188704e-10	0.171	1.59097934812807
CHCHD10	2.0025244631543e-08	0.655320463207091	0.559	0.355	0.000588381737763996	0.204	1.5749657585455
TUBA1A	1.40661028862566e-16	0.647434654147316	0.84	0.773	4.13290235003992e-12	0.0669999999999999	1.56638043942787
CFH	8.87683454306278e-24	0.625131847268087	0.338	0.057	2.6081915254427e-19	0.281	1.54235177382051
FOLR1	4.45444728770707e-12	0.605997303298853	0.745	0.613	1.30880570207409e-07	0.132	1.52203053584079
GAPDH	9.90383289126966e-07	0.600051850193188	0.909	0.775	0.0290994418011285	0.134	1.51577104206264
S100A10	1.22232667746187e-09	0.577629513430211	0.852	0.691	3.59144024371847e-05	0.161	1.49239508445663
AC044893.1	6.00122773652925e-29	0.574084745935883	0.452	0.088	1.76328073354703e-24	0.364	1.48873270285101
PDLIM4	2.0361012696888e-13	0.572090313408815	0.521	0.258	5.98247275059964e-09	0.263	1.48667604815925
UBB	1.16941923901283e-07	0.56682215535549	0.555	0.344	0.00343598760806749	0.211	1.4812571884678
KRT17	7.45659539307169e-08	0.560643406834034	0.255	0.094	0.00219089685839232	0.161	1.47492685207209
RAB3B	6.98680965412588e-32	0.556992735441247	0.316	0.018	2.05286441257526e-27	0.298	1.47119933774756
IGLC2	1.6677392260766e-28	0.544085375807721	0.278	0.014	4.90015139405827e-24	0.264	1.45809566344925
UQCRH	5.84145938160086e-08	0.542342258179952	0.76	0.58	0.00171633759550197	0.18	1.45633500208077
QPRT	1.22095679456688e-16	0.534024543006415	0.635	0.33	3.58741525379640e-12	0.305	1.44796280479121
CNTNAP2	1.80843861121142e-20	0.529446437586963	0.289	0.041	5.3135543274614e-16	0.248	1.44337526584232
PLG	7.41120017398763e-21	0.525550164044693	0.414	0.107	2.17755883512105e-16	0.307	1.43948241428336
FTL	1.66954982980556e-08	0.524806610463556	0.886	0.746	0.000490547130993469	0.14	1.43874070761578
SETD3	6.8377941169277e-13	0.524356218998085	0.601	0.336	2.0090806674357e-08	0.265	1.43829162074734
WFDC2	2.81878673836208e-11	0.522806028977241	0.837	0.803	8.28215919465546e-07	0.0339999999999999	1.43674699225266
IGFBP2	5.06806541556151e-09	0.521327266706573	0.563	0.33	0.000148909898040028	0.233	1.43527508121444
SLC16A12	1.33362954981563e-31	0.51894092062164	0.403	0.053	3.91847034326829e-27	0.35	1.43290297078543
LINC02838	2.99004533689987e-30	0.513864034507498	0.376	0.045	8.78535120887921e-26	0.331	1.4278694050799
NDUFB2	6.56951455233895e-09	0.507907862808239	0.817	0.674	0.000193025476576823	0.143	1.42198659303299
SPAG6	2.18686173761021e-13	0.505899651661425	0.551	0.268	6.42543715744631e-09	0.283	1.42000858475268
RBP1	2.73952074721439e-16	0.499943301057225	0.833	0.828	8.04925985946531e-12	0.005	1.41415798386486
MT-CO2	7.9999793712129e-11	0.49782763551242	0.985	0.891	2.35055393884977e-06	0.094	1.4120856868394
TSPAN1	8.97737439261809e-08	0.497177901362941	0.779	0.635	0.00263773214403905	0.144	1.41144988114319
TMEM176A	1.32762482208344e-07	0.492508119389049	0.148	0.035	0.00390082725224557	0.113	1.40688862097743
OXTR	5.02395788804670e-12	0.488698240346099	0.559	0.291	1.47613930666588e-07	0.268	1.40317820118331
TMSB4X	2.30307585810699e-09	0.483496547241119	0.856	0.754	6.76689748628997e-05	0.102	1.39812809722555
