	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
ID1	2.92810204311191e-116	1.54549720541835	0.767	0.454	8.6033494230714e-112	0.313	2.91904652522307
SOX18	9.36554054719574e-137	1.52769511830848	0.714	0.344	2.75178312357705e-132	0.37	2.88324836775459
ID3	1.17165606821112e-119	1.25016074152564	0.859	0.604	3.4425598596179e-115	0.255	2.37867924182007
FOS	1.01033486726295e-107	1.0861642598243	0.949	0.801	2.96856590699201e-103	0.148	2.1230881309583
NFKBIA	3.5435726322923e-72	1.05096937750452	0.863	0.721	1.04117251082012e-67	0.142	2.07192154826116
JUNB	1.0243975444164e-167	1.04733588624904	0.943	0.8	3.00988486500427e-163	0.143	2.06670988787628
ZFP36	1.25368325403134e-126	0.998105530777515	0.921	0.761	3.68357213699487e-122	0.16	1.99737543159744
C2CD4B	3.44364227240071e-42	0.955142732183675	0.469	0.268	1.01181097247678e-37	0.201	1.93877143559152
KLF2	7.84285292715145e-95	0.940740700713306	0.93	0.791	2.30438704705564e-90	0.139	1.91951349198008
SELE	1.11171641350418e-54	0.92343898109875	0.675	0.429	3.26644516615797e-50	0.246	1.89663094650618
PHLDA1	1.63264022730009e-69	0.887044064488008	0.436	0.169	4.79702351585312e-65	0.267	1.84938304139581
SEPT7	2.98687760200473e-76	0.850161042213053	0.454	0.166	8.77604377021031e-72	0.288	1.80270214234082
ITM2A	1.91776443549174e-95	0.829659446095414	0.867	0.672	5.63477546436184e-91	0.195	1.77726578215405
CLDN5	3.18949530850983e-63	0.822621349752054	0.671	0.404	9.37137511546359e-59	0.267	1.76861661800206
IER2	4.58574844067054e-81	0.808519356164086	0.875	0.665	1.34738460683782e-76	0.21	1.75141303755295
CST3	1.51025216691347e-95	0.780994207831084	0.894	0.693	4.43742291682515e-91	0.201	1.71831461114711
DUSP1	1.40814758812689e-56	0.753348973972275	0.821	0.614	4.13741924343442e-52	0.207	1.68570136454518
CSF3	4.57095924614145e-25	0.751275545503068	0.283	0.142	1.34303924570128e-20	0.141	1.68328042964072
IER3	5.16346076989533e-42	0.739692458358115	0.516	0.298	1.51712804341065e-37	0.218	1.66981984270967
EGFL7	1.2237667189904e-60	0.72468965934172	0.704	0.443	3.59567137373761e-56	0.261	1.65254511619582
KLF4	5.89840570829614e-65	0.678405755927882	0.829	0.6	1.73306956521157e-60	0.229	1.60037029524505
CTGF	3.7302834557922e-19	0.675956433000546	0.187	0.082	1.09603188498086e-14	0.105	1.5976555856187
IL6	9.54309227142059e-23	0.663411197757802	0.225	0.104	2.8039513711888e-18	0.121	1.58382308957054
CYR61	2.97117448331545e-32	0.662956049894333	0.153	0.037	8.72990486687745e-28	0.116	1.5833234968121
CXCL2	1.1109030550606e-19	0.635423202127166	0.397	0.26	3.26405535637907e-15	0.137	1.55339335769663
KIAA1551	3.70232033723339e-44	0.624865074334952	0.288	0.101	1.08781576148591e-39	0.187	1.54206659943827
SSFA2	1.55281450625447e-45	0.623301506134567	0.302	0.108	4.56247958227689e-41	0.194	1.54039623936033
ADIRF	5.97654113606065e-74	0.605763874702568	0.941	0.792	1.75602731659734e-69	0.149	1.52178429065362
CD9	4.56095436549361e-49	0.605457297923369	0.575	0.328	1.34009961166933e-44	0.247	1.52146094154253
ID2	2.50680800602663e-28	0.597119942698364	0.613	0.446	7.36550328330743e-24	0.167	1.51269375430372
GADD45B	2.10377891323024e-28	0.572765703417669	0.78	0.64	6.1813232028531e-24	0.14	1.48737219057767
C8orf59	7.79989119819803e-39	0.543220573117239	0.287	0.112	2.29176403185454e-34	0.175	1.45722189098946
IGFBP7	1.67184843686434e-43	0.537955871828368	0.928	0.833	4.91222507719481e-39	0.0950000000000001	1.45191386907383
PLA2G16	2.45052087934134e-39	0.526179513934086	0.257	0.09	7.20012044768074e-35	0.167	1.44011049970745
CXorf36	1.87195571630872e-39	0.523534444290854	0.323	0.134	5.50018028565827e-35	0.189	1.4374725875631
ACKR1	1.67840823124647e-28	0.523448652226126	0.788	0.633	4.93149906504839e-24	0.155	1.43738710860113
COL4A3BP	2.09972821696273e-33	0.512387431309179	0.242	0.09	6.16942144707988e-29	0.152	1.42640872360311
CTSH	4.96213381468918e-36	0.512208419436219	0.563	0.352	1.45797415743198e-31	0.211	1.42623174354226
FKBP2	6.26463692123615e-37	0.507655467688839	0.262	0.097	1.8406756201976e-32	0.165	1.4217378425534
SEPT2	1.17400733893571e-35	0.507440171643025	0.293	0.121	3.44946836326091e-31	0.172	1.42152568981937
EDIL3	3.98715926674604e-53	0.504162310640295	0.195	0.035	1.17150713575532e-48	0.16	1.41829959273023
ZFP36L1	1.3332589808228e-38	0.503608574384598	0.85	0.681	3.91738153745356e-34	0.169	1.41775532441053
RARRES1	1.66248918037951e-26	0.501456164200252	0.312	0.158	4.88472570979107e-22	0.154	1.41564169980271
NRN1	3.02639030117402e-37	0.500292860191417	0.616	0.403	8.8921399829095e-33	0.213	1.41450067010039
TFPI	1.4280701757731e-37	0.495679626744697	0.654	0.44	4.19595579045653e-33	0.214	1.40998481628387
FAM213A	3.15684494609571e-38	0.491926562742983	0.231	0.074	9.27544182061842e-34	0.157	1.40632161234448
EGR1	4.55672558735804e-47	0.49002568572533	0.907	0.787	1.33885711207754e-42	0.12	1.40446988068044
PIM3	2.07360283201326e-27	0.488642985208675	0.445	0.269	6.09265984102137e-23	0.176	1.40312446056772
S100A10	1.42196168675521e-46	0.487850632873568	0.898	0.791	4.17800782802415e-42	0.107	1.40235405263945
ODC1	1.81725431455211e-27	0.486931803989703	0.436	0.261	5.339456627017e-23	0.175	1.40146120062305
JUN	1.81542980502523e-19	0.485299342225653	0.875	0.773	5.33409585312514e-15	0.102	1.39987629330394
ANXA1	4.72538412133088e-34	0.481635518120764	0.778	0.598	1.38841236252944e-29	0.18	1.39632572074882
MYADM	2.1483126459007e-28	0.479537170172631	0.597	0.413	6.31217221618544e-24	0.184	1.39429629152947
CSRP2	1.29113909283819e-32	0.478928149747877	0.381	0.196	3.79362488257718e-28	0.185	1.39370782640733
DUSP2	5.40604497976944e-19	0.475313684560558	0.213	0.103	1.58840413595586e-14	0.11	1.39022046201846
GPM6A	1.07060624483123e-50	0.474941699013626	0.529	0.282	3.14565526856311e-46	0.247	1.38986205276365
LEF1	4.09815858785158e-50	0.474861859703796	0.26	0.073	1.20412095628255e-45	0.187	1.38978513938035
FOSB	2.78067421930215e-32	0.474699511737716	0.921	0.851	8.17017699115359e-28	0.0700000000000001	1.3896287542195
ACTG1	5.3057729836833e-26	0.474236618631848	0.943	0.906	1.55894221806583e-21	0.0369999999999999	1.38918295911481
RGS16	1.60293063716105e-16	0.466737433266928	0.225	0.119	4.70973079810661e-12	0.106	1.38198066676409
GRASP	2.38695228712447e-30	0.466419977188013	0.637	0.451	7.01334321002911e-26	0.186	1.38167660396071
ATF3	1.21905274709264e-26	0.466113033706583	0.652	0.472	3.5818207815076e-22	0.18	1.38138267384836
TXNIP	3.52486878300704e-22	0.46400629736077	0.9	0.799	1.03567694582313e-17	0.101	1.37936694274768
HYAL2	4.3516253658137e-30	0.456617110091484	0.646	0.456	1.27859456498338e-25	0.19	1.3723201704358
BTG2	6.3482545851124e-24	0.45332827695453	0.755	0.608	1.86524416219773e-19	0.147	1.36919533016685
TUBB4B	2.6325297635943e-26	0.452015221872775	0.684	0.541	7.73489895139278e-22	0.143	1.36794973706156
ADAMTS1	2.15830421855009e-16	0.446809428140428	0.716	0.606	6.34152945494388e-12	0.11	1.36302254781674
NR2F2	5.55275494157206e-29	0.445080990552942	0.615	0.423	1.6315104569327e-24	0.192	1.36139054060483
CLU	1.04991086684528e-55	0.44314489299757	0.933	0.793	3.08484810896479e-51	0.14	1.35956477909502
SEPT10	5.86121804757785e-33	0.438672430978416	0.228	0.081	1.72214308673932e-28	0.147	1.35535655335231
NFKBIZ	3.87914047957661e-32	0.432571952782186	0.675	0.479	1.1397690557092e-27	0.196	1.34963748864417
CCDC85B	8.73167512967362e-32	0.429801435406064	0.781	0.628	2.5655407866007e-27	0.153	1.34704816382143
SH3BP5	7.32807624132095e-29	0.423242466563003	0.777	0.634	2.15313536122492e-24	0.143	1.34093793739736
FILIP1	1.52206166144566e-28	0.422865619009723	0.165	0.049	4.47212157365965e-24	0.116	1.34058771564327
VIM	9.06094444621643e-75	0.421158719129529	0.987	0.974	2.66228669718731e-70	0.013	1.33900256020236
SNHG7	1.29342091617744e-28	0.420571540582818	0.778	0.625	3.80032933591256e-24	0.153	1.33845769550277
MIR222HG	5.68201860581101e-19	0.414490582585441	0.568	0.413	1.66949070675939e-14	0.155	1.33282797077724
H3F3B	2.53329807730375e-51	0.414066474690132	0.979	0.939	7.44333641073389e-47	0.04	1.33243621800019
CXCL3	2.94201726675878e-13	0.41211605025604	0.184	0.096	8.64423513319065e-09	0.088	1.33063607301881
AKAP12	3.49802544455627e-10	0.412086592943416	0.415	0.307	1.02778983611952e-05	0.108	1.33060890403194
JAM2	3.06683227206751e-31	0.409753089091137	0.715	0.532	9.01096658178875e-27	0.183	1.32845843482325
C6orf48	5.4714408568545e-26	0.409155421575512	0.219	0.089	1.60761875256099e-21	0.13	1.32790820626376
MINOS1	1.34302998064522e-28	0.408151049937776	0.241	0.098	3.94609068913179e-24	0.143	1.32698406834182
TROVE2	7.49688723380248e-28	0.404889652309974	0.218	0.084	2.20273540703584e-23	0.134	1.32398763842809
MCAM	8.33464934512301e-24	0.399824139299759	0.417	0.253	2.44888667058404e-19	0.164	1.31934707606005
MEOX1	3.18853854266371e-30	0.399480343772068	0.275	0.12	9.36856394605452e-26	0.155	1.31903271192159
SRSF7	1.15779431323807e-24	0.398863947317944	0.754	0.594	3.40183125115609e-20	0.16	1.31846927100054
IER5	2.79270169194096e-29	0.398571923597185	0.512	0.32	8.20551611126093e-25	0.192	1.31820241949934
H2AFX	1.85226711645049e-21	0.39546386382325	0.491	0.334	5.44233124155484e-17	0.157	1.31536561633709
DOCK11	5.29685872667678e-32	0.391536096274473	0.244	0.093	1.55632303107217e-27	0.151	1.31178937622424
CAST	1.89989278234693e-22	0.388846882345459	0.776	0.643	5.58226497309175e-18	0.133	1.3093464507497
CALCOCO2	7.96485031954187e-26	0.378403264163769	0.653	0.475	2.34023232088779e-21	0.178	1.29990236222977
AAED1	9.67164403128529e-24	0.374082249925732	0.173	0.065	2.84172244927224e-19	0.108	1.29601485082397
ICAM1	1.32534118408175e-18	0.374062198189874	0.696	0.561	3.89411746706901e-14	0.135	1.29599683789253
THSD7A	3.46951855917645e-24	0.370965307680784	0.444	0.275	1.01941394305723e-19	0.169	1.29321783365532
AQP1	2.27440989510854e-27	0.370484733435801	0.852	0.722	6.68267115380793e-23	0.13	1.29278712330663
NOV	4.0464750557972e-27	0.369674548119697	0.137	0.036	1.18893530089433e-22	0.101	1.29206132674388
FAM96B	3.24596490272525e-27	0.366901504279687	0.213	0.082	9.53729407718733e-23	0.131	1.28958020539086
FXYD5	1.61108834019987e-28	0.36423544222315	0.636	0.446	4.73369976117526e-24	0.19	1.28719929608322
RARRES3	2.15939038996572e-22	0.363984416373334	0.189	0.076	6.34472084379728e-18	0.113	1.28697534564426
FAM84B	1.16574095873225e-21	0.358783772754475	0.14	0.047	3.42518008494709e-17	0.093	1.28234439403612
KCTD12	1.55359782993679e-24	0.35749216954863	0.702	0.535	4.56478114392026e-20	0.167	1.28119686188641
NFKBID	1.15353369469945e-21	0.357436607122852	0.295	0.156	3.38931270176592e-17	0.139	1.28114752018026
LGALS3	6.32058769435366e-20	0.355276639350229	0.785	0.663	1.85711507635499e-15	0.122	1.2792308525613
MGLL	4.44482832808134e-24	0.3498433014102	0.389	0.227	1.30597945935686e-19	0.162	1.27442219819791
ACTB	1.47630643837234e-24	0.347096262696606	0.918	0.869	4.33768357722562e-20	0.049	1.27199787697414
SRSF5	1.93852199478896e-24	0.346117424455079	0.85	0.732	5.69576532508893e-20	0.118	1.27113514587366
PLK2	3.24343870779971e-18	0.344605092408099	0.467	0.319	9.52987161125712e-14	0.148	1.26980335285426
ZFP36L2	1.19308462622668e-19	0.339407776773412	0.744	0.602	3.50552124877922e-15	0.142	1.26523711022824
DSP	6.12262214176896e-22	0.335502803930198	0.336	0.189	1.79894883769456e-17	0.147	1.26181709707631
DNAJA1	6.45862694899448e-21	0.333706207193326	0.905	0.834	1.89767377015356e-16	0.0710000000000001	1.26024672672013
MFSD2A	2.05382015950906e-25	0.330193588387465	0.122	0.03	6.03453439266952e-21	0.092	1.2571820584866
