	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
MT-RNR2	4.34234181034367e-21	5.24749902229695	0.143	0.004	1.27586687071518e-16	0.139	37.988715393542
MT-RNR1	9.01992457347364e-19	2.37055909180263	0.128	0.004	2.65023423817802e-14	0.124	5.17141502777134
SLC26A3	5.4143639691963e-19	2.15069926701249	0.128	0.004	1.59084842142926e-14	0.124	4.44042962061154
RASGEF1B	4.90053097740652e-13	1.97022527352999	0.121	0.02	1.43987401178158e-08	0.101	3.91829297506574
SEPT7	4.00074296672217e-17	1.23180244207628	0.304	0.09	1.17549829848231e-12	0.214	2.34860231051432
INO80D	6.72028396861734e-08	1.0846226704494	0.26	0.188	0.00197455383565915	0.072	2.12082072031875
FAM213A	6.23417276530737e-14	1.00792049289685	0.253	0.077	1.83172464190261e-09	0.176	2.01101033071357
LINC02147	9.75780796018711e-07	1.00604414024794	0.227	0.114	0.0286703913486218	0.113	2.00839653381248
SEPT2	3.51509260798476e-12	0.831653943088597	0.223	0.063	1.03280451007808e-07	0.16	1.77972451567805
CXorf36	4.41556807883653e-10	0.809870544856895	0.179	0.054	1.29738221292375e-05	0.125	1.75305413145456
AKAP12	6.02226116398036e-16	0.803626847578084	0.864	0.834	1.76946077520071e-11	0.03	1.74548365531589
COL4A3BP	9.20296305597638e-10	0.70099771603245	0.136	0.031	2.70401460510698e-05	0.105	1.62562863039219
IGKC	2.11463392584284e-15	0.696512943810558	0.212	0.043	6.21321740091144e-11	0.169	1.62058303594182
IGF1	3.75017099485006e-10	0.677083505646682	0.652	0.498	1.10187524170684e-05	0.154	1.59890420532583
SEPT10	4.31286903298655e-10	0.676555594457484	0.179	0.047	1.26720717927211e-05	0.132	1.59831924108701
SEMA3A	1.37047847942162e-06	0.675487157237203	0.41	0.377	0.0402673986823659	0.033	1.59713598923855
TROVE2	2.68806483985022e-13	0.650007718018276	0.187	0.036	7.89807211244793e-09	0.151	1.56917659043053
PLA2G16	9.73614299836998e-10	0.594805885674289	0.176	0.046	2.86067353578107e-05	0.13	1.51026936545412
CLDN5	1.11829992468514e-20	0.589477426810734	0.868	0.914	3.28578883870987e-16	-0.046	1.5047016154692
LYVE1	1.42715297858884e-10	0.580851397791961	0.788	0.714	4.19326088168974e-06	0.0740000000000001	1.49573168527531
SCN3A	5.13424275539451e-08	0.557943521784436	0.22	0.083	0.00150854320639001	0.137	1.47216922897738
IL32	6.82240163018831e-14	0.522111324408575	0.293	0.092	2.00455804698193e-09	0.201	1.43605531840789
AES	1.10570542460258e-07	0.471945864217172	0.168	0.053	0.00324878367856729	0.115	1.38697892306731
IGHA1	1.39965126231146e-08	0.449190678285731	0.132	0.029	0.000411245533892354	0.103	1.36527415167376
SEPT11	1.30886653134649e-06	0.443309221659093	0.11	0.027	0.0384571164240226	0.083	1.3597196477114
HIST1H1E	8.43809261538994e-07	0.433013464722803	0.165	0.057	0.0247928037225387	0.108	1.35005058513284
FKBP2	3.74904032403167e-07	0.425176118769873	0.201	0.077	0.0110154302800699	0.124	1.34273640897259
PRELP	1.15322578719749e-07	0.323046789074606	0.136	0.037	0.00338840800794367	0.099	1.25096965054674
TXNIP	1.21956276290987e-07	0.283643620436507	0.861	0.925	0.00358331930998177	-0.0640000000000001	1.21726528840143
HLA-C	1.10741670237117e-06	0.25980079992617	0.868	0.917	0.0325381175490697	-0.049	1.19731337419752
