	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
IGKC	1.41406732309833e-16	1.44783620727858	0.337	0.018	4.15481260872751e-12	0.319	2.72798593721409
NFKBID	2.6798230116737e-10	1.29225402170985	0.604	0.284	7.87385597289966e-06	0.32	2.44910397142946
NR4A3	1.10430153721424e-08	1.14452058022411	0.711	0.485	0.000324465877664289	0.226	2.2107265414173
CD69	5.93476582128669e-11	1.14145688132731	0.813	0.639	1.74375289361046e-06	0.174	2.20603683651792
NR4A2	2.16174850564422e-11	1.1169641981742	0.829	0.586	6.35164945928384e-07	0.243	2.16890099371304
EGR1	7.22360252122649e-07	0.995124132551289	0.706	0.497	0.0212243889278677	0.209	1.99325202192317
NR4A1	1.04036843404794e-09	0.986601927043998	0.775	0.562	3.05681053291965e-05	0.213	1.9815123059799
FOXP1	1.83380520535828e-07	0.985025922239756	0.658	0.391	0.0053880864543837	0.267	1.97934887730783
VMP1	8.94797714021432e-08	0.904599630408357	0.717	0.444	0.00262909464333777	0.273	1.87202490768303
IGLC2	6.80363925170057e-09	0.804296874673812	0.193	0.012	0.000199904528493466	0.181	1.74629449401151
MT-ND1	1.92829413915236e-10	0.729299256069446	0.93	0.941	5.66571383965745e-06	-0.0109999999999999	1.65783365526268
GADD45B	1.34086001536921e-06	0.687563948338576	0.807	0.58	0.0393971489715781	0.227	1.6105617194987
KIT	1.45266324623252e-06	0.671245256690823	0.877	0.734	0.0426821515008039	0.143	1.59244688890108
IGHA1	9.99717341118936e-08	0.663639805401471	0.155	0.006	0.00293736949167566	0.149	1.58407408007279
JCHAIN	2.2830115403848e-08	0.565454161279364	0.128	0	0.000670794450795861	0.128	1.47985329465055
NFKBIA	1.07114520090633e-07	0.536197077848245	0.957	0.905	0.00314723882930298	0.0519999999999999	1.45014491487965
