	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
DES	3.26071875945243e-16	1.56835214672999	0.446	0.251	9.58064385902314e-12	0.195	2.96565781723881
ACTG2	1.03536759293403e-11	1.17708810289606	0.493	0.347	3.04211706155877e-07	0.146	2.26119921756629
ID3	4.24350691921015e-14	1.15096111397195	0.711	0.53	1.24682720300232e-09	0.181	2.2206178124939
CNN1	2.8016477500648e-16	1.03825151724305	0.679	0.559	8.23180141924039e-12	0.12	2.05373710561169
CYR61	1.12893611715141e-12	0.871843168299678	0.446	0.185	3.31704009941429e-08	0.261	1.8299993908737
DUSP1	2.31755562458993e-15	0.832162054815747	0.786	0.778	6.80944193617014e-11	0.00800000000000001	1.78035143830265
MYH10	1.57115283633459e-09	0.830119577707108	0.379	0.219	4.61636126371828e-05	0.16	1.77783271180291
SEPT7	1.98216722067378e-14	0.817644059739159	0.621	0.318	5.82400372778371e-10	0.303	1.76252541368041
ZFP36	7.71176327788528e-17	0.816124647177434	0.9	0.869	2.26587028630825e-12	0.031	1.76067014041206
C2orf40	2.46202033643252e-13	0.785129718823829	0.554	0.266	7.23390815250602e-09	0.288	1.72324725692066
ANGPTL1	2.66301045446232e-11	0.778231594085641	0.529	0.286	7.82445731730119e-07	0.243	1.71502736243485
PDLIM3	1.96101463185102e-11	0.777030633006899	0.643	0.478	5.76185319130468e-07	0.165	1.7136002943384
CSRP1	7.05259417039407e-14	0.749481264048845	0.814	0.778	2.07219321914518e-09	0.0359999999999999	1.68118823316962
ATF3	4.50758807483776e-08	0.698196241900781	0.829	0.83	0.00132441952814883	-0.001	1.62247499252716
TRDN	5.66687781790387e-07	0.669715488842276	0.243	0.099	0.0166504204045651	0.144	1.59075922595932
CST3	1.10432711752288e-08	0.647662403482941	0.861	0.793	0.000324473393670573	0.0679999999999999	1.56662773373063
LMOD1	4.48738307023923e-10	0.63629022784583	0.814	0.704	1.31848289369769e-05	0.11	1.55432719107261
MYLK	1.364382996409e-09	0.628474825925815	0.85	0.83	4.00883012004893e-05	0.02	1.54592981857023
FOS	7.41287433686191e-08	0.624279655746808	0.929	0.919	0.00217805073765677	0.01	1.54144098467545
LHFPL6	2.13350168318997e-08	0.584094274209792	0.689	0.515	0.000626865464554878	0.174	1.4990975584382
EDIL3	4.53202115642506e-07	0.583799858387744	0.436	0.281	0.0133159845618081	0.155	1.49879166357073
EGR1	6.34617371359371e-07	0.582020205874638	0.911	0.874	0.018646327605281	0.037	1.49694395231151
JUNB	1.66992049899272e-12	0.581604632684693	0.936	0.941	4.9065604101404e-08	-0.00499999999999989	1.49651281463731
AEBP1	2.45900694949743e-09	0.57609629840811	0.718	0.658	7.22505421901334e-05	0.0599999999999999	1.49080989350287
TSC22D1	1.87594218705729e-08	0.570816710257993	0.825	0.798	0.000551189333401173	0.0269999999999999	1.48536419795228
CDC42EP3	6.34938442991547e-07	0.570112092062185	0.311	0.148	0.0186557613319776	0.163	1.48463891709404
C9orf3	1.87503318748109e-10	0.569500254964428	0.321	0.113	5.50922251145693e-06	0.208	1.48400942537631
FAM96B	1.18211830787494e-10	0.564305359067918	0.293	0.096	3.47330001219814e-06	0.197	1.47867537277523
MGP	7.89683921944328e-07	0.548913018892264	0.821	0.852	0.0232024929945682	-0.031	1.46298301376131
PPP1R14A	6.26378515191065e-08	0.532760276208944	0.725	0.64	0.00184042535333439	0.085	1.44669447754456
MYL9	6.64204768612559e-07	0.521234581881475	0.936	0.966	0.0195156645113742	-0.0299999999999999	1.43518287604076
IER2	3.48202067265195e-07	0.519929304887512	0.85	0.82	0.010230873140386	0.03	1.43388498289328
CKB	1.71270554310071e-08	0.512483620878831	0.707	0.653	0.00050322714267385	0.0539999999999999	1.42650383047703
MINOS1	5.57610963400653e-08	0.507501553184535	0.396	0.195	0.0016383725326638	0.201	1.42158617196695
FAM129A	8.76685700610032e-07	0.495648811791423	0.307	0.14	0.025758779255324	0.167	1.40995470031966
BTG2	8.92756562813117e-09	0.492146123198382	0.843	0.84	0.00026230973328575	0.003	1.40653565349786
CPED1	6.36202969607643e-07	0.489058587104002	0.479	0.337	0.0186929156530118	0.142	1.40352872146169
FKBP2	2.6042673289888e-07	0.485808401503997	0.318	0.143	0.00765185826603488	0.175	1.40037033101481
WISP2	1.41443316388091e-06	0.479967417052043	0.157	0.042	0.0415588752211489	0.115	1.39471216672933
LPP	7.43427491941032e-09	0.479967307817766	0.782	0.783	0.000218433865682114	-0.001	1.3947120611281
CTGF	7.72421144451316e-09	0.474818519256807	0.243	0.081	0.000226952780662686	0.162	1.38974338904316
FHL1	1.60602672738818e-07	0.471926387237359	0.739	0.7	0.00471882773041195	0.039	1.38696019840453
SEPT2	2.65781883951318e-07	0.461433913821187	0.375	0.187	0.00780920331425762	0.188	1.37690966712727
