	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
MT-RNR2	2.24625580368389e-62	3.85939742707348	0.252	0.023	6.599948802384e-58	0.229	14.514243029971
AC024230.1	3.44997559883836e-71	2.67642587607529	0.333	0.221	1.01367183045069e-66	0.112	6.39270214552743
RASGEF1B	2.41300682139398e-46	2.18946908634954	0.392	0.182	7.08989664261978e-42	0.21	4.56137596229012
MT-RNR1	5.02087283222934e-44	2.14392994367438	0.203	0.022	1.47523285556562e-39	0.181	4.41964331900591
SLC26A3	5.71579338929613e-50	2.03855691616099	0.217	0.023	1.67941441364299e-45	0.194	4.10834379968457
PDE4D	4.03828255171503e-43	1.76561606215088	0.594	0.44	1.18652817934491e-38	0.154	3.40019164235179
INO80D	2.55965566655786e-39	1.64682828621472	0.577	0.413	7.52078027948032e-35	0.164	3.1314444491632
AP001324.1	2.54214514911818e-35	1.56965922191395	0.169	0.021	7.46933087713904e-31	0.148	2.96834590732699
AC073621.1	5.33964357214988e-35	1.47578082309651	0.169	0.02	1.56889407436908e-30	0.149	2.7813413647882
CSMD1	4.84958125978572e-29	1.39432589471554	0.148	0.038	1.42490396575024e-24	0.11	2.62865698245694
ERBB4	1.04501199496136e-27	1.3930891994989	0.474	0.434	3.07045424359545e-23	0.04	2.62640463217508
RPL13AP5	5.09604923134058e-33	1.36572258370313	0.159	0.02	1.49732118515249e-28	0.139	2.5770536708376
KIAA1551	1.05076962622546e-78	1.31736834169951	0.346	0.042	3.08737131577565e-74	0.304	2.49211102327287
PLCB1	8.7130353059299e-44	1.25729703701461	0.543	0.325	2.56006403358832e-39	0.218	2.39047453473444
RPL9P9	7.78282421116224e-26	1.1805007177725	0.138	0.019	2.28674940972369e-21	0.119	2.26655428961299
LRRC75A-AS1	6.58736300436214e-28	1.17861893437535	0.12	0.011	1.93549899794168e-23	0.109	2.2635998302993
LRFN5	9.95106635365886e-78	1.1686762588273	0.305	0.026	2.92382231603205e-73	0.279	2.24805332715357
UGT2B7	1.63011755985694e-18	1.12039778573979	0.519	0.459	4.78961141437166e-14	0.06	2.17406908558296
CYR61	3.3829130587806e-54	1.10523256540662	0.314	0.056	9.93967514930916e-50	0.258	2.15133555267786
AC007969.1	5.53006988567131e-24	1.09975929315291	0.127	0.018	1.62484513380795e-19	0.109	2.14318931423564
BICD1	1.50669451823602e-29	1.09001876680108	0.617	0.492	4.42696983348108e-25	0.125	2.128768056072
PRUNE2	5.94486835100226e-49	1.05980891816863	0.529	0.264	1.74672121889148e-44	0.265	2.0846553953075
CCSER1	6.09511904614309e-19	1.04740790630422	0.229	0.187	1.79086787813776e-14	0.042	2.06681306163873
ZSWIM6	1.27874594209901e-15	1.03654846774411	0.473	0.477	3.75721132707531e-11	-0.004	2.05131417335166
ZFPM2	1.29369124747362e-20	1.02681460043487	0.379	0.321	3.80112362332699e-16	0.058	2.03752053630303
RPS13P2	2.0745673252723e-21	1.01517470067244	0.118	0.019	6.09549371511508e-17	0.099	2.0211476255479
PAM	9.04991974012135e-35	1.00458127581274	0.524	0.316	2.65904741804246e-30	0.208	2.00636109129827
LINC00486	4.4815312052506e-22	0.993984011615793	0.138	0.025	1.31676349872673e-17	0.113	1.99167743369294
ATP5E	6.49120649137605e-23	0.9898738651304	0.113	0.013	1.90724629129611e-18	0.1	1.98601134625324
EYA2	3.28763268514019e-27	0.989175608075937	0.434	0.32	9.6597223554789e-23	0.114	1.98505035944834
RBFOX2	6.51482257654004e-18	0.982760201606564	0.462	0.407	1.914185169439e-13	0.055	1.97624279335777
RPS23P8	1.20898622440193e-18	0.975251394322619	0.108	0.017	3.55224332453776e-14	0.091	1.96598374633304
C3	2.22468902512743e-22	0.964317057194713	0.589	0.503	6.53658129362943e-18	0.086	1.95113967263992
ESR1	5.87343389310851e-21	0.958577406439973	0.617	0.573	1.72573234647314e-16	0.044	1.94339263491495
BNC2	5.46930442179828e-18	0.957525147168374	0.437	0.375	1.60699102521277e-13	0.062	1.94197569836386
AC096919.1	1.92618032620979e-22	0.945706713104887	0.12	0.018	5.6595030344696e-18	0.102	1.92613218292912
LINGO1	9.46206468102276e-29	0.937428030230224	0.168	0.027	2.78014384457811e-24	0.141	1.91511102246937
