	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
CYR61	4.2220554887689e-73	2.00081846914839	0.468	0.154	1.24052434371008e-68	0.314	4.0022699221551
S100A10	3.66838479418351e-112	1.38286405577794	0.566	0.155	1.077844820227e-107	0.411	2.60785572237829
MGP	4.13495807415216e-91	1.35381027611002	0.904	0.821	1.21493338134739e-86	0.0830000000000001	2.55586259155772
SEPT7	2.50286045279714e-65	1.0943371941621	0.534	0.201	7.35390458240855e-61	0.333	2.13514965600913
FOS	5.97014013305097e-76	1.07495088791421	0.919	0.882	1.75414657389304e-71	0.037	2.10665035630025
FN1	2.4503432296787e-58	1.07168711039989	0.656	0.391	7.19959847744196e-54	0.265	2.1018899139148
C9orf3	3.62888232744924e-65	1.05371596075444	0.45	0.16	1.06623820545114e-60	0.29	2.07586980152389
ATF3	2.29925973539601e-52	0.977868793270023	0.877	0.824	6.75568495454056e-48	0.053	1.96955375544698
PLN	7.08384673288092e-56	0.963212927155689	0.489	0.188	2.08137584705507e-51	0.301	1.94964698867128
FAM129A	9.77345982129613e-68	0.962972121001841	0.322	0.057	2.87163796469323e-63	0.265	1.94932159224336
CTGF	1.9967430544701e-30	0.951638481654206	0.203	0.051	5.86683044264404e-26	0.152	1.93406794926632
HSPA1B	1.70825791113435e-34	0.915747598674398	0.744	0.601	5.01920339449495e-30	0.143	1.88654641923069
FGF7	1.40979356290609e-56	0.876047459196315	0.671	0.364	4.14225544653067e-52	0.307	1.83534013936087
NRP2	2.00236258079747e-67	0.850688997259717	0.373	0.086	5.88334173489913e-63	0.287	1.80336196290849
FHL1	7.08021806844764e-57	0.830379046062469	0.796	0.598	2.08030967287129e-52	0.198	1.77815248334216
PPP1R14A	2.30131384532482e-37	0.80049637669883	0.587	0.339	6.76172034033338e-33	0.248	1.74170027658484
DUSP1	1.30315914638043e-39	0.800437925317763	0.904	0.864	3.82894220389499e-35	0.04	1.74162971231355
IER2	2.80974527320391e-37	0.778786611450641	0.854	0.742	8.25559356172773e-33	0.112	1.71568727534814
PDLIM3	6.26456257452416e-41	0.773038060784803	0.74	0.521	1.84065377564669e-36	0.219	1.70886456398094
TRDN	1.11548062531246e-45	0.770603561116415	0.51	0.23	3.27750517329306e-41	0.28	1.70598334380247
LGALS3	1.8950500647906e-43	0.770031398933507	0.814	0.67	5.56803610036773e-39	0.144	1.70530689757159
EGR1	1.7370871190972e-51	0.769327083675422	0.91	0.762	5.10390937333139e-47	0.148	1.70447457992802
AES	2.02742710027643e-44	0.768579376077081	0.416	0.16	5.95698630603222e-40	0.256	1.70359142835378
RERG	3.74212785184839e-48	0.768360644637862	0.593	0.314	1.09951200543009e-43	0.279	1.70333316118843
ZFP36	3.877981770617e-44	0.76818309788736	0.881	0.755	1.13942860384269e-39	0.126	1.70312355163749
FGL2	1.7066247113807e-52	0.748473097785583	0.332	0.084	5.01440472697876e-48	0.248	1.68001381644381
CNN1	2.71341252077765e-50	0.737970250857157	0.906	0.832	7.97254866854888e-46	0.0740000000000001	1.66782769579682
TXNIP	8.06409854409206e-36	0.735710306367072	0.839	0.66	2.36939343422513e-31	0.179	1.6652171320463
FILIP1	3.89898960092255e-37	0.727217315726671	0.549	0.299	1.14560112454306e-32	0.25	1.65544297570388
CAV1	2.95233975711068e-34	0.722215328209943	0.716	0.558	8.67456467434261e-30	0.158	1.64971330538922
SEPT2	1.90946190314546e-34	0.720536483061315	0.375	0.155	5.610380963822e-30	0.22	1.64779467238314
TUBA1A	8.25832727001012e-36	0.690954520285626	0.851	0.785	2.42646171847437e-31	0.0659999999999999	1.61435125717913
JUN	3.68466463093274e-43	0.685349689520759	0.936	0.89	1.08262816186066e-38	0.046	1.60809171366072
ASPN	5.90432689118308e-37	0.683585889634214	0.273	0.077	1.73480932716741e-32	0.196	1.60612690558655
GAS6	7.16283196195814e-43	0.677429208979368	0.553	0.291	2.10458328706254e-38	0.262	1.59928738592015
CD151	3.54286001935869e-38	0.662533776856439	0.688	0.484	1.04096313088797e-33	0.204	1.58286013001205
PDE1C	8.73652147160583e-43	0.657199056639254	0.399	0.147	2.56696473878722e-38	0.252	1.57701792301476
CSRP1	3.57012485842485e-47	0.648604596544492	0.897	0.874	1.04897408590239e-42	0.023	1.56765119872998
CITED2	1.31033437309306e-13	0.643518985263819	0.524	0.428	3.85002445502203e-09	0.096	1.56213483587074
ID4	5.00592544201828e-24	0.642625394644172	0.733	0.61	1.47084101337381e-19	0.123	1.56116756504792
BTG2	2.89064835319263e-30	0.628787607858913	0.866	0.721	8.4933029913506e-26	0.145	1.54626501854232
ANGPTL1	2.465228771682e-37	0.62071199672971	0.433	0.188	7.24333517695606e-33	0.245	1.53763384485363
SLMAP	4.12461954095434e-22	0.561130381397541	0.657	0.502	1.2118957135232e-17	0.155	1.47542479035734
TTLL7	2.0958014415099e-32	0.560043326446188	0.526	0.285	6.1578837954444e-28	0.241	1.47431349262528
C8orf59	1.02154436751266e-26	0.558276925091403	0.285	0.116	3.00150166062571e-22	0.169	1.47250948301178
GFRA1	5.25385529020679e-33	0.552853411048469	0.41	0.183	1.54368776136856e-28	0.227	1.46698427966873
DST	7.53511784502288e-24	0.538906141315352	0.694	0.514	2.21396832522462e-19	0.18	1.45287052581649
SYNE2	4.85538926680611e-19	0.536256325676066	0.36	0.199	1.42661047437297e-14	0.161	1.45020446987778
TSPAN2	8.29619606340817e-23	0.52390323923572	0.459	0.269	2.43758832735059e-18	0.19	1.43784009446727
FOSB	2.17051614353798e-34	0.522106612689558	0.928	0.877	6.3774105329433e-30	0.051	1.43605062838129
HSPA1A	5.72716714676567e-14	0.514011356295529	0.782	0.804	1.68275625106269e-09	-0.022	1.42801522038291
C6orf48	1.45894381418642e-23	0.511108250302872	0.29	0.127	4.28666871484254e-19	0.163	1.42514454356662
PGM5	1.30210909102218e-20	0.510577360166121	0.592	0.428	3.82585693124138e-16	0.164	1.42462020822934
FXYD6	8.05596907197444e-28	0.506824157158475	0.423	0.214	2.36700483272753e-23	0.209	1.42091884397596
TES	2.82338470733166e-26	0.504887483635826	0.2	0.058	8.29566894708188e-22	0.142	1.41901268251714
TROVE2	5.46950101666955e-20	0.503065602043311	0.258	0.115	1.60704878871785e-15	0.143	1.41722183877219
THSD7A	1.58058549715333e-24	0.497615836169747	0.253	0.094	4.64407630773592e-20	0.159	1.41187839641469
AHNAK2	1.07850996680921e-31	0.491440902512535	0.296	0.104	3.16887798447882e-27	0.192	1.40584827632246
