	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
MT-RNR2	0	5.2852262568448	0.275	0.008	0	0.267	38.9952435545972
MT-RNR1	4.3781002067826e-312	3.30640190423542	0.25	0.007	1.28637340275686e-307	0.243	9.89295767168042
RASGEF1B	1.48964360820148e-246	2.48971245780216	0.242	0.028	4.37687084961758e-242	0.214	5.61665994015227
SLC26A3	5.03073616312286e-279	2.43943023084625	0.223	0.008	1.47813089944876e-274	0.215	5.42427465686547
LINC00486	3.39263321810183e-244	2.26141117411138	0.201	0.006	9.96823492142681e-240	0.195	4.79460237234817
RPL9P9	4.03541213835555e-207	1.97825901514499	0.174	0.006	1.18568479449163e-202	0.168	3.94017310949628
RPL13AP5	7.69813044446759e-202	1.79164838613015	0.163	0.005	2.26186468719347e-197	0.158	3.46210237509311
RPS13P2	1.56960721207293e-173	1.6129477941197	0.149	0.006	4.61181991051269e-169	0.143	3.05876186830859
AC007969.1	8.78091695162424e-168	1.52201923494989	0.136	0.004	2.58000901872623e-163	0.132	2.87192731139698
AC073621.1	1.79876793996424e-165	1.50909887727351	0.136	0.004	5.28513996120294e-161	0.132	2.84632199274121
AP001324.1	8.11034958537652e-160	1.49607899465708	0.138	0.006	2.38298291517533e-155	0.132	2.82075036671189
INO80D	9.82523618468136e-125	1.49334536866963	0.34	0.215	2.88685089578308e-120	0.125	2.81541065485607
MTATP6P1	6.96386504707769e-168	1.44701379803204	0.14	0.005	2.04612282813237e-163	0.135	2.72643129021187
AC007563.2	5.40339830782003e-120	1.34942398382152	0.12	0.022	1.58762649080368e-115	0.098	2.54810368546811
SEPT7	1.47756317828808e-126	1.34942295566514	0.213	0.054	4.34137613044605e-122	0.159	2.54810186952776
RBFOX2	3.07172436803483e-106	1.3398746505035	0.477	0.319	9.02534053815992e-102	0.158	2.53129324532659
RPS23P8	3.76677057601719e-162	1.30395968709924	0.131	0.005	1.10675253064537e-157	0.126	2.46905622054441
AL022718.1	1.37853315643709e-143	1.28478976342999	0.12	0.004	4.05040612024345e-139	0.116	2.43646544783002
AC005912.1	2.74893886708669e-148	1.22675751662325	0.121	0.004	8.07693217927411e-144	0.117	2.34040388260086
AC096919.1	1.10268371321047e-119	1.15293753439665	0.104	0.004	3.23990528615501e-115	0.1	2.22366203314944
ID1	7.85524720555108e-170	1.09036267239988	0.61	0.361	2.30802873393502e-165	0.249	2.12927556631957
KCNIP4	9.00351436059951e-54	1.02812691427468	0.193	0.094	2.64541258943135e-49	0.099	2.03937476245737
ATP1B3	2.59313156076469e-43	0.978666175442997	0.606	0.495	7.61913915183883e-39	0.111	1.97064263500597
TSC22D1	2.86628803044796e-148	0.884809899163497	0.718	0.612	8.4217274910622e-144	0.106	1.8465212932706
LAMA2	2.11213276478006e-52	0.840959960647255	0.331	0.325	6.20586848947676e-48	0.00600000000000001	1.79124162686838
APOO	2.96121255750799e-60	0.838692310219941	0.133	0.045	8.70063473646997e-56	0.088	1.78842833708015
ERCC1	5.06634909957369e-44	0.812447320225784	0.259	0.167	1.48859469243674e-39	0.092	1.75618803228281
MT-ATP8	2.73628618959257e-38	0.79916069372989	0.516	0.395	8.03975608226088e-34	0.121	1.74008851334862
