	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	perDiff	FC
MT-RNR2	2.93146300501859e-09	2.77834759597816	0.111	0.025	8.61322460134563e-05	0.086	6.86066106851572
SEPT7	6.1367248101588e-23	1.3200682153339	0.37	0.095	1.80309248372086e-18	0.275	2.49677915088587
RASGEF1B	9.04283674462729e-07	1.02143317987956	0.225	0.115	0.0265696629230639	0.11	2.02993450454829
SEPT6	5.31909723487195e-14	0.941777908758907	0.276	0.08	1.56285714955008e-09	0.196	1.9208939990393
FOS	3.64448268282017e-09	0.887149920078288	0.818	0.776	0.000107082190186622	0.0419999999999999	1.84951874208806
KIAA1551	7.91911804737913e-10	0.846978629529434	0.218	0.074	2.32679526468094e-05	0.144	1.79872997972427
JUN	1.68416721540662e-07	0.841286488705994	0.678	0.572	0.00494842011230773	0.106	1.79164708805685
IGKC	2.54785044845012e-18	0.817621229405478	0.195	0.021	7.48609418763613e-14	0.174	1.76249752232168
AES	9.50525583579818e-11	0.74243846765838	0.246	0.08	2.79283426967422e-06	0.166	1.67300118547478
LGALS3	2.45559512099319e-10	0.713210045052727	0.461	0.255	7.21502958450219e-06	0.206	1.63944788862024
DUSP1	1.1433825477921e-09	0.692898038588215	0.777	0.71	3.35948660192274e-05	0.0670000000000001	1.61652748668174
HIST1H1D	2.41854108855244e-07	0.687843270901584	0.359	0.218	0.00710615742638479	0.141	1.61087357319411
RGS2	1.15078176133418e-06	0.674236214371038	0.448	0.286	0.0338122697115209	0.162	1.59575173277586
RARRES3	1.1802534129137e-11	0.660661762380393	0.251	0.078	3.46782057782303e-07	0.173	1.58080757187035
IL7R	9.36846206104535e-18	0.637070941570359	0.937	0.907	2.75264152277634e-13	0.03	1.55516854210912
IGHA1	1.73758211545063e-12	0.598951099420151	0.132	0.016	5.10536377161704e-08	0.116	1.51461497667932
SEPT9	1.8672443956586e-07	0.5971180814946	0.157	0.049	0.00548633748332411	0.108	1.51269180279671
AAED1	6.97731766764481e-08	0.514457041530106	0.109	0.025	0.0020500754771074	0.084	1.42845643879542
FAM96B	9.36666842760754e-08	0.50890275944519	0.122	0.029	0.00275211451739965	0.093	1.42296754712028
PTPRC	2.82912099358867e-11	0.45507531556461	0.944	0.891	8.31252330336222e-07	0.0529999999999999	1.37085436825044
C19orf70	9.55146772429588e-07	0.438706321121014	0.104	0.023	0.0280641224675262	0.081	1.35538839221297
CXCR4	7.32474299060084e-07	0.430384709210758	0.911	0.872	0.0215215598549834	0.039	1.34759287821599
S100A4	1.47566980369988e-06	0.297370758466001	0.904	0.885	0.0433581301723099	0.019	1.22890275581535
RPL10	3.000221067453e-07	0.258784511435681	0.977	0.988	0.00881524954039042	-0.011	1.19647023875828
