	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
RPL17	8.64482860114961e-44	-2.12211821497555	0.604	0.88	2.54002353958978e-39
EEF1G	1.11947623814474e-37	-1.83513687296721	0.184	0.692	3.28924508291686e-33
HLA-DRB5	1.21450087753345e-27	1.8695214789665	0.584	0.176	3.56844647836878e-23
GAS5	8.20690283789216e-25	-1.52695951741662	0.155	0.518	2.41135219182947e-20
SEPTIN7	2.59768258403609e-20	-1.42021286775271	0.127	0.429	7.63251096841485e-16
RPL36A	1.23687504560973e-19	-0.907440799521146	0.743	0.891	3.63418625901051e-15
SNHG6	1.80339981384724e-19	-1.25349403155345	0.127	0.451	5.29874933304595e-15
SNHG29	1.54173295919416e-18	-1.31867079415679	0.147	0.454	4.52991978070428e-14
IGHM	2.85077830325091e-18	-1.37170168262082	0.743	0.387	8.37615681061182e-14
MIF	4.08189433985471e-18	-1.22266438461549	0.208	0.521	1.19934219493611e-13
RPLP1	2.48977115373272e-17	-0.673786411221099	0.971	0.992	7.31544560389746e-13
SEPT7	1.66663675142387e-16	1.19260656516085	0.461	0.146	4.89691210303362e-12
CRIP1	1.85184693697232e-16	-1.38018052278799	0.253	0.546	5.44109667021206e-12
ARID5B	2.39378619540426e-15	-1.24027068302383	0.212	0.499	7.0334225993368e-11
RESF1	8.65528153812316e-15	-1.06960846121664	0.049	0.272	2.54309482153135e-10
KIAA1551	1.77356759564177e-14	1.16285898811939	0.396	0.12	5.21109630951466e-10
SEPT6	6.7463707144928e-14	0.987307266836023	0.367	0.104	1.98221864333227e-09
NME2	1.18634918861369e-13	-0.816792280950352	0.147	0.434	3.48573118598473e-09
EIF4A1	3.41218006872408e-13	-1.09573114607967	0.294	0.563	1.00256674779251e-08
HLA-DPB1	1.21158945668453e-12	0.929719367416469	0.8	0.779	3.55989214163049e-08
LINC01578	1.289968768695e-12	-0.933868096828877	0.106	0.317	3.79018623617965e-08
LINC01781	3.52803235432382e-12	-0.920939379195125	0.037	0.238	1.03660646634742e-07
SNHG32	4.0292296477431e-12	-0.822397465147378	0.098	0.272	1.18386825509988e-07
RPL39	7.85611021821676e-12	-0.619488189999254	0.939	0.975	2.30828230431645e-07
PIM1	2.12102639820038e-11	0.90700116175086	0.363	0.123	6.23199976319235e-07
PTGDS	2.21612839941683e-11	-1.39291606763361	0.024	0.199	6.51142846316652e-07
RPS12	2.27559435573299e-11	-0.750137347703185	0.976	0.983	6.68615133601466e-07
MARCH1	2.7020590789194e-11	1.23153476099678	0.465	0.21	7.93918998568099e-07
CAMK2D	6.13282630785153e-11	1.05121599540037	0.322	0.106	1.80194702577294e-06
PRXL2C	9.83447169487933e-11	-0.668813631784901	0.057	0.168	2.88956447338944e-06
RPS4X	1.90622225664237e-10	-0.553593699322911	0.959	0.98	5.60086223446661e-06
RPL28	2.35039114115787e-10	-0.59291059124517	0.914	0.972	6.90591925095005e-06
AES	4.62441712935634e-10	0.853470634240002	0.343	0.126	1.35874624094748e-05
HLA-C	4.7047833898024e-10	0.485133629988488	0.886	0.888	1.38235945559174e-05
RPS20	5.41548724900227e-10	-0.572874773797532	0.935	0.95	1.59117846350185e-05
SEPTIN2	6.01187494734685e-10	-0.719006427109994	0.086	0.213	1.76640909702945e-05
TPT1	6.4005764022532e-10	-0.433266590208985	0.984	0.997	1.88061735851003e-05
PDE4B	6.78918566997902e-10	0.809218581437413	0.596	0.336	1.99479853355323e-05
PTPRC	8.87749353494249e-10	0.771179185936862	0.71	0.51	2.6083851504368e-05
PLEKHO1	1.13372799322025e-09	0.788099708529974	0.445	0.202	3.33111958967975e-05
ATP6V0C	1.46827699108241e-09	-0.835244503156064	0.131	0.289	4.31409145519833e-05
HLA-DRB1	1.67536700529422e-09	0.83171663028558	0.784	0.77	4.92256333495548e-05
CD79B	2.67662806530261e-09	0.897538529911236	0.531	0.286	7.86446858147213e-05
SEPT2	3.67122729417336e-09	0.683395014408125	0.233	0.059	0.000107868000357402
RBM27	4.5813356583662e-09	-0.691519523958022	0.078	0.199	0.000134608804314116
RPS25	4.68931832985716e-09	-0.568677064794509	0.963	0.992	0.000137781551167863
SYNE2	5.22785705106521e-09	0.874440231577497	0.441	0.213	0.000153604895874398
RPL18	5.49776765543885e-09	-0.48482822715606	0.914	0.975	0.000161535409252104
VOPP1	8.66271201699085e-09	0.981831678273501	0.457	0.255	0.000254527804483225
EGR3	1.24445166031627e-08	-1.04937901743798	0.09	0.246	0.000365644786834126
RPS18	1.3418177896512e-08	-0.537467535862043	0.976	0.992	0.000394252902955315
HLA-DMB	1.37831524334595e-08	0.783063279984135	0.535	0.3	0.000404976584799907
RPS15A	1.37838409674036e-08	-0.512887606006603	0.939	0.98	0.000404996815304254
TOMM6	2.19739771314127e-08	-0.722804525594538	0.131	0.3	0.000645639396075169
DOCK8	2.41408954747792e-08	0.941141260405076	0.404	0.202	0.000709307790839963
EEF1A1	2.91573406271533e-08	-0.424060126122304	0.963	1	0.000856700982307018
RPLP2	3.37057599197203e-08	-0.525487309734082	0.984	0.969	0.000990342637961222
