	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IGKC	2.01478325461471e-46	-0.580626005710671	0.414	0.02	5.91983615870893e-42
ECRG4	3.80828268425152e-36	1.39020587048233	0.719	0.283	1.11894961828678e-31
S100A6	1.20342273893759e-35	0.915460508861825	0.932	0.867	3.53589669154644e-31
IGHA1	7.35332575784363e-34	0.420218696653958	0.308	0.016	2.16055417416961e-29
RAB3B	6.98680965412588e-32	0.556992735441247	0.316	0.018	2.05286441257526e-27
GSTA1	1.03252943020156e-31	-1.6110701274091	0.365	0.725	3.03377797181822e-27
SLC16A12	1.33362954981563e-31	0.51894092062164	0.403	0.053	3.91847034326829e-27
LINC02838	2.99004533689987e-30	0.513864034507498	0.376	0.045	8.78535120887921e-26
RTN1	8.3356348672437e-30	0.713181997259311	0.471	0.098	2.44917623669354e-25
IGFBP7	1.04184090643669e-29	0.697421556567364	0.833	0.844	3.06113695129229e-25
AC044893.1	6.00122773652925e-29	0.574084745935883	0.452	0.088	1.76328073354703e-24
IGLC2	1.6677392260766e-28	0.544085375807721	0.278	0.014	4.90015139405827e-24
CCDC198	6.00174152083576e-28	1.03898944645277	0.643	0.238	1.76343169365196e-23
CSRP2	4.42485294849021e-27	0.767100700274762	0.669	0.279	1.30011029332539e-22
SLPI	1.27190512738295e-26	0.900827288417676	0.81	0.756	3.73711164527659e-22
HOXB-AS3	1.3825374438395e-26	0.402182200582109	0.285	0.02	4.06217151748921e-22
FJX1	3.42871407854523e-25	0.296156259816636	0.255	0.014	1.00742477055816e-20
CFH	8.87683454306278e-24	0.625131847268087	0.338	0.057	2.6081915254427e-19
SMOC1	3.30624240775996e-22	0.430338228369779	0.312	0.045	9.71440144248032e-18
HES4	1.54101759172065e-21	0.365788051518805	0.373	0.082	4.52781788799361e-17
PLG	7.41120017398763e-21	0.525550164044693	0.414	0.107	2.17755883512105e-16
LDHB	1.29438740415161e-20	0.856389925716539	0.749	0.525	3.80316907087826e-16
CNTNAP2	1.80843861121142e-20	0.529446437586963	0.289	0.041	5.3135543274614e-16
KRT18	3.28192101585375e-20	0.854661147624225	0.844	0.713	9.6429403287815e-16
CRISP3	1.34948444179072e-19	-1.3347640133156	0.061	0.328	3.96505518686951e-15
TNNT3	4.88228364717986e-19	0.44033505415455	0.384	0.098	1.43451258121439e-14
SFTA2	2.10833691806489e-18	0.304126467123427	0.247	0.031	6.19471553265825e-14
MBD3L1	3.65306672386769e-18	0.407915383241026	0.365	0.092	1.0733440648068e-13
KRT23	3.73692062149482e-18	0.482720706061956	0.54	0.223	1.09798201700761e-13
NUCB2	4.41884273727246e-18	-0.574128521942687	0.779	0.758	1.2983443730654e-13
HOXB6	2.61960924097976e-17	0.292221943831527	0.506	0.197	7.69693587184672e-13
QPRT	1.22095679456688e-16	0.534024543006415	0.635	0.33	3.58741525379640e-12
TUBA1A	1.40661028862566e-16	0.647434654147316	0.84	0.773	4.13290235003992e-12
CWH43	2.04228219218784e-16	0.476242716247376	0.544	0.236	6.00063353708633e-12
RBP1	2.73952074721439e-16	0.499943301057225	0.833	0.828	8.04925985946531e-12
NEAT1	6.17702726036401e-16	-0.814727147602065	0.882	0.799	1.81493414964015e-11
CFD	6.73053535245489e-16	0.676606377000306	0.285	0.059	1.9775658972583e-11
BICC1	1.33524014364873e-15	0.301843869537808	0.464	0.178	3.9232025900687e-11
TRIP13	1.99532685322376e-15	0.460337862633167	0.513	0.217	5.86266936014205e-11
SGCE	3.60263407201496e-15	0.271471741450469	0.338	0.094	1.05852594303944e-10
LDLRAD1	3.78119028434781e-15	-0.695546661486942	0.722	0.791	1.11098932934707e-10
TMEM190	5.59774804944196e-15	0.669915108738354	0.825	0.654	1.64473033188704e-10
GIPC2	8.67188392198049e-15	0.394056562401992	0.27	0.057	2.54797293395631e-10
LGALS4	9.0719572718379e-15	2.50137955821737	0.129	0.096	2.66552248561141e-10
KLF6	1.02016896561476e-14	-0.544687870158841	0.795	0.732	2.99746045476929e-10
CDHR3	1.09847038633134e-14	-0.630150659670297	0.764	0.773	3.22752568911875e-10
HIST1H4C	1.70858636157268e-14	0.962576815132868	0.688	0.408	5.02016844757286e-10
TPRG1	2.22716417385532e-14	0.318468190859354	0.293	0.072	6.5438537756217e-10
SOX4	2.93911592742621e-14	-0.739261842956415	0.719	0.693	8.6357104179637e-10
TUBB4B	3.75391899841677e-14	0.449683472293378	0.89	0.875	1.10297648011482e-09
C9orf24	4.63241801054924e-14	0.370724297463701	0.817	0.832	1.36109705985958e-09
PLAC8	5.48823677972146e-14	-0.739055600808319	0.376	0.496	1.61255373061776e-09
KRT8	1.25394990689092e-13	0.716067134590179	0.863	0.754	3.6843556164269e-09
LCP2	1.72515799309189e-13	0.261963033535072	0.186	0.025	5.06885921530259e-09
PDLIM4	2.0361012696888e-13	0.572090313408815	0.521	0.258	5.98247275059964e-09
SPAG6	2.18686173761021e-13	0.505899651661425	0.551	0.268	6.42543715744631e-09
CLU	2.41553868284808e-13	-0.705983123192833	0.779	0.793	7.09733575794424e-09
PDE1C	2.57139833209538e-13	0.301545319776985	0.24	0.049	7.55528257936265e-09
PLTP	2.67042345806669e-13	0.459623193779852	0.593	0.309	7.84623820449154e-09
TCF7	4.37315196927048e-13	-0.791520361145104	0.464	0.588	1.28491951161105e-08
IRF1	6.03595713528099e-13	-0.822740371374757	0.521	0.586	1.77348492548826e-08
INPP4B	6.56921049704406e-13	0.333385725014621	0.281	0.074	1.93016542824149e-08
SMC2	6.70537781159292e-13	0.715580170399085	0.54	0.299	1.97017410860223e-08
SETD3	6.8377941169277e-13	0.524356218998085	0.601	0.336	2.0090806674357e-08
HOXB7	3.98269923990953e-12	0.383043454907006	0.422	0.176	1.17019669067022e-07
FOLR1	4.45444728770707e-12	0.605997303298853	0.745	0.613	1.30880570207409e-07
OXTR	5.02395788804670e-12	0.488698240346099	0.559	0.291	1.47613930666588e-07
NDN	5.93245290485877e-12	0.265572253729907	0.38	0.145	1.7430733125056e-07
FXYD1	6.67346946832972e-12	0.4549077784869	0.376	0.148	1.96079879918464e-07
PROM1	8.52259943582338e-12	0.348992843593711	0.395	0.158	2.50411016623363e-07
ID1	9.3674914068373e-12	0.852814241081968	0.517	0.281	2.75235632515694e-07
DNAH5	1.25157206410965e-11	-0.649142685808343	0.631	0.68	3.67736903876698e-07
BRD2	1.33616203571012e-11	-0.702485042509548	0.54	0.596	3.92591129332348e-07
LINC02832	1.64560471817971e-11	0.264711225515999	0.346	0.127	4.83511578295562e-07
LCN2	1.85332793667233e-11	0.314564125129981	0.392	0.16	5.44544814353063e-07
GJA4	1.86840832094205e-11	-0.454258324990456	0.118	0.344	5.48975732859193e-07
BTG1	2.11434975885826e-11	-0.419678161279502	0.753	0.725	6.21238246147733e-07
WFDC2	2.81878673836208e-11	0.522806028977241	0.837	0.803	8.28215919465546e-07
NT5E	3.00242502302111e-11	0.335499234752311	0.331	0.117	8.82172520264063e-07
TACC1	3.89898571729668e-11	-0.564913766030538	0.228	0.418	1.14559998345611e-06
ATF3	4.24066049901265e-11	-0.879174726799789	0.529	0.625	1.2459908678199e-06
TMED6	4.63781732479003e-11	-0.715749539340339	0.163	0.336	1.36268348636981e-06
MT-CO2	7.9999793712129e-11	0.49782763551242	0.985	0.891	2.35055393884977e-06
MUC4	1.15265960855022e-10	0.402155641290609	0.24	0.066	3.38674446184227e-06
METTL27	1.16986639591163e-10	0.449121228089858	0.692	0.471	3.43730144446754e-06
SAMHD1	1.21557334928994e-10	-0.499788538153917	0.662	0.65	3.5715976148837e-06
GADD45B	1.80666590653157e-10	-0.744563540511358	0.639	0.66	5.30834576657107e-06
SYNE2	1.8655295783185e-10	-0.590134729856282	0.749	0.74	5.48129900701542e-06
ANKUB1	1.91736936207443e-10	0.312577707921496	0.563	0.311	5.6336146596471e-06
TLE4	2.24025478225425e-10	-0.636894841088351	0.589	0.613	6.58231660121943e-06
JUN	2.35648835725005e-10	-0.713568316161319	0.658	0.68	6.92383409127211e-06
TSPAN6	2.96488115624422e-10	-0.318424099103462	0.703	0.67	8.71141381327676e-06
C20orf85	2.96946555275738e-10	0.253805953207984	0.852	0.881	8.72488368711174e-06
BACE2	3.49029478460297e-10	0.395116654588018	0.433	0.203	1.02551841361204e-05
MYL12B	3.61130521503868e-10	0.370083862762793	0.829	0.799	1.06107369828266e-05
ERICH3	4.29277042104229e-10	-0.433601966154628	0.76	0.754	1.26130180511064e-05
CLDN10	4.4182916791194e-10	-0.577571062891391	0.106	0.295	1.29818246115886e-05
STAG3	4.4623719640525e-10	0.450404172692501	0.555	0.318	1.3111341304779e-05
MRPS36	4.53217897007707e-10	0.755704850132882	0.673	0.447	1.33164482498804e-05
CABCOCO1	5.61949257858879e-10	0.405393276975592	0.768	0.572	1.65111930944096e-05
PCDH17	6.071204836121e-10	0.265406679802069	0.338	0.135	1.78384140494907e-05
KCNQ1OT1	9.63033731197498e-10	-1.37758746556661	0.593	0.611	2.82958570900449e-05
S100A10	1.22232667746187e-09	0.577629513430211	0.852	0.691	3.59144024371847e-05
ALDH1A1	1.55108235351316e-09	-0.528074044557341	0.308	0.525	4.55739017109238e-05
TMSB4X	2.30307585810699e-09	0.483496547241119	0.856	0.754	6.76689748628997e-05
FAM3C	3.20980443381933e-09	0.372460804091255	0.506	0.279	9.43104738744796e-05
HLA-A	3.26714766076981e-09	0.478240103091734	0.798	0.596	9.59953325687387e-05
UTP20	3.66384017893591e-09	0.301933931786513	0.316	0.125	0.000107650952137495
SLC25A5	4.06544914729684e-09	0.800383757961472	0.593	0.379	0.000119451026845876
NR2F1	4.22474033132367e-09	0.343167865434165	0.54	0.307	0.000124131320414952
NIN	4.71583216082719e-09	-0.595700841302794	0.259	0.43	0.000138560580549425
IGFBP2	5.06806541556151e-09	0.521327266706573	0.563	0.33	0.000148909898040028
RPL10	6.39602169819164e-09	0.357901112725357	0.958	0.887	0.000187927909536267
TCTEX1D1	6.43072615620197e-09	0.317902201048698	0.654	0.422	0.000188947595921526
NDUFB2	6.56951455233895e-09	0.507907862808239	0.817	0.674	0.000193025476576823
RNASEK	7.47108114411859e-09	-0.251321123766912	0.783	0.717	0.000219515306176492
RP1	7.8887767444901e-09	-0.538450749375054	0.738	0.711	0.000231788038306608
ZFP36	8.28470193195504e-09	-0.532895170955063	0.715	0.725	0.000243421112164703
DNAH9	8.45452600171384e-09	-0.504829135673135	0.741	0.74	0.000248410882982356
CCN1	8.52478119008609e-09	-0.704678115713188	0.548	0.52	0.000250475120927109
SPON2	8.53281074153442e-09	-0.484295344139429	0.183	0.371	0.000250711045207764
CAPN2	1.06641457152483e-08	-0.425177660365903	0.635	0.607	0.000313333929405424
RALGDS	1.2505275336614e-08	-0.674149283432171	0.35	0.451	0.000367429999940392
CLSTN2	1.28788982836906e-08	0.280938427971784	0.183	0.045	0.000378407789371396
KCNS3	1.34182401291506e-08	0.257030908193319	0.141	0.025	0.000394254731474704
MT-CO1	1.60564466874323e-08	0.326671042146844	0.985	0.906	0.000471770516570135
FTL	1.66954982980556e-08	0.524806610463556	0.886	0.746	0.000490547130993469
ALCAM	1.85951736278106e-08	-0.489937651052473	0.49	0.529	0.00054636339153233
PCCA-DT	1.95863341895002e-08	0.280525883125517	0.259	0.092	0.000575485671155894
CHCHD10	2.0025244631543e-08	0.655320463207091	0.559	0.355	0.000588381737763996
LKAAEAR1	2.50394344070292e-08	-0.455157333250526	0.053	0.168	0.000735708661747331
REV3L	2.52967655426677e-08	-0.583912043885398	0.506	0.57	0.000743269565174662
RIPOR2	2.58073313177736e-08	-0.477436570824763	0.612	0.598	0.000758271008778824
MLLT1	3.46468736046422e-08	0.292156184665015	0.57	0.348	0.0010179944402516
FAM153CP	3.61671296990242e-08	-0.631179805652915	0.266	0.426	0.00106266260481673
PDLIM1	3.63151509625624e-08	0.422567639439212	0.802	0.664	0.00106701176558201
CP	4.0259664430113e-08	0.298743309941943	0.198	0.057	0.00118290946028558
WEE1	4.38322559191539e-08	-0.572096903543723	0.445	0.48	0.00128787934341658
TMOD3	4.40065393213822e-08	-0.435318046951659	0.544	0.551	0.00129300013834085
SLC16A11	5.04659569768816e-08	0.26546529169756	0.452	0.246	0.00148279074789474
APRT	5.29505622480871e-08	0.454234913603355	0.669	0.453	0.0015557934199733
SCD5	5.44167275687936e-08	0.312802945233274	0.35	0.162	0.00159887228942629
AK1	5.54485716759413e-08	0.670980685917618	0.757	0.619	0.00162918993298251
TP53TG1	5.6739062603758e-08	-0.268036273657831	0.582	0.514	0.00166710713742362
UQCRH	5.84145938160086e-08	0.542342258179952	0.76	0.58	0.00171633759550197
NR4A3	5.8970470368809e-08	-0.412582113905457	0.433	0.33	0.00173267036037635
USH1C	6.03574065015041e-08	0.275618545146216	0.167	0.041	0.00177342131782719
C11orf97	6.13306576620497e-08	0.381093770225991	0.764	0.637	0.00180201738342634
ENPP2	6.65651824731285e-08	-0.528813953425527	0.259	0.389	0.00195581819142546
RTN4	7.03874728764753e-08	0.381891059594893	0.802	0.695	0.0020681247280566
KRT17	7.45659539307169e-08	0.560643406834034	0.255	0.094	0.00219089685839232
SOD3	7.92278840393104e-08	0.377908903931123	0.624	0.422	0.00232787368884302
TSPAN1	8.97737439261809e-08	0.497177901362941	0.779	0.635	0.00263773214403905
CCN2	9.49347338322e-08	-0.607207154527264	0.593	0.578	0.0027893723494577
ID3	9.70647017297465e-08	0.386731780426167	0.354	0.168	0.00285195506622341
MYL12A	9.78006827444554e-08	0.402740313802069	0.833	0.754	0.00287357966039759
TST	1.03221279666758e-07	0.328820372174834	0.395	0.201	0.00303284763916867
GRAMD1C	1.03994481695616e-07	0.42353754117282	0.468	0.266	0.0030555658611806
MRPL15	1.16463473222284e-07	0.370349710694405	0.365	0.178	0.00342192977021715
UBB	1.16941923901283e-07	0.56682215535549	0.555	0.344	0.00343598760806749
LYSMD2	1.2513934504999e-07	0.280342118125531	0.304	0.131	0.00367684423625881
OVGP1	1.32285957587722e-07	-0.88898464711013	0.125	0.293	0.00388682600584245
TMEM176A	1.32762482208344e-07	0.492508119389049	0.148	0.035	0.00390082725224557
ZBTB16	1.36171712454744e-07	-0.489233604863478	0.141	0.244	0.0040009972553453
TFF3	1.91635132793324e-07	-0.494435940280919	0.856	0.785	0.00563062347173345
PHLDA3	2.33687811417869e-07	0.278127792828662	0.373	0.186	0.00686621527507983
BLCAP	2.36773195234571e-07	0.379461362818142	0.749	0.584	0.00695687002238217
SUGT1	2.4098816673601e-07	-0.287436728813454	0.616	0.531	0.00708071431503746
RPS9	2.44521199571367e-07	0.344489869568283	0.92	0.873	0.00718452188580592
PHB	2.47359762661635e-07	0.347951476912157	0.586	0.377	0.00726792454652417
IK	2.50787296162133e-07	-0.360931988598801	0.825	0.824	0.00736863233583578
SELENBP1	2.55012543096109e-07	-0.324808332729744	0.65	0.627	0.00749277854124987
ARPC1B	2.7541113005639e-07	0.328649054378667	0.532	0.326	0.00809212982331685
PUF60	2.81107943369606e-07	0.451637591344298	0.673	0.469	0.00825951359208577
