	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
RPS26	4.84785675757855e-27	-0.844720296996855	0.81	0.875	1.42439727251173e-22
ADIRF	1.15987714502059e-26	-1.07212270883774	0.696	0.863	3.40795102749949e-22
MTRNR2L8	4.43318583044885e-23	-0.34752053678048	0.015	0.206	1.30255866070248e-18
MT-RNR2	4.34234181034367e-21	5.24749902229695	0.143	0.004	1.27586687071518e-16
CLDN5	1.11829992468514e-20	0.589477426810734	0.868	0.914	3.28578883870987e-16
RPL17	8.72177889407907e-20	-0.405381883478656	0.707	0.931	2.56263307465831e-15
RPL36A	3.82613381534281e-19	-0.48458158577329	0.78	0.952	1.12419463762403e-14
SLC26A3	5.4143639691963e-19	2.15069926701249	0.128	0.004	1.59084842142926e-14
MT-RNR1	9.01992457347364e-19	2.37055909180263	0.128	0.004	2.65023423817802e-14
SEPT7	4.00074296672217e-17	1.23180244207628	0.304	0.09	1.17549829848231e-12
SNCG	9.49208802006911e-17	-0.790714403722197	0.473	0.692	2.78896530205671e-12
AKAP12	6.02226116398036e-16	0.803626847578084	0.864	0.834	1.76946077520071e-11
IGKC	2.11463392584284e-15	0.696512943810558	0.212	0.043	6.21321740091144e-11
EEF1G	2.72022382201949e-15	-0.398581389758098	0.524	0.784	7.99256163385766e-11
S100A6	4.23342846975947e-15	-0.526832548035139	0.916	0.975	1.24386595298473e-10
NME2	5.2458116443248e-15	-0.455701786316371	0.505	0.767	1.54132437733551e-10
MT-CO2	2.79095134050211e-14	-0.45125007867827	0.93	0.98	8.20037322866331e-10
CCN1	5.33613998105985e-14	-0.934587976827433	0.19	0.433	1.56786464923501e-09
FAM213A	6.23417276530737e-14	1.00792049289685	0.253	0.077	1.83172464190261e-09
IL32	6.82240163018831e-14	0.522111324408575	0.293	0.092	2.00455804698193e-09
TROVE2	2.68806483985022e-13	0.650007718018276	0.187	0.036	7.89807211244793e-09
RASGEF1B	4.90053097740652e-13	1.97022527352999	0.121	0.02	1.43987401178158e-08
ARL6IP1	1.10952318217104e-12	-0.490735090512346	0.729	0.894	3.26000101385494e-08
ID1	1.12134577093981e-12	-0.910868671663154	0.234	0.463	3.29473814417535e-08
EIF4A1	1.51680321150391e-12	-0.549467239625066	0.623	0.811	4.45667119604079e-08
SEPTIN7	2.25408849732823e-12	-0.579198773093928	0.443	0.676	6.62296282284982e-08
TGM2	3.01988321572799e-12	-0.804155680067328	0.168	0.376	8.87302086445199e-08
SEPT2	3.51509260798476e-12	0.831653943088597	0.223	0.063	1.03280451007808e-07
RPL28	1.2655697746425e-11	-0.27938898166007	0.868	0.975	3.71849711185459e-07
TMEM88	1.46941854803167e-11	-0.401122351609709	0.022	0.165	4.31744557782667e-07
LMNA	2.04359101334632e-11	-0.564342154923697	0.637	0.776	6.00447911541416e-07
SEPTIN9	2.35915008761386e-11	-0.572156481160008	0.249	0.448	6.93165478742703e-07
MT-CO3	4.75860493925375e-11	-0.37125476627589	0.916	0.986	1.39817330325154e-06
MIF	1.14562129469778e-10	-0.269520737821344	0.582	0.794	3.36606448808101e-06
LYVE1	1.42715297858884e-10	0.580851397791961	0.788	0.714	4.19326088168974e-06
CST3	2.37278026807332e-10	-0.511115939444701	0.791	0.87	6.97170298365304e-06
SCGB1A1	2.70655445886801e-10	-0.327793973205906	0.004	0.106	7.952398311046e-06
IGF1	3.75017099485006e-10	0.677083505646682	0.652	0.498	1.10187524170684e-05
RPL39	4.02482287930111e-10	-0.294359000893635	0.872	0.971	1.18257345839625e-05
SEPT10	4.31286903298655e-10	0.676555594457484	0.179	0.047	1.26720717927211e-05
CXorf36	4.41556807883653e-10	0.809870544856895	0.179	0.054	1.29738221292375e-05
CCL21	6.48861870469031e-10	-0.32652595021089	0.974	0.987	1.90648594781211e-05
MT-CYB	8.70392493116054e-10	-0.354753213063185	0.945	0.983	2.55738722327359e-05
COL4A3BP	9.20296305597638e-10	0.70099771603245	0.136	0.031	2.70401460510698e-05
PLA2G16	9.73614299836998e-10	0.594805885674289	0.176	0.046	2.86067353578107e-05
SNHG5	1.05979324909499e-09	-0.565005543135592	0.425	0.616	3.11388452449089e-05
MT-ND3	2.17115718446589e-09	-0.462514789826292	0.93	0.983	6.37929403939767e-05
GAS5	5.49272785215043e-09	-0.362322065410911	0.436	0.648	0.000161387329751884
LOX	7.23393654801106e-09	-0.531170320421127	0.432	0.622	0.000212547523653661
RNASEK	1.05623856321439e-08	-0.376179028744455	0.495	0.699	0.000310344014643652
MT-ATP6	1.07133780741224e-08	-0.268516119119498	0.945	0.989	0.000314780474573865
IGHA1	1.39965126231146e-08	0.449190678285731	0.132	0.029	0.000411245533892354
SCN3A	5.13424275539451e-08	0.557943521784436	0.22	0.083	0.00150854320639001
CCL14	5.55474948240151e-08	-0.312296568052787	0.524	0.717	0.00163209649291921
SOCS3	6.11861866160833e-08	-0.463887658122717	0.429	0.62	0.00179777253515376
INO80D	6.72028396861734e-08	1.0846226704494	0.26	0.188	0.00197455383565915
FXYD6	7.30115858355238e-08	-0.401052108620485	0.681	0.808	0.00214522641501936
NIBAN1	8.41509180560975e-08	-0.418723455904907	0.099	0.246	0.00247252227432426
MT-ND4	1.0002878674645e-07	-0.289243365061252	0.949	0.981	0.00293904581218419
AES	1.10570542460258e-07	0.471945864217172	0.168	0.053	0.00324878367856729
PRELP	1.15322578719749e-07	0.323046789074606	0.136	0.037	0.00338840800794367
ID3	1.15336302804547e-07	-0.616376980063357	0.176	0.337	0.0033888112490032
TXNIP	1.21956276290987e-07	0.283643620436507	0.861	0.925	0.00358331930998177
RPL18	2.33238887542342e-07	-0.262313106368854	0.868	0.958	0.0068530249937691
CXCL2	3.09352582785056e-07	-0.586886766561553	0.308	0.484	0.00908939758739053
CDKN2C	3.58623422037986e-07	-0.378196017783248	0.117	0.251	0.0105370733863201
LRATD1	3.68365970360568e-07	-0.47883411368987	0.176	0.327	0.0108233289411342
HS3ST1	3.70872053038572e-07	-0.480089935284199	0.381	0.507	0.0108969626623793
FKBP2	3.74904032403167e-07	0.425176118769873	0.201	0.077	0.0110154302800699
IGFBP4	5.10874058030323e-07	-0.391301002934071	0.67	0.767	0.0150105015730469
CFH	7.33174938920706e-07	-0.376605565771821	0.201	0.369	0.0215421460553682
HIST1H1E	8.43809261538994e-07	0.433013464722803	0.165	0.057	0.0247928037225387
MGP	8.46282403637309e-07	-1.04170408647795	0.139	0.277	0.0248654695836714
LINC02147	9.75780796018711e-07	1.00604414024794	0.227	0.114	0.0286703913486218
SELENON	1.0203518617008e-06	-0.45077454252135	0.322	0.458	0.029979978400493
CD34	1.02414096763847e-06	-0.287135726606264	0.066	0.189	0.0300913099111536
NFKBID	1.03992893145908e-06	-0.319783301876449	0.073	0.195	0.0305551918641308
HLA-C	1.10741670237117e-06	0.25980079992617	0.868	0.917	0.0325381175490697
SEPT11	1.30886653134649e-06	0.443309221659093	0.11	0.027	0.0384571164240226
SEMA3A	1.37047847942162e-06	0.675487157237203	0.41	0.377	0.0402673986823659
UBE2V1	1.43766031887248e-06	-0.412257413803437	0.348	0.506	0.0422413354891112
C8orf59	2.04931581501292e-06	0.553450967854899	0.161	0.057	0.0602129972767097
FAM241A	2.08355504579812e-06	-0.451751634663844	0.278	0.429	0.0612190143556404
NR2F1	2.13812324931395e-06	-0.339565738618121	0.766	0.88	0.0628223373113425
FAM96B	2.54797173761921e-06	0.290618600136802	0.15	0.053	0.0748645055947275
GUK1	2.5479972156171e-06	-0.314198167621322	0.788	0.854	0.0748652541892617
TM4SF1	3.0024065578444e-06	-0.320641323846541	0.802	0.88	0.0882167094825841
NNMT	3.3437988406432e-06	-0.364356529679097	0.549	0.704	0.0982474975357784
CYR61	3.69706881980546e-06	0.624588297712473	0.117	0.041	0.108627276063524
AKR1C1	3.83042541765678e-06	0.505340579872931	0.377	0.242	0.112545559621592
NAA38	4.10800847155835e-06	-0.329326021460554	0.465	0.595	0.120701504911327
GNG10	4.23141545443178e-06	-0.356084251856538	0.242	0.404	0.124327448882114
TLE5	5.08919186142855e-06	-0.388156623083886	0.282	0.439	0.149530635272494
GABARAP	5.19446075629389e-06	-0.361953579549357	0.513	0.68	0.152623645941427
ATP6V0C	5.19722234907288e-06	-0.329765931578057	0.341	0.508	0.152704787060459
NR4A2	5.44126876638369e-06	-0.510479522572121	0.333	0.481	0.159875358893885
YBX3	5.48486913418724e-06	-0.250199147676915	0.806	0.918	0.161156424900689
RBM4	6.30352864242019e-06	-0.395501933742724	0.26	0.408	0.18521027857159
UQCR11	6.58811904506433e-06	-0.335259880704606	0.696	0.78	0.19357211378208
CSRNP1	6.90504264994702e-06	-0.439010624187859	0.245	0.396	0.202883963140743
