	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IGKC	1.41406732309833e-16	1.44783620727858	0.337	0.018	4.15481260872751e-12
RPS26	6.3472278467908e-16	-1.09517794316347	0.684	0.882	1.86494248594407e-11
NR4A2	2.16174850564422e-11	1.1169641981742	0.829	0.586	6.35164945928384e-07
CD69	5.93476582128669e-11	1.14145688132731	0.813	0.639	1.74375289361046e-06
MT-ND1	1.92829413915236e-10	0.729299256069446	0.93	0.941	5.66571383965745e-06
NFKBID	2.6798230116737e-10	1.29225402170985	0.604	0.284	7.87385597289966e-06
NR4A1	1.04036843404794e-09	0.986601927043998	0.775	0.562	3.05681053291965e-05
RPS15A	4.54443375109519e-09	-0.539518508543019	0.85	0.976	0.000133524552474679
IGLC2	6.80363925170057e-09	0.804296874673812	0.193	0.012	0.000199904528493466
NR4A3	1.10430153721424e-08	1.14452058022411	0.711	0.485	0.000324465877664289
JCHAIN	2.2830115403848e-08	0.565454161279364	0.128	0	0.000670794450795861
VMP1	8.94797714021432e-08	0.904599630408357	0.717	0.444	0.00262909464333777
IGHA1	9.99717341118936e-08	0.663639805401471	0.155	0.006	0.00293736949167566
NFKBIA	1.07114520090633e-07	0.536197077848245	0.957	0.905	0.00314723882930298
VIM	1.80395420708773e-07	-0.541715909331649	0.984	0.988	0.00530037825126516
FOXP1	1.83380520535828e-07	0.985025922239756	0.658	0.391	0.0053880864543837
EMP3	3.65174060332607e-07	-0.738020026989694	0.647	0.793	0.0107295442406927
EGR1	7.22360252122649e-07	0.995124132551289	0.706	0.497	0.0212243889278677
RPL18	1.19024709752085e-06	-0.49794014127966	0.845	0.959	0.0349718402193576
PRG2	1.19637013848415e-06	-1.28341890709841	0.021	0.154	0.0351517474089412
GADD45B	1.34086001536921e-06	0.687563948338576	0.807	0.58	0.0393971489715781
KIT	1.45266324623252e-06	0.671245256690823	0.877	0.734	0.0426821515008039
RPL41	1.76444056572538e-06	-0.370658379587744	0.904	0.994	0.0518427927021431
SQSTM1	1.99517736274758e-06	-0.729027503207349	0.663	0.799	0.0586223012722494
S100A6	3.30803383389809e-06	-0.502589118727678	0.888	0.947	0.0971966501075938
DUSP14	3.44382792361209e-06	-1.00314414715233	0.198	0.408	0.10118655205157
RPL32	4.05771749682345e-06	-0.368078319688447	0.952	0.988	0.119223855491666
SH3BGRL3	4.731863716061e-06	-0.734937296382827	0.631	0.775	0.139031619705304
CDC42EP3	6.34631114172728e-06	-0.784896995728244	0.251	0.491	0.186467313966231
HES4	9.85941004817569e-06	-0.994871191501011	0.091	0.26	0.289689186035498
SOCS1	1.05650055780634e-05	1.05097814159586	0.38	0.172	0.310420993894659
NFKBIZ	1.20241214395856e-05	0.564385510163907	0.845	0.669	0.353292736137903
RPS16	1.48536180952618e-05	-0.427545534939056	0.882	0.893	0.436429006874984
DDX24	1.49294646015497e-05	-0.660026733948441	0.561	0.734	0.438657528922733
MT-ND3	1.58427286648319e-05	0.443415460193998	0.941	0.964	0.465491053630091
RPL28	1.69910523175952e-05	-0.486205348596075	0.861	0.947	0.499231099195584
RPS7	2.04328796945297e-05	-0.419691927854512	0.882	0.947	0.600358871184671
LGALS3	2.10638375404976e-05	-0.629066694735917	0.487	0.692	0.618897674614902
