	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HLA-DRB5	1.28611860354277e-91	1.87571065722323	0.794	0.327	3.77887368092937e-87
RPS26	7.75570466362373e-40	-0.714294129890362	0.81	0.862	2.27878114426592e-35
IGKC	4.66168407569925e-38	1.07343293032213	0.273	0.035	1.36969601512195e-33
HLA-DQA1	7.61192523874632e-26	0.867395091055122	0.788	0.783	2.23653587364844e-21
HLA-DRB1	3.03829773317438e-24	0.662776612269954	0.929	0.94	8.92712639961296e-20
IGLC2	5.28002011471406e-24	0.47811837004553	0.128	0.006	1.55137551010528e-19
IGHA1	8.35161471116104e-24	0.600529778714605	0.174	0.021	2.45387143443334e-19
TXNIP	1.43137753226575e-21	0.665829910281182	0.678	0.417	4.20567346530321e-17
CST3	9.44264485271235e-21	0.41338205564959	0.913	0.951	2.77443791062394e-16
TMEM176B	9.13342601883767e-20	0.679406743746858	0.597	0.346	2.68358323285488e-15
JCHAIN	4.07969316697451e-19	0.38446873505326	0.103	0.005	1.19869544632045e-14
NEAT1	4.49094809092772e-18	-0.574473204350759	0.857	0.928	1.31953036807638e-13
HLA-DQA2	4.2188484864297e-16	-0.6144065166437	0.237	0.421	1.23958206228277e-11
MT-RNR2	1.73721099794024e-15	3.1272324875935	0.114	0.014	5.10427335414801e-11
PTGDS	2.20357018862865e-15	-1.32228015442437	0.072	0.214	6.47452992822871e-11
SOD2	7.15722775751211e-15	-0.799318932586899	0.676	0.728	2.10293665971221e-10
DRAM2	8.05656962940124e-15	0.35334782189398	0.485	0.276	2.36718128851067e-10
EIF4A1	9.58769161842055e-15	-0.476268961814236	0.74	0.85	2.81705555132433e-10
SPARCL1	2.0207942208542e-14	-1.30753438989567	0.163	0.239	5.93749757971381e-10
MT-CYB	3.86100053781012e-14	-0.385986468147538	0.897	0.974	1.13443917801937e-09
MT-CO2	5.77697203364191e-14	-0.37952189825782	0.926	0.977	1.69738992292467e-09
RGS1	5.77996148283707e-14	0.764142930237229	0.644	0.533	1.69826828288719e-09
MAP2K3	7.28232378042131e-14	-0.549497746248849	0.269	0.441	2.13969237316339e-09
DNAJB1	1.31068879853198e-13	-0.646013775475023	0.62	0.655	3.85106582784665e-09
RPS6	1.62767771587061e-13	0.326298786963449	0.96	0.958	4.78244266477101e-09
CD93	4.56565119301698e-13	-0.605707693516448	0.275	0.379	1.34147963353225e-08
MT-ATP6	7.75011534212435e-13	-0.297631314618607	0.915	0.984	2.27713888982298e-08
HSPA1B	9.26542495720811e-13	-0.671006301532342	0.624	0.6	2.72236716092689e-08
CDV3	1.62276654881114e-12	-0.381176636288616	0.595	0.657	4.7680126737169e-08
CDKN1A	2.09844393368622e-12	-0.580100640131084	0.535	0.651	6.16564796595684e-08
RRAD	6.00342663307047e-12	-0.623528636440962	0.033	0.135	1.76392681332877e-07
RPL17	8.86391323881995e-12	-0.30612260851907	0.758	0.888	2.60439498783008e-07
CPVL	9.60730134994789e-12	0.624195836892751	0.644	0.473	2.82281728264169e-07
PPP1R15A	1.32987671312096e-11	-0.413336925568143	0.758	0.838	3.90744375849201e-07
C1QC	1.67340200967723e-11	0.476683680123904	0.763	0.7	4.91678978483365e-07
AC020916.1	3.34765184640175e-11	-0.671380007305108	0.438	0.54	9.83607065509762e-07
CLEC10A	3.41076682387215e-11	0.599547575687419	0.438	0.262	1.00215150819012e-06
CX3CR1	4.70788221548546e-11	-0.421725909412718	0.197	0.242	1.38326995255394e-06
RASSF4	6.35100678248056e-11	0.452930496505429	0.49	0.311	1.86605281282844e-06
PPIF	6.97532685719984e-11	-0.556385687421188	0.264	0.34	2.04949053718246e-06
HLA-DRA	7.05317348538933e-11	0.315608983535852	0.964	0.984	2.07236343347709e-06
C11orf96	7.65193139693238e-11	-0.961552200456041	0.072	0.178	2.24829048304667e-06
ITM2B	7.67383702665078e-11	0.298295536454196	0.935	0.948	2.25472679517053e-06
SEPT7	8.57960676149322e-11	0.628005856049179	0.201	0.082	2.52086005866194e-06
BZW1	1.08496579117425e-10	-0.408858376165584	0.541	0.616	3.18784648762819e-06
COMT	1.28163428110129e-10	0.335842151030624	0.506	0.326	3.76569784473182e-06
ABCA6	1.40016214502691e-10	0.691629989091599	0.143	0.049	4.11395641451807e-06
S100A8	1.94060986277222e-10	-2.10132941660415	0.042	0.108	5.70189989879735e-06
MAFG	2.00721324785876e-10	-0.334113898998928	0.241	0.243	5.89759396485861e-06
TMSB10	2.27771747023188e-10	0.353847182934421	0.94	0.932	6.69238947103531e-06
SFPQ	2.38791719339672e-10	-0.41003070475307	0.723	0.796	7.01617829763824e-06
CTSC	3.27231862394855e-10	0.602219214213199	0.752	0.616	9.61472658088564e-06
AOAH	3.32241957004167e-10	0.586199736197238	0.485	0.316	9.76193318069645e-06
MT-CO3	3.50159344348413e-10	-0.29039317005801	0.935	0.982	1.02883818556451e-05
SEPTIN7	3.9057790698935e-10	-0.389453596255906	0.382	0.442	1.14759600631611e-05
HLA-DMA	4.22592283708477e-10	0.34001773356762	0.792	0.768	1.24166064799225e-05
