	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CRIP1	6.84628693771893e-30	-1.67174604803929	0.361	0.667	2.01157602804058e-25
MUSTN1	3.5107178971059e-26	-1.41890560020475	0.168	0.549	1.03151913252765e-21
RERGL	1.09109109434883e-22	-0.714150141429262	0.239	0.608	3.20584385341572e-18
RPL17	1.58502328487663e-20	-0.966869563094118	0.625	0.835	4.65711541562451e-16
NIBAN1	7.21175340268223e-18	-0.52079041381321	0.086	0.352	2.11895738477609e-13
RPL36A	1.78708691331852e-17	-0.590246727208248	0.786	0.85	5.25081876871247e-13
ZFP36	7.71176327788528e-17	0.816124647177434	0.9	0.869	2.26587028630825e-12
RPL39	9.40628185096691e-17	-0.567456286964315	0.9	0.953	2.7637537334511e-12
CCN1	1.17481191646893e-16	-0.589665113088435	0.175	0.478	3.451832372969e-12
EEF1G	1.58417085356957e-16	-0.858228179346544	0.304	0.628	4.65461080195812e-12
CNN1	2.8016477500648e-16	1.03825151724305	0.679	0.559	8.23180141924039e-12
DES	3.26071875945243e-16	1.56835214672999	0.446	0.251	9.58064385902314e-12
NME2	5.2664781894558e-16	-0.856709919171565	0.239	0.554	1.5473966216259e-11
IGF1	6.95008340731925e-16	-0.580414755645321	0.104	0.377	2.04207350673854e-11
PTGDS	7.34280438725756e-16	-1.22640433024484	0.275	0.579	2.15746278506401e-11
NET1	1.46466251617962e-15	-0.631336834831299	0.196	0.5	4.30347140503895e-11
SEPTIN2	1.85650352820438e-15	-0.786259363285923	0.146	0.433	5.4547786665701e-11
DUSP1	2.31755562458993e-15	0.832162054815747	0.786	0.778	6.80944193617014e-11
SEPTIN7	5.75886277881423e-15	-0.671073556811963	0.282	0.591	1.6920690616712e-10
RPL28	8.25475271398003e-15	-0.481645024986358	0.921	0.924	2.42541144242161e-10
SEPT7	1.98216722067378e-14	0.817644059739159	0.621	0.318	5.82400372778371e-10
ID3	4.24350691921015e-14	1.15096111397195	0.711	0.53	1.24682720300232e-09
CSRP1	7.05259417039407e-14	0.749481264048845	0.814	0.778	2.07219321914518e-09
SNHG32	1.65773680075654e-13	-0.570426339878266	0.154	0.416	4.87076226798285e-09
MIF	1.80717674588971e-13	-0.847096208216021	0.35	0.606	5.30984671477316e-09
SNHG29	2.40828682000258e-13	-0.720189791679176	0.254	0.542	7.07602833453159e-09
C2orf40	2.46202033643252e-13	0.785129718823829	0.554	0.266	7.23390815250602e-09
PHLDA2	3.78902779490725e-13	-0.768961182529466	0.111	0.355	1.11329214669965e-08
RNASEK	5.18424064066864e-13	-0.72467513187079	0.229	0.5	1.52323358504126e-08
RPL26	5.87258468807121e-13	-0.501545947469142	0.9	0.946	1.72548283304908e-08
IGSF10	7.17383505996958e-13	-0.363372794659197	0.021	0.192	2.10781621732026e-08
GAS5	8.03326168820676e-13	-0.550239716345491	0.254	0.53	2.36033294922891e-08
CYR61	1.12893611715141e-12	0.871843168299678	0.446	0.185	3.31704009941429e-08
JUNB	1.66992049899272e-12	0.581604632684693	0.936	0.941	4.9065604101404e-08
HSPA6	2.73030829140913e-12	-1.05923408302554	0.068	0.276	8.0221918218183e-08
MT2A	2.94376484231507e-12	-0.828234816057936	0.771	0.901	8.64936985969013e-08
MICOS10	3.04695818047477e-12	-0.885166337263683	0.207	0.461	8.95257252587097e-08
LINC-PINT	3.14435454377226e-12	-0.447048547386702	0.093	0.313	9.23874252051165e-08
DPT	3.23790573991168e-12	-0.682319097563631	0.1	0.33	9.5136146450085e-08
MEG8	5.50250730788125e-12	-0.719435427864889	0.054	0.249	1.61674669720167e-07
RPS26	6.34018280850009e-12	-0.427327939070718	0.868	0.889	1.86287251279349e-07
OGN	6.38417357421016e-12	-0.744175050394328	0.254	0.52	1.87579787957443e-07
ACTG2	1.03536759293403e-11	1.17708810289606	0.493	0.347	3.04211706155877e-07
HSP90AA1	1.18230703442406e-11	-0.512259248925662	0.918	0.946	3.47385452854478e-07
EIF4A1	1.37962466540747e-11	-0.673144761593456	0.586	0.754	4.05361319190023e-07
PDLIM3	1.96101463185102e-11	0.777030633006899	0.643	0.478	5.76185319130468e-07
ANGPTL1	2.66301045446232e-11	0.778231594085641	0.529	0.286	7.82445731730119e-07
SFRP1	4.65745670698909e-11	-0.78193937801804	0.221	0.475	1.36845392964753e-06
DBNDD2	1.1150618457999e-10	-0.412816542187829	0.132	0.345	3.27627471532927e-06
FAM96B	1.18211830787494e-10	0.564305359067918	0.293	0.096	3.47330001219814e-06
FBLN1	1.30808169552518e-10	-0.662232893760806	0.304	0.559	3.84340563779207e-06
C9orf3	1.87503318748109e-10	0.569500254964428	0.321	0.113	5.50922251145693e-06
PALLD	2.24932899796162e-10	0.44312170646015	0.711	0.729	6.60897846181084e-06
MRPS24	2.3081809258779e-10	-0.472374522247613	0.132	0.352	6.78189719641443e-06
NRP2	3.75569635154386e-10	0.326104448779629	0.2	0.044	1.10349870201062e-05
LMOD1	4.48738307023923e-10	0.63629022784583	0.814	0.704	1.31848289369769e-05
LBH	4.53750175252296e-10	-0.655344704294726	0.318	0.567	1.3332087649263e-05
PDE4C	5.29386101105859e-10	-0.279470367626614	0.025	0.167	1.55544224226924e-05
SNHG5	5.37945436265218e-10	-0.545294677381751	0.207	0.438	1.58059128083446e-05
NEAT1	6.3467792131281e-10	-0.497204719649648	0.846	0.926	1.8648106684013e-05
RPS21	6.48107423062596e-10	-0.299793668224821	0.925	0.951	1.90426923044252e-05
LINC01578	6.78951243168825e-10	-0.42022810892384	0.164	0.379	1.99489454267864e-05
BGN	8.35127297713782e-10	-0.579545969501065	0.293	0.539	2.45377102614263e-05
MAP3K7CL	9.64992069737856e-10	-0.60635326955163	0.064	0.236	2.83533969930377e-05
RPS28	1.11845934983577e-09	-0.36837466357694	0.954	0.975	3.28625726168747e-05
TASOR2	1.21524804091182e-09	-0.333371803851095	0.029	0.17	3.57064179380711e-05
AOPEP	1.22154151577925e-09	-0.409820724007541	0.111	0.31	3.58913328166259e-05
MYLK	1.364382996409e-09	0.628474825925815	0.85	0.83	4.00883012004893e-05
MYH10	1.57115283633459e-09	0.830119577707108	0.379	0.219	4.61636126371828e-05
PRXL2C	2.01382946928271e-09	-0.429509580419231	0.064	0.236	5.91703374664645e-05
ATP6V0C	2.0257165074258e-09	-0.514302516072561	0.136	0.345	5.9519602421185e-05
RBIS	2.21881578295006e-09	-0.493114553375485	0.164	0.382	6.51932453346387e-05
KCNQ1OT1	2.43176674286158e-09	-0.830344985362759	0.404	0.626	7.1450170438759e-05
AEBP1	2.45900694949743e-09	0.57609629840811	0.718	0.658	7.22505421901334e-05
SPARCL1	2.56507285235322e-09	-0.425349325379171	0.918	0.914	7.53669705478422e-05
IGKC	3.3423734206856e-09	-2.26368100747958	0.125	0.02	9.82056158465842e-05
CCN2	3.80021875206182e-09	-0.374264266695844	0.125	0.313	0.00011165802737308
