	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
PTGDS	7.40193599434037e-170	-1.70133429728637	0.512	0.92	2.17483683385709e-165
MIF	4.23404586980781e-118	-1.44896200213643	0.405	0.765	1.24404735746693e-113
S100A10	3.66838479418351e-112	1.38286405577794	0.566	0.155	1.077844820227e-107
RPL17	1.07223974435893e-93	-0.922743468449934	0.636	0.924	3.1504548168754e-89
MGP	4.13495807415216e-91	1.35381027611002	0.904	0.821	1.21493338134739e-86
MICOS10	1.12209304462993e-78	-1.28325887196624	0.238	0.54	3.29693378373167e-74
FOS	5.97014013305097e-76	1.07495088791421	0.919	0.882	1.75414657389304e-71
CYR61	4.2220554887689e-73	2.00081846914839	0.468	0.154	1.24052434371008e-68
NEAT1	9.10441612443056e-72	-0.938779056922836	0.788	0.951	2.67505954568019e-67
EEF1G	3.82898405609533e-69	-0.848745761519228	0.346	0.706	1.12503209536193e-64
FAM129A	9.77345982129613e-68	0.962972121001841	0.322	0.057	2.87163796469323e-63
NRP2	2.00236258079747e-67	0.850688997259717	0.373	0.086	5.88334173489913e-63
EIF4A1	3.74353219124242e-66	-0.885714185638588	0.614	0.83	1.09992462843085e-61
BST2	5.90562045057348e-66	-0.77749992786701	0.574	0.832	1.7351894007875e-61
SEPT7	2.50286045279714e-65	1.0943371941621	0.534	0.201	7.35390458240855e-61
C9orf3	3.62888232744924e-65	1.05371596075444	0.45	0.16	1.06623820545114e-60
PGRMC1	4.70875209360878e-65	-0.832289372943888	0.662	0.863	1.38352554014413e-60
MDK	2.19299492492404e-59	-0.859785424416857	0.502	0.781	6.44345768841181e-55
RNASEK	3.03285734571585e-59	-0.873544983799832	0.294	0.572	8.91114145318232e-55
CEBPD	3.80285304204310e-59	-0.942567897036733	0.704	0.876	1.1173542808131e-54
FN1	2.4503432296787e-58	1.07168711039989	0.656	0.391	7.19959847744196e-54
RPL36A	3.16964447691912e-57	-0.65760260452409	0.774	0.936	9.31304940208377e-53
FHL1	7.08021806844764e-57	0.830379046062469	0.796	0.598	2.08030967287129e-52
FGF7	1.40979356290609e-56	0.876047459196315	0.671	0.364	4.14225544653067e-52
PLN	7.08384673288092e-56	0.963212927155689	0.489	0.188	2.08137584705507e-51
RPL37A	1.45313859046185e-52	-0.407435014925214	0.969	0.99	4.26961180649501e-48
FGL2	1.7066247113807e-52	0.748473097785583	0.332	0.084	5.01440472697876e-48
ATF3	2.29925973539601e-52	0.977868793270023	0.877	0.824	6.75568495454056e-48
EGR1	1.7370871190972e-51	0.769327083675422	0.91	0.762	5.10390937333139e-47
MT2A	5.60248320315167e-51	-1.36607122799082	0.358	0.591	1.64612161475002e-46
ALDH1A1	8.3253343090657e-51	-0.72988350007327	0.231	0.529	2.44614972668969e-46
FTH1	2.17019876969809e-50	-0.497216535510761	0.973	0.983	6.37647802512694e-46
CNN1	2.71341252077765e-50	0.737970250857157	0.906	0.832	7.97254866854888e-46
IGFBP2	1.83438717477591e-49	-0.813507186124065	0.371	0.641	5.38979639692658e-45
RPL39	6.0934650569285e-49	-0.486421722765994	0.922	0.973	1.79038190302673e-44
SNHG29	9.71170569290112e-49	-0.73060122657762	0.29	0.593	2.85349336668821e-44
AC006115.2	1.34952875725504e-48	-0.752951432460859	0.09	0.292	3.96518539456676e-44
RPS28	2.08925775611123e-48	-0.462933526517563	0.942	0.976	6.13865713900601e-44
RERG	3.74212785184839e-48	0.768360644637862	0.593	0.314	1.09951200543009e-43
CSRP1	3.57012485842485e-47	0.648604596544492	0.897	0.874	1.04897408590239e-42
PDE10A	6.60454185403186e-46	-0.895552667006221	0.172	0.413	1.94054648755164e-41
TRDN	1.11548062531246e-45	0.770603561116415	0.51	0.23	3.27750517329306e-41
NME2	1.29416907928667e-44	-0.747993300361617	0.303	0.589	3.80252758876008e-40
AES	2.02742710027643e-44	0.768579376077081	0.416	0.16	5.95698630603222e-40
ZFP36	3.877981770617e-44	0.76818309788736	0.881	0.755	1.13942860384269e-39
SEPTIN2	1.30945480717372e-43	-0.759722090433269	0.242	0.49	3.84744011443781e-39
LGALS3	1.8950500647906e-43	0.770031398933507	0.814	0.67	5.56803610036773e-39
JUN	3.68466463093274e-43	0.685349689520759	0.936	0.89	1.08262816186066e-38
GAS6	7.16283196195814e-43	0.677429208979368	0.553	0.291	2.10458328706254e-38
PDE1C	8.73652147160583e-43	0.657199056639254	0.399	0.147	2.56696473878722e-38
AREG	8.77672707264018e-42	-0.903924359645409	0.165	0.419	2.57877794848314e-37
CEBPB	1.15990056993428e-41	-0.743150290630967	0.729	0.852	3.40801985458089e-37
MYH11	4.68718067765264e-41	0.487273108414425	0.974	0.97	1.3771874267079e-36
PDLIM3	6.26456257452416e-41	0.773038060784803	0.74	0.521	1.84065377564669e-36
ACTB	8.73334606845405e-41	0.387130324514523	0.959	0.987	2.56603174183317e-36
GAS5	3.61606775651e-40	-0.618246120967983	0.312	0.587	1.06247302821777e-35
DUSP1	1.30315914638043e-39	0.800437925317763	0.904	0.864	3.82894220389499e-35
SEPTIN7	3.6361924840035e-39	-0.673573541990598	0.291	0.556	1.06838607564991e-34
TMSB4X	1.15333632269358e-38	-0.461368538671206	0.958	0.984	3.38873278333829e-34
CD151	3.54286001935869e-38	0.662533776856439	0.688	0.484	1.04096313088797e-33
SNHG6	3.76911465801407e-38	-0.517113871453318	0.301	0.567	1.10744126881769e-33
TGM2	5.39611119586855e-38	-0.441028974210973	0.283	0.547	1.5854853915701e-33
RAB3C	5.73638386714716e-38	-0.492413410759435	0.002	0.113	1.68546430784518e-33
PPP1R14A	2.30131384532482e-37	0.80049637669883	0.587	0.339	6.76172034033338e-33
ANGPTL1	2.465228771682e-37	0.62071199672971	0.433	0.188	7.24333517695606e-33
IER2	2.80974527320391e-37	0.778786611450641	0.854	0.742	8.25559356172773e-33
FILIP1	3.89898960092255e-37	0.727217315726671	0.549	0.299	1.14560112454306e-32
WDR45B	4.25107609804635e-37	-1.00560057877233	0.295	0.452	1.24905117912798e-32
SERPINF1	4.37910171435993e-37	-0.678152316231035	0.473	0.687	1.28666766571323e-32
CREM	4.74983156186305e-37	-0.838776726614376	0.37	0.586	1.3955955095066e-32
ASPN	5.90432689118308e-37	0.683585889634214	0.273	0.077	1.73480932716741e-32
TLE1	9.36381407539711e-37	-0.681777711575634	0.224	0.431	2.75127585163318e-32
RPL41	1.96232535034652e-36	-0.324081403878981	0.963	0.993	5.76570434438813e-32
MEG3	2.95704029534553e-36	-0.654519073690408	0.218	0.465	8.68837579578425e-32
TXNIP	8.06409854409206e-36	0.735710306367072	0.839	0.66	2.36939343422513e-31
TUBA1A	8.25832727001012e-36	0.690954520285626	0.851	0.785	2.42646171847437e-31
RPS27	2.02403739590582e-35	-0.377061892951892	0.984	0.993	5.94702667665047e-31
SFRP4	2.36408050521419e-35	-0.252945364697011	0.55	0.778	6.94614134042034e-31
RPS29	3.78435915944012e-35	-0.475252338392228	0.95	0.97	1.11192040822669e-30
SNCA	9.80085108925094e-35	-0.745880019924046	0.089	0.271	2.87968606704371e-30
ATP6V0C	1.371519060178e-34	-0.62149341660244	0.228	0.427	4.02979730261501e-30
RPL28	1.40866208148615e-34	-0.406138187701721	0.939	0.975	4.13893092782262e-30
HSPA1B	1.70825791113435e-34	0.915747598674398	0.744	0.601	5.01920339449495e-30
CHMP1B	1.71432937993014e-34	-0.913994875619799	0.231	0.419	5.03704258411073e-30
SEPT2	1.90946190314546e-34	0.720536483061315	0.375	0.155	5.610380963822e-30
FOSB	2.17051614353798e-34	0.522106612689558	0.928	0.877	6.3774105329433e-30
CAV1	2.95233975711068e-34	0.722215328209943	0.716	0.558	8.67456467434261e-30
RPS2	3.96611387833066e-34	-0.390779118936843	0.938	0.975	1.16532357973111e-29
IGFBP4	4.84556706845101e-34	-0.599441005115364	0.528	0.703	1.42372451605228e-29
SLC3A2	1.00852308786989e-33	-0.68303530051531	0.376	0.573	2.96324253677932e-29
MZT2B	1.68086243359932e-33	-0.486488352077661	0.812	0.908	4.93871000240153e-29
CYP51A1	1.68158359020586e-33	-0.599874024689381	0.143	0.322	4.94082890474285e-29
LINC01578	4.12607023730326e-33	-0.672980112265948	0.235	0.421	1.21232195712444e-28
GFRA1	5.25385529020679e-33	0.552853411048469	0.41	0.183	1.54368776136856e-28
TTLL7	2.0958014415099e-32	0.560043326446188	0.526	0.285	6.1578837954444e-28
PEG3	2.45172139232992e-32	-0.667366969375859	0.296	0.505	7.20364779494377e-28
JUNB	9.72734542526823e-32	0.475277539438313	0.927	0.938	2.85808863285231e-27
AHNAK2	1.07850996680921e-31	0.491440902512535	0.296	0.104	3.16887798447882e-27
BASP1	1.39259528717132e-31	-0.618189907320638	0.027	0.155	4.09172347276678e-27
KDM6B	2.37692116558583e-31	-0.620189039752382	0.269	0.453	6.98386976872429e-27
RPL26	2.72964718982431e-31	-0.354175279469928	0.912	0.978	8.02024937314178e-27
CRISPLD2	6.29453013571572e-31	-0.494221526672095	0.389	0.628	1.84945884447599e-26
C16orf89	8.27806055024852e-31	-0.455070098122095	0.04	0.18	2.43225975087402e-26
