	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MT-RNR2	0	5.2852262568448	0.275	0.008	0
NEAT1	0	-1.09669832302289	0.778	0.98	0
RPL26	8.00575079339531e-317	-0.518867255138725	0.723	0.986	2.35224969811541e-312
MT-RNR1	4.3781002067826e-312	3.30640190423542	0.25	0.007	1.28637340275686e-307
PTGDS	1.67635489553931e-309	-1.22898860836758	0.62	0.915	4.92546595407359e-305
RPL17	6.21450982082433e-281	-0.523021725223065	0.677	0.962	1.8259472755546e-276
SLC26A3	5.03073616312286e-279	2.43943023084625	0.223	0.008	1.47813089944876e-274
RPL36A	6.67754389927342e-262	-0.43343311112808	0.689	0.963	1.96199594848452e-257
RPL41	3.59245472820929e-255	-0.426962555627445	0.888	0.996	1.05553504824245e-250
RASGEF1B	1.48964360820148e-246	2.48971245780216	0.242	0.028	4.37687084961758e-242
LINC00486	3.39263321810183e-244	2.26141117411138	0.201	0.006	9.96823492142681e-240
IGKC	3.9220067064075e-241	0.599632332235664	0.262	0.024	1.15236401047665e-236
RPL39	4.63763026375986e-230	-0.483612769233395	0.835	0.99	1.36262852409792e-225
RPL28	1.01191690873386e-221	-0.526270655151555	0.824	0.986	2.97321426124181e-217
MICOS10	9.07748128724789e-208	-1.16452504380215	0.471	0.704	2.66714555181918e-203
RPL9P9	4.03541213835555e-207	1.97825901514499	0.174	0.006	1.18568479449163e-202
RPL13AP5	7.69813044446759e-202	1.79164838613015	0.163	0.005	2.26186468719347e-197
RPS26	5.84890450086803e-198	-0.775407379955904	0.793	0.894	1.71852512044505e-193
RPL29	3.01828427700766e-192	-0.356412710707124	0.802	0.984	8.86832286270392e-188
EIF4A1	4.60375951268429e-185	-0.714228760971351	0.634	0.887	1.3526766200169e-180
SFRP4	3.61953813576132e-180	0.615657407672264	0.892	0.967	1.06349269504939e-175
RPL18	9.70926153569271e-180	-0.476122268052574	0.887	0.989	2.85277522441723e-175
EEF1G	6.49444609040607e-177	-0.374220146186143	0.58	0.857	1.90819815028311e-172
IGHA1	8.11654509149695e-174	0.416089938971883	0.181	0.014	2.38480327878363e-169
RPS13P2	1.56960721207293e-173	1.6129477941197	0.149	0.006	4.61181991051269e-169
CEBPD	3.14039084112e-170	-0.632820754202405	0.813	0.969	9.22709636937879e-166
ID1	7.85524720555108e-170	1.09036267239988	0.61	0.361	2.30802873393502e-165
MTATP6P1	6.96386504707769e-168	1.44701379803204	0.14	0.005	2.04612282813237e-163
AC007969.1	8.78091695162424e-168	1.52201923494989	0.136	0.004	2.58000901872623e-163
RPS6	6.96594047750079e-166	0.437814732456548	0.984	0.991	2.04673263109928e-161
AC073621.1	1.79876793996424e-165	1.50909887727351	0.136	0.004	5.28513996120294e-161
RPS23P8	3.76677057601719e-162	1.30395968709924	0.131	0.005	1.10675253064537e-157
AP001324.1	8.11034958537652e-160	1.49607899465708	0.138	0.006	2.38298291517533e-155
SOD2	2.02548576827196e-158	-1.08172983068627	0.543	0.735	5.95128228433667e-154
IGLC2	2.71430651538221e-152	0.369494239488661	0.151	0.01	7.97517540349601e-148
AC005912.1	2.74893886708669e-148	1.22675751662325	0.121	0.004	8.07693217927411e-144
TSC22D1	2.86628803044796e-148	0.884809899163497	0.718	0.612	8.4217274910622e-144
MT-ND1	1.71787869307101e-144	0.284172246884179	0.933	0.997	5.04747117598123e-140
EEF1A1	4.27450962551981e-144	-0.2509992130207	0.952	0.998	1.25593641817023e-139
AL022718.1	1.37853315643709e-143	1.28478976342999	0.12	0.004	4.05040612024345e-139
KCNQ1OT1	4.97136662117173e-142	-0.690666517721596	0.595	0.83	1.46068694063268e-137
CEBPB	1.84205197990573e-136	-0.545859521128283	0.747	0.932	5.41231712735901e-132
DDX5	2.24816677702948e-135	-0.410120032445055	0.908	0.985	6.60556362426802e-131
RPL18A	4.64546264351113e-135	-0.328002725225478	0.854	0.985	1.36492983391644e-130
ARL6IP1	8.04925531117793e-133	-0.714109571783207	0.488	0.691	2.3650321955303e-128
RPL8	8.23285337059488e-128	-0.295101516182923	0.86	0.986	2.41897697734819e-123
SEPT7	1.47756317828808e-126	1.34942295566514	0.213	0.054	4.34137613044605e-122
SLC3A2	1.75845111628186e-125	-0.718135500802128	0.414	0.602	5.16668106985936e-121
INO80D	9.82523618468136e-125	1.49334536866963	0.34	0.215	2.88685089578308e-120
