	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
RPL17	6.02562934404937e-11	-0.860022759271608	0.863	0.95	1.77045041386859e-06
SEPT7	2.63939172558096e-09	1.23934011891433	0.55	0.155	7.75506076810198e-05
MICOS10	7.94494604270684e-09	-1.3126126628664	0.325	0.646	0.000233438404626812
ID1	2.4741802449967e-08	1.10012054097631	0.7	0.342	0.000726963639584931
EEF1G	4.57657531735899e-08	-0.732128785386249	0.425	0.801	0.00134468935974642
SEPTIN7	5.99213943069975e-08	-0.932863706834287	0.388	0.752	0.0017606104075282
ADRA2C	6.38994719828377e-08	0.582246165908343	0.338	0.056	0.00187749428579974
RBM4	1.05148567751331e-07	-0.687059518740694	0.35	0.553	0.0030894752176696
SEPT6	1.75208869936409e-07	0.844832160570495	0.412	0.099	0.00514798701647157
FAM129A	2.87841378765052e-07	0.676880566841187	0.338	0.062	0.00845735539087477
NME2	3.02082809300072e-07	-0.932744111534809	0.35	0.696	0.00887579710285472
MIF	3.50787785959662e-07	-0.79616864496867	0.537	0.851	0.0103068467270668
DNAJA1	4.02463151045422e-07	-0.655491130987739	0.863	0.981	0.0118251723040166
GAS5	5.49114020871692e-07	-0.801239423659851	0.35	0.702	0.0161340681612521
RPL10	1.20842004222279e-06	0.363882298921689	1	1	0.03550579768059
CCN2	1.38547011260042e-06	-0.972061960243628	0.038	0.298	0.0407078828484254
NEAT1	2.5973502691457e-06	-0.711580007031694	0.963	0.969	0.076315345608039
C9orf3	2.62296081333916e-06	0.544081416074306	0.262	0.037	0.0770678346175311
IGKC	3.08051834272154e-06	0.512765507230755	0.225	0.025	0.0905117899458443
UBB	3.15703460000832e-06	-0.520680996241829	0.975	0.969	0.0927599906174446
IGLC2	5.88993459949085e-06	0.603702416649464	0.188	0.012	0.17305805840224
RNASEK	7.69792979556099e-06	-0.777251548025613	0.375	0.665	0.226180573253173
SEPT9	8.38891561302216e-06	0.501663154134779	0.275	0.05	0.246483118541817
SEPT2	8.49452955753345e-06	0.579217683479542	0.338	0.087	0.249586267459448
RARRES3	9.11052940654395e-06	0.653062632698092	0.375	0.112	0.267685575023074
SEPTIN2	9.52812062436288e-06	-0.757349442336373	0.275	0.54	0.27995524018503
SFPQ	1.07942861728807e-05	-0.532743744401072	0.838	0.882	0.317157716331579
IGHA1	1.08818930558065e-05	0.257542119420038	0.112	0	0.319731781765705
FKBP2	1.16765895074075e-05	0.550193371812442	0.35	0.093	0.343081552906647
RPS17	1.16935896360289e-05	-0.569671951711459	0.7	0.919	0.3435810506858
RPL37A	1.36917781234126e-05	-0.316001363647898	1	1	0.402291824822109
CLEC2D	1.57967535973201e-05	0.680639532507496	0.6	0.286	0.464140214196458
ID3	1.61297444516261e-05	0.916761138148785	0.8	0.59	0.473924151477678
SNHG29	1.87387829768185e-05	-0.619166580535636	0.362	0.677	0.550582921424881
CXCR4	1.90641555974064e-05	0.631588652966414	0.975	0.863	0.560143019762995
HSP90AA1	2.0978306198029e-05	-0.576365256925215	1	1	0.616384592710488
TLE1	2.34652730647828e-05	-0.746955155455829	0.238	0.466	0.68945665318945
NR2F1	2.36518397453469e-05	-0.765852609134342	0.5	0.596	0.694938355397782
CD2	2.37033464339781e-05	0.361236145833032	0.825	0.534	0.696451724923146
CD3E	2.50942645289392e-05	0.5187280519512	0.6	0.292	0.737319680389293
RESF1	2.99579759960817e-05	-0.880824904277996	0.3	0.484	0.880225250716872
SKAP1	3.00557186666329e-05	0.563141428121722	0.512	0.224	0.883097125863007
SAMSN1	3.0607573694878e-05	0.669497265978248	0.713	0.416	0.899311730302906
TSR3	3.09459500919033e-05	0.266420000435113	0.4	0.161	0.909253905600303
PTP4A1	3.28389358014674e-05	0.416314248523043	0.238	0.043	0.964873611718716
VEGFB	3.28860723851076e-05	0.47636603802903	0.537	0.242	0.966258578819232
MEG8	3.93871829096396e-05	-1.38434813964047	0.138	0.36	1
GPRC5A	4.35478044108997e-05	-0.696209101613929	0.275	0.441	1
KLF9	5.06150473489881e-05	-0.723989251472851	0.575	0.801	1
ARID5B	5.59568405493435e-05	-0.742198418902491	0.738	0.807	1
ARL6IP1	6.32261548584969e-05	-0.642972981493218	0.588	0.745	1
LINC-PINT	6.78435774581077e-05	-0.696732160249959	0.325	0.615	1
EIF4A1	7.62335672075995e-05	-0.669421069243153	0.725	0.826	1
C6orf48	7.95669145454887e-05	0.512352064231233	0.312	0.087	1
ATP6V0C	8.23969406336917e-05	-0.698738554420724	0.3	0.547	1
STK17B	8.33056078478295e-05	0.407421683856866	0.85	0.584	1
CCN1	8.80008498529764e-05	-0.96901002225127	0.262	0.484	1
S100A4	9.79906437099862e-05	0.528067191587662	0.963	0.938	1
HSPE1	0.000108442402369528	-0.700250029859033	0.775	0.901	1
PTGDS	0.000109456611935679	-1.12134552785029	0.5	0.72	1
HLA-C	0.000111413107620361	0.406437199243746	0.963	0.969	1
OGN	0.000123010608170967	-0.978502220244238	0.475	0.658	1
ITGA1	0.000125543143899731	0.526536415804199	0.425	0.168	1
BRD2	0.000127252254131885	-0.56478243705897	0.775	0.876	1
PTPRC	0.000131069649141077	0.588175450554862	0.925	0.832	1
GZMK	0.000137890722058664	-0.393382266272698	0.225	0.478	1
LINC01871	0.000140974611580096	0.499413722548731	0.6	0.317	1
TNFAIP2	0.000145535752733839	-0.592921788997282	0.075	0.261	1
