clusters	cellNo	cellNo_D1	cellNo_D2	cellNo_D3	cellNo_D4	cellNo_D5	cellNo_D6	cellNo_D7	cellNo_D1_Per	cellNo_D2_Per	cellNo_D3_Per	cellNo_D4_Per	cellNo_D5_Per	cellNo_D6_Per	cellNo_D7_Per
B/P	800	19	45	312	22	248	100	54	1.25	2.4	2.17	0.28	1.46	0.81	0.95
CE	1127	25	9	5	172	106	631	179	1.64	0.48	0.03	2.22	0.62	5.09	3.15
EN1	4826	36	32	2061	808	1171	629	89	2.37	1.71	14.33	10.42	6.9	5.07	1.57
EN2	778	7	2	233	84	323	107	22	0.46	0.11	1.62	1.08	1.9	0.86	0.39
EN3	176	1	0	41	9	70	26	29	0.07	0	0.28	0.12	0.41	0.21	0.51
EN4	147	0	0	65	15	65	2	0	0	0	0.45	0.19	0.38	0.02	0
LE	1523	16	34	253	202	254	379	385	1.05	1.82	1.76	2.6	1.5	3.06	6.78
MA	428	20	26	39	22	120	158	43	1.32	1.39	0.27	0.28	0.71	1.27	0.76
MP	2213	55	77	314	158	703	537	369	3.62	4.11	2.18	2.04	4.14	4.33	6.5
P/V1	6369	52	37	1819	521	3192	531	217	3.42	1.98	12.64	6.72	18.82	4.28	3.82
P/V2	2058	6	3	993	67	701	228	60	0.39	0.16	6.9	0.86	4.13	1.84	1.06
P/V3	1022	17	10	425	72	389	89	20	1.12	0.53	2.95	0.93	2.29	0.72	0.35
SE	3614	110	179	490	778	655	657	745	7.24	9.56	3.41	10.03	3.86	5.3	13.13
SM	2987	84	57	1094	591	755	282	124	5.53	3.04	7.6	7.62	4.45	2.27	2.19
ST1	11694	523	485	1994	2009	3779	1921	983	34.41	25.91	13.86	25.91	22.28	15.49	17.32
ST2	7300	246	420	1053	661	1471	2630	819	16.18	22.44	7.32	8.52	8.67	21.21	14.43
ST3	4947	156	142	1437	572	1534	720	386	10.26	7.59	9.99	7.38	9.04	5.81	6.8
ST4	2257	40	93	261	366	478	834	185	2.63	4.97	1.81	4.72	2.82	6.72	3.26
ST5	1497	24	46	121	65	122	859	260	1.58	2.46	0.84	0.84	0.72	6.93	4.58
T/NK1	3051	60	104	787	365	508	737	490	3.95	5.56	5.47	4.71	2.99	5.94	8.63
T/NK2	1438	23	68	481	138	233	294	201	1.51	3.63	3.34	1.78	1.37	2.37	3.54
T/NK3	322	0	3	108	58	87	51	15	0	0.16	0.75	0.75	0.51	0.41	0.26
