clusters	cellNo	cellNo_A	cellNo_F	cellNo_I	cellNo_A_Per	cellNo_F_Per	cellNo_I_Per
B/P	800	198	357	245	1.01	1.35	1.69
CE	1127	376	488	263	1.91	1.85	1.82
EN1	4826	1378	1757	1691	7	6.65	11.69
EN2	778	264	372	142	1.34	1.41	0.98
EN3	176	12	113	51	0.06	0.43	0.35
EN4	147	63	48	36	0.32	0.18	0.25
LE	1523	420	830	273	2.13	3.14	1.89
MA	428	72	169	187	0.37	0.64	1.29
MP	2213	808	852	553	4.11	3.22	3.82
P/V1	6369	2789	2458	1122	14.17	9.3	7.76
P/V2	2058	1007	698	353	5.12	2.64	2.44
P/V3	1022	336	406	280	1.71	1.54	1.94
SE	3614	1060	1987	567	5.39	7.52	3.92
SM	2987	641	1216	1130	3.26	4.6	7.81
ST1	11694	2508	6708	2478	12.75	25.38	17.13
ST2	7300	3047	2321	1932	15.49	8.78	13.36
ST3	4947	1454	2521	972	7.39	9.54	6.72
ST4	2257	644	997	616	3.27	3.77	4.26
ST5	1497	800	321	376	4.07	1.21	2.6
T/NK1	3051	1161	1169	721	5.9	4.42	4.99
T/NK2	1438	557	486	395	2.83	1.84	2.73
T/NK3	322	81	161	80	0.41	0.61	0.55
